lambda	m_w	m_x	m_y
0.5	4.0375678631397573e-13	2.0919667739515675e-17	8.446457817263002e-30
1.	3.825869162953358e-12	6.248916416363879e-32	2.3907536619239574e-43
2.	0.218749999996654	1.0781748236213835e-13	2.3585074266357008e-14
3.	0.30555555555810165	8.969197819700893e-12	2.74058822270922e-12
5.	0.35000000000605835	2.465205524095676e-11	8.628219334484218e-12
10.	0.368750068088573	2.875024882987266e-7	1.060165621357896e-7
20.	0.3734956757806237	0.0002474485035747799	0.0000924209460635665
30.	0.37446673579855033	0.0006858491243003118	0.00025682768282703195
60.	0.37510107705672524	0.0011685331198398841	0.0004383180318283959
80.	0.37519758721692653	0.0012558784777031687	0.00047120257467189557
100.	0.3752426198484542	0.0012978384557477012	0.0004870043022748395
150.	0.37528732294364225	0.0013402372828676434	0.0005029740619966589
200.	0.3753030223403426	0.0013553021076021462	0.0005086489771673217
400.	0.3753181872711596	0.001369939679207972	0.0005141632770711699
600.	0.3753209984194429	0.0013726622832095554	0.0005151889786269224
1000.	0.3753224380695399	0.0013740577014966446	0.0005157146865739488
