lambda	t	m_w	m_x
1.	0	0.01	0.01
1.	1	0.0079369016320254	0.0079369016320254
1.	2	0.0063096567422483195	0.0063096567422483195
1.	3	0.005022473304531205	0.005022473304531205
1.	4	0.004001949371579958	0.004001949371579958
1.	5	0.003191367699528585	0.003191367699528585
1.	6	0.0025466054046062556	0.0025466054046062556
1.	7	0.0020331488141656024	0.0020331488141656024
1.	8	0.0016238811340447902	0.0016238811340447902
1.	9	0.0012974211317200977	0.0012974211317200977
1.	10	0.001036861581150611	0.001036861581150611
1.	11	0.000828802227884869	0.000828802227884869
1.	12	0.0006626026766234651	0.0006626026766234651
1.	13	0.000529801419330569	0.000529801419330569
1.	14	0.00042366162969696653	0.00042366162969696653
1.	15	0.00033881450000175246	0.00033881450000175246
1.	16	0.00027097816648931485	0.00027097816648931485
1.	17	0.0002167355566658009	0.0002167355566658009
1.	18	0.0001733583910624237	0.0001733583910624237
1.	19	0.00013866748359615594	0.00013866748359615594
1.	20	0.00011092168295884129	0.00011092168295884129
1.	21	0.00008872947329491515	0.00008872947329491515
1.	22	0.00007097854060451783	0.00007097854060451783
1.	23	0.00005677960851964172	0.00005677960851964172
1.	24	0.000045421623671323	0.000045421623671323
1.	25	0.00003633597862322381	0.00003633597862322381
1.	26	0.000029067937948190766	0.000029067937948190766
1.	27	0.000023253809616140723	0.000023253809616140723
1.	28	0.000018602701630996533	0.000018602701630996533
1.	29	0.000014881939831943147	0.000014881939831943147
1.	30	0.000011905410126395138	0.000011905410126395138
1.	31	9.524237389829276e-6	9.524237389829276e-6
1.	32	7.61933185754871e-6	7.61933185754871e-6
1.	33	6.095428331742884e-6	6.095428331742884e-6
1.	34	4.876318886883058e-6	4.876318886883058e-6
1.	35	3.901039891381226e-6	3.901039891381226e-6
1.	36	3.1208221735672932e-6	3.1208221735672932e-6
1.	37	2.496651505581691e-6	2.496651505581691e-6
1.	38	1.9973172151875515e-6	1.9973172151875515e-6
1.	39	1.5978512190206307e-6	1.5978512190206307e-6
1.	40	1.2782793412179734e-6	1.2782793412179734e-6
1.	41	1.0226224272175163e-6	1.0226224272175163e-6
1.	42	8.18097272490746e-7	8.18097272490746e-7
1.	43	6.544773896518819e-7	6.544773896518819e-7
1.	44	5.23581637583743e-7	5.23581637583743e-7
1.	45	4.1886513461897734e-7	4.1886513461897734e-7
1.	46	3.350919954085283e-7	3.350919954085283e-7
1.	47	2.680735244634039e-7	2.680735244634039e-7
1.	48	2.1445877357815544e-7	2.1445877357815544e-7
