lambda	m_w	m_x	m_y
0.1	1.017491253063485e-16	2.6042876780612495e-14	2.6498399328883345e-30
0.2	8.386250274544952e-18	6.864094550983497e-14	5.756401481268786e-31
0.4	1.0750118553057003e-22	9.174292994692145e-13	9.862473733342092e-35
0.8	8.948811002963187e-16	0.2881944444421859	2.578997615417096e-16
1.	8.97119498548518e-12	0.4444444444458736	3.987197771339568e-12
2.	0.5318854252107297	0.7659427126056114	0.40739376538129535
3.	0.7412315128558317	0.8706157564280099	0.645327834253258
5.	0.8876894374344448	0.9438447187172561	0.8378409873835928
8.	0.9517902930667053	0.9758951465333636	0.9288475275213655
10.	0.968337520960267	0.9841687604801411	0.9530075377298787
15.	0.9855339622602655	0.9927669811301363	0.9784055765143455
20.	0.9917792998469376	0.9958896499234707	0.9877027397259116
30.	0.9963188806909059	0.9981594403454537	0.9944850963560434
40.	0.9979238506553715	0.9989619253276865	0.9968879311811085
50.	0.9986696165294439	0.9993348082647223	0.9980053097542555
60.	0.9990754985745866	0.9995377492872934	0.9986136752133228
80.	0.9994796179913161	0.9997398089956582	0.9992195623856918
100.	0.9996668516419197	0.9998334258209599	0.9995003329567939
120.	0.9997686077513165	0.9998843038756583	0.9996529383981612
240.	0.999942135205647	0.9999710676028235	0.9999132044826378
480.	0.9999855327516901	0.9999927663758452	0.999978299232186
960.	0.999996383119099	0.9999981915595496	0.9999945746851895
