ratio,lambda,m_w,m_x,m_y
r=1,0.5,4.0375715177003753e-13,4.0375715177003753e-13,1.6301983760545312e-25
r=1,1.0,3.8260690900471265e-12,3.8260690900471265e-12,1.4638804681814046e-23
r=1,2.0,0.26148351928231106,0.26148351928231106,0.06837363085626275
r=1,3.0,0.4112698736731085,0.4112698736731085,0.16914290899109463
r=1,5.0,0.5171572875215967,0.5171572875215967,0.26745166003669546
r=1,10.0,0.5763932022455475,0.5763932022455475,0.3322291235948766
r=1,20.0,0.5938447187139025,0.5938447187139025,0.352651549944394
r=1,30.0,0.597241248985078,0.597241248985078,0.356697109489256
r=1,60.0,0.5993067570150801,0.5993067570150801,0.3591685890039322
r=1,80.0,0.5996097557213,0.5996097557213,0.3595318591561571
r=1,100.0,0.5997501560497464,0.5997501560497464,0.3597002496816951
r=1,150.0,0.5998889197306427,0.5998889197306427,0.3598667160155975
r=1,200.0,0.599937509757243,0.599937509757243,0.3599250156137221
r=1,400.0,0.5999843756049509,0.5999843756049509,0.3599812509700628
r=1,600.0,0.5999930556707578,0.5999930556707578,0.35999166685313305
r=1,1000.0,0.5999975000102657,0.5999975000102657,0.3599970000185688
r=2,0.5,6.247968591142428e-13,1.463525250266835e-22,9.144059796011045e-35
r=2,1.0,0.1666666666616789,1.4454126699795164e-35,2.4090211165604335e-36
r=2,2.0,0.47916666667177826,2.3464830606973868e-11,1.1243564665961588e-11
r=2,3.0,0.5706157564256703,0.14123151284604135,0.08058892653378566
r=2,5.0,0.6438447187163168,0.2876894374307883,0.1852273249202813
r=2,10.0,0.6841687604791754,0.3683375209571311,0.2520050251512127
r=2,20.0,0.6958896499225824,0.39177929984407645,0.2726351598154088
r=2,30.0,0.6981594403441256,0.39631888068710497,0.2766937679383195
r=2,60.0,0.6995377492861705,0.3990754985712828,0.2791683760658116
r=2,80.0,0.6997398089945664,0.3994796179880689,0.2795317915881937
r=2,100.0,0.699833425819883,0.399666851638699,0.27970022196895766
r=2,150.0,0.6999259442034764,0.39985188840588326,0.27986671053403095
r=2,200.0,0.699958339115441,0.3999166782298113,0.279925013878303
r=2,400.0,0.6999895836916713,0.3999791673822709,0.27998125086125714
r=2,600.0,0.6999953704384856,0.3999907408758992,0.2799916668313894
r=2,1000.0,0.6999983333392645,0.3999966666774572,0.2799970000154814
r=3,0.5,1.280960062885561e-12,6.037102527807424e-37,7.733287233666776e-49
r=3,1.0,0.3749999999988182,3.334918513739765e-20,1.2505944426484708e-20
r=3,2.0,0.609375000001417,5.649421113478371e-12,3.442615991033887e-12
r=3,3.0,0.652777777782886,2.3507557766108766e-11,1.5345211319663303e-11
r=3,5.0,0.69028324591974,0.0708497377464736,0.048906386944198126
r=3,10.0,0.721370035210127,0.16411010562560524,0.11838411267348051
