lambda	m_w	m_x	m_y
0.5	4.0375667087865266e-13	1.930644582970242e-19	7.795106294699696e-32
1.	3.825833458275335e-12	2.494394190845477e-41	9.543136753464256e-53
2.	0.2187499999964954	1.2326738031501338e-24	2.6964739443477173e-25
3.	0.3055555555537016	3.7675204824999244e-14	1.1511868140902144e-14
5.	0.3500000000016696	2.6035927302855058e-12	9.112574556042739e-13
10.	0.3687500000019669	3.722050702065043e-12	1.3725061963938056e-12
20.	0.37343750000192133	3.779281302136296e-12	1.4113253612737843e-12
30.	0.3743055555572973	3.4493417159744224e-12	1.2911077673047673e-12
60.	0.3748263888907693	3.739104098507124e-12	1.4015148869301006e-12
80.	0.3749023437519016	3.7833690667215055e-12	1.4183939303923371e-12
100.	0.3749375000019114	3.80403628124223e-12	1.4262758532055295e-12
150.	0.3749722222241434	3.8245602978363025e-12	1.43410387390991e-12
200.	0.37498437500192466	3.83177010209738e-12	1.436853916886047e-12
400.	0.37499609375192805	3.838735416965311e-12	1.4395107863091706e-12
600.	0.37499826389081753	3.840026693076446e-12	1.4400033431980644e-12
1000.	0.374999375001929	3.840687996284949e-12	1.4402555981842667e-12
