ratio,lambda,m_w,m_x,m_y
1:1,0.1,2.5033454895330866e-15,2.5033454895330866e-15,6.266738639965649e-30
1:1,0.2,7.783650597482926e-15,7.783650597482926e-15,6.058521662369631e-29
1:1,0.4,6.967416130115869e-14,6.967416130115869e-14,4.8544887530198796e-27
1:1,0.8,1.495410267278013e-12,1.495410267278013e-12,2.2362518674804986e-24
1:1,1.0,3.8260690900471265e-12,3.8260690900471265e-12,1.4638804681814046e-23
1:1,2.0,0.26148351928231106,0.26148351928231106,0.06837363085626275
1:1,3.0,0.4112698736731085,0.4112698736731085,0.16914290899109463
1:1,5.0,0.5171572875215967,0.5171572875215967,0.26745166003669546
1:1,8.0,0.5641504716938657,0.5641504716938657,0.31826575471241114
1:1,10.0,0.5763932022455475,0.5763932022455475,0.3322291235948766
1:1,15.0,0.5891814893171153,0.5891814893171153,0.3471348273539341
1:1,30.0,0.597241248985078,0.597241248985078,0.356697109489256
1:1,60.0,0.5993067570150801,0.5993067570150801,0.3591685890039322
1:1,120.0,0.5998264641703145,0.5998264641703145,0.35979178711906157
1:1,240.0,0.5999566019253633,0.5999566019253633,0.3599479241938288
1:1,480.0,0.5999891495945281,0.5999891495945281,0.359986979631165
1:1,960.0,0.599997287339426,0.599997287339426,0.35999674481466976
1.5:1,0.1,3.9656958254955755e-17,1.0162806945529682e-15,4.03026010792045e-32
1.5:1,0.2,4.789938864359576e-16,4.1416851263294514e-14,1.983841855054544e-29
1.5:1,0.4,3.6473865653038703e-17,2.7231641210582253e-13,9.932432230265294e-30
1.5:1,0.8,6.149179137933777e-66,1.407169775955533e-11,8.65293902983671e-77
1.5:1,1.0,4.370485554841678e-17,0.16666666666168428,7.284142591185042e-18
1.5:1,2.0,0.33558971362394197,0.5570598090834838,0.18694354180173414
1.5:1,3.0,0.5387012440209222,0.6924674960142522,0.37303310154693065
1.5:1,5.0,0.699999999994897,0.7999999999967127,0.5599999999936165
1.5:1,8.0,0.7889487659082052,0.8592991772722035,0.677943025454841
1.5:1,10.0,0.8177124344378077,0.8784749562919241,0.7183398951021159
1.5:1,15.0,0.8542572892115771,0.9028381928077587,0.7712561071846351
1.5:1,20.0,0.8709430584801509,0.9139620389868025,0.7960088935699207
1.5:1,30.0,0.8854502775442221,0.9236335183628449,0.8178315551835273
1.5:1,40.0,0.8913698029811773,0.9275798686541465,0.8268166847715529
1.5:1,50.0,0.8943223563495083,0.9295482375663664,0.8313157701608853
1.5:1,60.0,0.8959938274902824,0.9306625516602157,0.8338679017639093
1.5:1,80.0,0.897708748317524,0.9318058322117099,0.8364902473097429
1.5:1,100.0,0.8985218492709542,0.932347899513996,0.8377349588352055
1.5:1,120.0,0.8989689636674119,0.9326459757783011,0.8384197863140015
1.5:1,240.0,0.899740257967868,0.9331601719786048,0.83960177386137
1.5:1,480.0,0.8999349381391432,0.9332899587594546,0.8399002413020733
1.5:1,960.0,0.8999837265814535,0.9333224843876621,0.8399750476014686
1:0.5,0.5,4.0375667087865266e-13,1.930644582970242e-19,7.795106294699696e-32
1:0.5,1.0,3.825833458275335e-12,2.494394190845477e-41,9.543136753464256e-53
1:0.5,2.0,0.2187499999964954,1.2326738031501338e-24,2.6964739443477173e-25
1:0.5,3.0,0.3055555555537016,3.7675204824999244e-14,1.1511868140902144e-14
1:0.5,5.0,0.3500000000016696,2.6035927302855058e-12,9.112574556042739e-13
1:0.5,10.0,0.3687500000019669,3.722050702065043e-12,1.3725061963938056e-12
1:0.5,20.0,0.37343750000192133,3.779281302136296e-12,1.4113253612737843e-12
1:0.5,30.0,0.3743055555572973,3.4493417159744224e-12,1.2911077673047673e-12
1:0.5,60.0,0.3748263888907693,3.739104098507124e-12,1.4015148869301006e-12
1:0.5,80.0,0.3749023437519016,3.7833690667215055e-12,1.4183939303923371e-12
1:0.5,100.0,0.3749375000019114,3.80403628124223e-12,1.4262758532055295e-12
1:0.5,150.0,0.3749722222241434,3.8245602978363025e-12,1.43410387390991e-12
1:0.5,200.0,0.37498437500192466,3.83177010209738e-12,1.436853916886047e-12
1:0.5,400.0,0.37499609375192805,3.838735416965311e-12,1.4395107863091706e-12
1:0.5,600.0,0.37499826389081753,3.840026693076446e-12,1.4400033431980644e-12
1:0.5,1000.0,0.374999375001929,3.840687996284949e-12,1.4402555981842667e-12
