lambda	m_w	m_x
0.1	2.5033454895330866e-15	2.5033454895330866e-15
0.2	7.783650597482926e-15	7.783650597482926e-15
0.4	6.967416130115869e-14	6.967416130115869e-14
0.8	1.495410267278013e-12	1.495410267278013e-12
1.	3.8260690900471265e-12	3.8260690900471265e-12
2.	0.26148351928231106	0.26148351928231106
3.	0.4112698736731085	0.4112698736731085
5.	0.5171572875215967	0.5171572875215967
8.	0.5641504716938657	0.5641504716938657
10.	0.5763932022455475	0.5763932022455475
15.	0.5891814893171153	0.5891814893171153
30.	0.597241248985078	0.597241248985078
60.	0.5993067570150801	0.5993067570150801
120.	0.5998264641703145	0.5998264641703145
240.	0.5999566019253633	0.5999566019253633
480.	0.5999891495945281	0.5999891495945281
960.	0.599997287339426	0.599997287339426
