lambda	m_w	m_x	m_y
0.1	1.1936391530867465e-14	1.1936391530867465e-14	1.4247744277816454e-28
0.2	7.24780323458071e-14	7.24780323458071e-14	5.2530651727198596e-27
0.4	2.352355410818568e-13	2.352355410818568e-13	5.533575978807394e-26
0.8	3.259018330296171e-12	3.259018330296171e-12	1.0621200477206443e-23
1.	0.000910086181039918	0.000910086181039918	8.282568569198225e-7
2.	0.4999999999975483	0.4999999999975483	0.2499999999975483
3.	0.6666666666636032	0.6666666666636032	0.4444444444403598
5.	0.7999999999954988	0.7999999999954988	0.639999999992798
8.	0.8749999999925129	0.8749999999925129	0.7656249999868976
10.	0.8999999999904477	0.8999999999904477	0.8099999999828058
15.	0.9333333333183286	0.9333333333183286	0.8711111110831022
20.	0.9499999999803739	0.9499999999803739	0.9024999999627104
30.	0.9666666666374258	0.9666666666374258	0.9344444443879122
40.	0.9749999999607474	0.9749999999607474	0.9506249999234574
50.	0.9799999998822305	0.9799999998822305	0.9603999997691718
60.	0.9833333308072094	0.9833333308072094	0.9669444394764007
80.	0.9874998884332633	0.9874998884332633	0.9751560296557075
100.	0.989998962103706	0.989998962103706	0.980097944966415
120.	0.9916622120117351	0.9916622120117351	0.9833939427320074
240.	0.9956956793744747	0.9956956793744747	0.9914098859249967
480.	0.9973085944185991	0.9973085944185991	0.9946244325012018
960.	0.9978025733254746	0.9978025733254746	0.9956099753349391
