lambda	t	m_w	m_x	m_y
0.5	0	0.01	0.01	0.0001
0.5	1	0.0031898562571024153	0.0031898562571024153	0.000010175182940975431
0.5	2	0.0010197151990598936	0.0010197151990598936	1.0398190871937584e-6
0.5	3	0.000326202488774033	0.000326202488774033	1.0640806368237313e-7
0.5	4	0.00010437390358026006	0.00010437390358026006	1.0893911748581424e-8
0.5	5	0.00003339853371914316	0.00003339853371914316	1.1154620545887427e-9
0.5	6	0.000010687416570416431	0.000010687416570416431	1.1422087294961171e-10
0.5	7	3.4199616064339953e-6	3.4199616064339953e-6	1.1696137389482593e-11
0.5	8	1.0943865163782805e-6	1.0943865163782805e-6	1.1976818472305885e-12
0.5	9	3.5020356259855546e-7	3.5020356259855546e-7	1.2264253525672035e-13
0.5	10	1.1206512747294627e-7	1.1206512747294627e-7	1.2558592795527698e-14
0.5	11	3.586083950534305e-8	3.586083950534305e-8	1.2859998100279728e-15
0.5	12	1.1475468510023401e-8	1.1475468510023401e-8	1.3168637752453871e-16
0.5	13	3.672149909722803e-9	3.672149909722803e-9	1.3484684959477189e-17
0.5	14	1.175087969730465e-9	1.175087969730465e-9	1.3808317366052663e-18
0.5	15	3.760281501723517e-10	3.760281501723517e-10	1.4139716972204067e-19
0.5	16	1.203290080406735e-10	1.203290080406735e-10	1.4479070176052466e-20
0.5	17	3.850528257153288e-11	3.850528257153288e-11	1.4826567859135937e-21
0.5	18	1.23216904227387e-11	1.23216904227387e-11	1.518240548738106e-22
0.5	19	3.942940935260838e-12	3.942940935260838e-12	1.5546783218955614e-23
0.5	20	1.2617410992818764e-12	1.2617410992818764e-12	1.591990601617038e-24
0.5	21	4.0375715177003753e-13	4.0375715177003753e-13	1.6301983760545312e-25
0.5	22	1.2920228856639535e-13	1.2920228856639535e-13	1.6693231370794095e-26
0.5	23	4.1344732341244804e-14	4.1344732341244804e-14	1.709386892369174e-27
0.5	24	1.3230314349198163e-14	1.3230314349198163e-14	1.7504121777859883e-28
0.5	25	4.2337005917433945e-15	4.2337005917433945e-15	1.7924220700528367e-29
0.5	26	1.3547841893578845e-15	1.3547841893578845e-15	1.8354401997341004e-30
0.5	27	4.3353094059452285e-16	4.3353094059452285e-16	1.879490764527717e-31
