lambda	t	m_w	m_x	m_y
3.	0	0.01	0.01	0.0001
3.	1	0.01419684317417752	0.01419684317417752	0.00020155035611219086
3.	2	0.02003745409669786	0.02003745409669786	0.0004014995666772739
3.	3	0.02805458623621008	0.02805458623621008	0.000787059808884948
3.	4	0.03885638454959002	0.03885638454959002	0.001509818620265618
3.	5	0.05305660264572417	0.05305660264572417	0.002815003084306265
3.	6	0.07114608820795083	0.07114608820795083	0.005061765867293521
3.	7	0.09331528767305533	0.09331528767305533	0.008707742913505073
3.	8	0.11928059957797957	0.11928059957797957	0.014227861435682299
3.	9	0.148205471596415	0.148205471596415	0.021964861811115774
3.	10	0.17879305111319238	0.17879305111319238	0.031966955126364625
3.	11	0.20954156887430128	0.20954156887430128	0.04390766908630355
3.	12	0.23905432673783808	0.23905432673783808	0.057146971132081045
3.	13	0.2662721569127068	0.2662721569127068	0.07090086154694514
3.	14	0.29056211443885277	0.29056211443885277	0.08442634234717697
3.	15	0.31168163225691004	0.31168163225691004	0.0971454398863317
3.	16	0.3296787361872728	0.3296787361872728	0.1086880690940374
3.	17	0.34478257924667527	0.34478257924667527	0.11887502695198991
3.	18	0.3573135171839121	0.3573135171839121	0.12767294956233782
3.	19	0.3676207319253662	0.3676207319253662	0.13514500254134196
3.	20	0.37604429339962614	0.37604429339962614	0.1414093105984241
3.	21	0.38289508335266303	0.38289508335266303	0.14660864485564276
3.	22	0.38844632126641293	0.38844632126641293	0.15089054450540929
3.	23	0.3929319636450928	0.3929319636450928	0.15439552805398854
3.	24	0.3965488047718846	0.3965488047718846	0.15725095456601024
3.	25	0.3994603101447869	0.3994603101447869	0.15956853938096932
3.	26	0.4018010352337192	0.4018010352337192	0.16144407191488844
3.	27	0.40368100401713775	0.40368100401713775	0.16295835300428438
3.	28	0.4051897369842731	0.4051897369842731	0.1641787229573844
3.	29	0.4063998006893664	0.4063998006893664	0.1651607980003567
3.	30	0.40736985162175804	0.40736985162175804	0.16595019601033317
3.	31	0.4081471991614373	0.4081471991614373	0.166584136183326
3.	32	0.4087699362498277	0.4087699362498277	0.16709286078168822
3.	33	0.409268694529738	0.409268694529738	0.167500864322076
3.	34	0.4096680804440728	0.4096680804440728	0.16782793613473132
3.	35	0.40998784439372055	0.40998784439372055	0.1680900325506096
3.	36	0.41024382895592576	0.41024382895592576	0.16829999919641886
3.	37	0.4104487356764169	0.4104487356764169	0.16846816461836914
3.	38	0.41061274375412576	0.41061274375412576	0.16860282533329135
3.	39	0.41074400835279745	0.41074400835279745	0.16871064039772293
3.	40	0.41084906141068356	0.41084906141068356	0.16879695126203964
3.	41	0.41093313367956985	0.41093313367956985	0.16886604035571123
3.	42	0.4110004132546219	0.4110004132546219	0.16892133969546996
3.	43	0.4110542529806138	0.4110542529806138	0.16896559889345047
3.	44	0.41109733675574534	0.41109733675574534	0.1690010202876667
3.	45	0.41113181282222094	0.41113181282222094	0.16902936751448572
3.	46	0.4111594005612729	0.4111594005612729	0.16905205266990528
3.	47	0.41118147603657473	0.41118147603657473	0.16907020623561628
