lambda	t	m_w	m_x	m_y
10.	0	1.	1.	1.
10.	1	0.9937888198757763	0.9937888198757763	0.9876162185100881
10.	2	0.9861181193223021	0.9861181193223021	0.9724289452557541
10.	3	0.9767413742557332	0.9767413742557332	0.9540237121829782
10.	4	0.9654203205970711	0.9654203205970711	0.9320363954217514
10.	5	0.9519525026370332	0.9519525026370332	0.9062135672769108
10.	6	0.9362064251562932	0.9362064251562932	0.8764824705039259
10.	7	0.9181600976148605	0.9181600976148605	0.8430179648521302
10.	8	0.8979351239887895	0.8979351239887895	0.8062874868927628
10.	9	0.8758160014144949	0.8758160014144949	0.7670536683336745
10.	10	0.852245068621741	0.852245068621741	0.726321656990076
10.	11	0.8277888475891	0.8277888475891	0.6852343761928902
10.	12	0.8030801883430433	0.8030801883430433	0.6449377889090979
10.	13	0.7787489028945385	0.7787489028945385	0.6064498537594473
10.	14	0.755357194445645	0.755357194445645	0.5705644912007959
10.	15	0.7333533756290638	0.7333533756290638	0.5378071735465427
10.	16	0.7130500649725889	0.7130500649725889	0.5084403951574133
10.	17	0.6946252564671463	0.6946252564671463	0.48250424692204885
10.	18	0.6781396132043807	0.6781396132043807	0.459873334996987
10.	19	0.6635619671081434	0.6635619671081434	0.4403144841924288
10.	20	0.6507963273990246	0.6507963273990246	0.4235358597560584
10.	21	0.6397061166498077	0.6397061166498077	0.4092239156791774
10.	22	0.6301336496644192	0.6301336496644192	0.397068416439401
10.	23	0.6219144964691735	0.6219144964691735	0.38677764091850564
10.	24	0.6148872751414475	0.6148872751414475	0.3780863611308741
10.	25	0.6088997812665597	0.6088997812665597	0.37075894362646433
10.	26	0.6038123952533657	0.6038123952533657	0.3645894086616068
10.	27	0.5994995863327969	0.5994995863327969	0.3593997540131946
10.	28	0.5958501589856304	0.5958501589856304	0.35503741196320104
10.	29	0.592766718991682	0.592766718991682	0.3513723831441637
10.	30	0.590164694934406	0.590164694934406	0.34829436714702056
10.	31	0.5879711419008622	0.5879711419008622	0.34571006370820384
10.	32	0.5861234743454764	0.5861234743454764	0.34354072717881234
10.	33	0.5845682189900774	0.5845682189900774	0.34172000265323105
10.	34	0.5832598404071285	0.5832598404071285	0.340192041431749
10.	35	0.5821596666206815	0.5821596666206815	0.33890987743990303
10.	36	0.5812349257940846	0.5812349257940846	0.3378340389628551
10.	37	0.5804578949957541	0.5804578949957541	0.33693136786290184
10.	38	0.5798051561018467	0.5798051561018467	0.3361740190422868
10.	39	0.5792569506831686	0.5792569506831686	0.33553861491476283
10.	40	0.578796624257949	0.578796624257949	0.3350055322523974
10.	41	0.5784101499145591	0.5784101499145591	0.3345583015241827
10.	42	0.5780857215816206	0.5780857215816206	0.334183101496543
10.	43	0.5778134078608005	0.5778134078608005	0.33386833430371177
10.	44	0.5775848581556536	0.5775848581556536	0.3336042683706865
10.	45	0.5773930537123408	0.5773930537123408	0.3333827384752621
10.	46	0.5772320970645135	0.5772320970645135	0.3331968938814959
10.	47	0.5770970342045748	0.5770970342045748	0.33304098688771616
10.	48	0.5769837045656246	0.5769837045656246	0.332910195334272
10.	49	0.5768886145836157	0.5768886145836157	0.3328004736362035
10.	50	0.5768088312161165	0.5768088312161165	0.33270842776890236
10.	51	0.5767418923255508	0.5767418923255508	0.33263121036325727
10.	52	0.576685731296282	0.576685731296282	0.33256643268072755
10.	53	0.5766386136530078	0.5766386136530078	0.33251209075566285
10.	54	0.5765990837895681	0.5765990837895681	0.33246650342696943
10.	55	0.5765659202092378	0.5765659202092378	0.3324282603467252
10.	56	0.5765380979262813	0.5765380979262813	0.3323961783604543
10.	57	0.5765147568898272	0.5765147568898272	0.3323692649117366
10.	58	0.5764951754702234	0.5764951754702234	0.3323466873404437
10.	59	0.5764787481995821	0.5764787481995821	0.3323277471257572
10.	60	0.5764649670862778	0.5764649670862778	0.33231185827778337
10.	61	0.5764534059312274	0.5764534059312274	0.3322985292097124
10.	62	0.5764437071648862	0.5764437071648862	0.3322873475299971
10.	63	0.5764355708006468	0.5764355708006468	0.33227796728426745
10.	64	0.5764287451649328	0.5764287451649328	0.33227009825241904
10.	65	0.5764230191186331	0.5764230191186331	0.3322634969698401
10.	66	0.5764182155302384	0.5764182155302384	0.3322579591950644
10.	67	0.5764141857994576	0.5764141857994576	0.3322533135908516
10.	68	0.5764108052623839	0.5764108052623839	0.3322494164232298
10.	69	0.5764079693364051	0.5764079693364051	0.33224614711451816
10.	70	0.576405590285833	0.576405590285833	0.33224340451275963
10.	71	0.5764035945083547	0.5764035945083547	0.3322411037621517
10.	72	0.5764019202584766	0.5764019202584766	0.3322391736776592
10.	73	0.5764005157376106	0.5764005157376106	0.3322375545425835
10.	74	0.576399337491772	0.576399337491772	0.33223619626095363
10.	75	0.5763983490673542	0.5763983490673542	0.33223505680757154
10.	76	0.5763975198834267	0.5763975198834267	0.3322341009277653
10.	77	0.5763968242856794	0.5763968242856794	0.33223329904661636
10.	78	0.5763962407527632	0.5763962407527632	0.33223262635391737
10.	79	0.5763957512304776	0.5763957512304776	0.3322320620365466
10.	80	0.5763953405732158	0.5763953405732158	0.33223158863451346
10.	81	0.5763949960753885	0.5763949960753885	0.3322311915007471
10.	82	0.5763947070783325	0.5763947070783325	0.33223085834791677
10.	83	0.576394464640547	0.576394464640547	0.3322305788682628
10.	84	0.5763942612610523	0.5763942612610523	0.33223034441467425
10.	85	0.5763940906473174	0.5763940906473174	0.33223014773314796
10.	86	0.5763939475205732	0.5763939475205732	0.33222998273834925
10.	87	0.5763938274524909	0.5763938274524909	0.33222984432533187
10.	88	0.5763937267281722	0.5763937267281722	0.3322297282115909
10.	89	0.5763936422312114	0.5763936422312114	0.3322296308045617
10.	90	0.5763935713472751	0.5763935713472751	0.3322295490904663
10.	91	0.5763935118832156	0.5763935118832156	0.33222948054106666
10.	92	0.5763934619992153	0.5763934619992153	0.3322294230354408
10.	93	0.5763934201518628	0.5763934201518628	0.3322293747943618
10.	94	0.5763933850464008	0.5763933850464008	0.3322293343252485
10.	95	0.5763933555966656	0.5763933555966656	0.3322293003759842
10.	96	0.5763933308914817	0.5763933308914817	0.3322292718961771
10.	97	0.57639331016647	0.57639331016647	0.33222924800466047
10.	98	0.5763932927803979	0.5763932927803979	0.3322292279622294
10.	99	0.5763932781953398	0.5763932781953398	0.3322292111487704
10.	100	0.5763932659600334	0.5763932659600334	0.3322291970440738
10.	101	0.5763932556959179	0.5763932556959179	0.33222918521173983
10.	102	0.576393247085421	0.576393247085421	0.33222917528567514
10.	103	0.5763932398621335	0.5763932398621335	0.332229166958767
10.	104	0.5763932338025667	0.5763932338025667	0.3322291599733803
10.	105	0.5763932287192373	0.5763932287192373	0.33222915411338694
10.	106	0.5763932244548666	0.5763932244548666	0.33222914919747826
10.	107	0.5763932208775151	0.5763932208775151	0.3322291450735559
10.	108	0.5763932178764993	0.5763932178764993	0.3322291416140256
10.	109	0.5763932153589675	0.5763932153589675	0.33222913871184906
10.	110	0.576393213247027	0.576393213247027	0.3322291362772327
10.	111	0.5763932114753346	0.5763932114753346	0.33222913423484984
10.	112	0.576393209989074	0.576393209989074	0.3322291325215087
10.	113	0.5763932087422599	0.5763932087422599	0.3322291310841983
10.	114	0.5763932076963161	0.5763932076963161	0.33222912987844855
10.	115	0.5763932068188808	0.5763932068188808	0.33222912886695316
10.	116	0.5763932060828065	0.5763932060828065	0.3322291280184167
10.	117	0.5763932054653187	0.5763932054653187	0.3322291273065851
10.	118	0.5763932049473124	0.5763932049473124	0.33222912670943444
10.	119	0.5763932045127604	0.5763932045127604	0.3322291262084889
10.	120	0.5763932041482177	0.5763932041482177	0.332229125788249
10.	121	0.5763932038424053	0.5763932038424053	0.33222912543571265
10.	122	0.5763932035858613	0.5763932035858613	0.33222912513997216
10.	123	0.5763932033706484	0.5763932033706484	0.3322291248918776
10.	124	0.5763932031901077	0.5763932031901077	0.33222912468375276
10.	125	0.5763932030386533	0.5763932030386533	0.33222912450915815
10.	126	0.5763932029115991	0.5763932029115991	0.33222912436269186
10.	127	0.5763932028050144	0.5763932028050144	0.3322291242398224
10.	128	0.5763932027156011	0.5763932027156011	0.33222912413674804
10.	129	0.5763932026405929	0.5763932026405929	0.3322291240502796
10.	130	0.5763932025776692	0.5763932025776692	0.33222912397774207
10.	131	0.5763932025248829	0.5763932025248829	0.3322291239168907
10.	132	0.5763932024806008	0.5763932024806008	0.33222912386584286
10.	133	0.5763932024434528	0.5763932024434528	0.33222912382301917
10.	134	0.5763932024122896	0.5763932024122896	0.3322291237870947
10.	135	0.576393202386147	0.576393202386147	0.3322291237569578
10.	136	0.5763932023642162	0.5763932023642162	0.3322291237316763
10.	137	0.5763932023458186	0.5763932023458186	0.33222912371046776
10.	138	0.5763932023303849	0.5763932023303849	0.33222912369267604
10.	139	0.5763932023174378	0.5763932023174378	0.3322291236777508
10.	140	0.5763932023065765	0.5763932023065765	0.33222912366523005
10.	141	0.576393202297465	0.576393202297465	0.33222912365472645
10.	142	0.5763932022898215	0.5763932022898215	0.33222912364591506
10.	143	0.5763932022834093	0.5763932022834093	0.3322291236385232
10.	144	0.5763932022780303	0.5763932022780303	0.3322291236323223
10.	145	0.5763932022735179	0.5763932022735179	0.3322291236271205
10.	146	0.5763932022697322	0.5763932022697322	0.3322291236227565
10.	147	0.5763932022665568	0.5763932022665568	0.33222912361909585
10.	148	0.5763932022638927	0.5763932022638927	0.3322291236160247
10.	149	0.5763932022616579	0.5763932022616579	0.3322291236134485
10.	150	0.5763932022597832	0.5763932022597832	0.3322291236112873
10.	151	0.5763932022582103	0.5763932022582103	0.33222912360947415
10.	152	0.576393202256891	0.576393202256891	0.3322291236079532
10.	153	0.5763932022557842	0.5763932022557842	0.33222912360667733
10.	154	0.5763932022548556	0.5763932022548556	0.33222912360560686
