lambda	t	m_w	m_x	m_y
0.5	0	1.	1.	1.
0.5	1	0.2857142857142858	0.2857142857142858	0.08163265306122454
0.5	2	0.08504176157934704	0.08504176157934704	0.007232101212518506
0.5	3	0.02652977255586092	0.02652977255586092	0.0007038288318657113
0.5	4	0.008419237016421735	0.008419237016421735	0.00007088355193868596
0.5	5	0.0026869548622876945	0.0026869548622876945	7.219726431971483e-6
0.5	6	0.0008590881304789352	0.0008590881304789352	7.38032415929792e-7
0.5	7	0.00027483268856015076	0.00027483268856015076	7.553300670120082e-8
0.5	8	0.00008793872776786965	0.00008793872776786965	7.733219841431488e-9
0.5	9	0.000028139601069810484	0.000028139601069810484	7.918371483680793e-10
0.5	10	9.004591260371511e-6	9.004591260371511e-6	8.1082663766359e-11
0.5	11	2.881460900524765e-6	2.881460900524765e-6	8.302816921252991e-12
0.5	12	9.220666379617873e-7	9.220666379617873e-7	8.502068848421538e-13
0.5	13	2.9506123708666284e-7	2.9506123708666284e-7	8.706113363111186e-14
0.5	14	9.441958695267453e-8	9.441958695267453e-8	8.915058400313667e-15
0.5	15	3.021426691195394e-8	3.021426691195394e-8	9.129019250267946e-16
0.5	16	9.668565318344107e-9	9.668565318344107e-9	9.348115531508648e-17
0.5	17	3.0939408922976437e-9	3.0939408922976437e-9	9.57247024503154e-18
0.5	18	9.900610845550252e-10	9.900610845550252e-10	9.802209511502728e-19
0.5	19	3.168195469572335e-10	3.168195469572335e-10	1.0037462533418668e-19
0.5	20	1.0138225501603638e-10	1.0138225501603638e-10	1.0278361632136633e-20
0.5	21	3.244232160407915e-11	3.244232160407915e-11	1.052504231062501e-21
0.5	22	1.0381542913197553e-11	1.0381542913197553e-11	1.0777643325856234e-22
0.5	23	3.322093732212182e-12	3.322093732212182e-12	1.1036306765603464e-23
0.5	24	1.0630699943067681e-12	1.0630699943067681e-12	1.130117812795392e-24
0.5	25	3.4018239817805013e-13	3.4018239817805013e-13	1.1572406403016945e-25
0.5	26	1.0885836741696418e-13	1.0885836741696418e-13	1.185014415668677e-26
0.5	27	3.483467757342733e-14	3.483467757342733e-14	1.2134547616446411e-27
0.5	28	1.1147096823496623e-14	1.1147096823496623e-14	1.242577675924085e-28
0.5	29	3.567070983518908e-15	3.567070983518908e-15	1.2723995401462547e-29
0.5	30	1.1414627147260496e-15	1.1414627147260496e-15	1.302937129109763e-30
0.5	31	3.652680687123358e-16	3.652680687123358e-16	1.3342076202083967e-31
0.5	32	1.168857819879474e-16	1.168857819879474e-16	1.3662286030933973e-32
0.5	33	3.7403450236143166e-17	3.7403450236143166e-17	1.3990180895676384e-33
0.5	34	1.1969104075565812e-17	1.1969104075565812e-17	1.4325945237172614e-34
0.5	35	3.83011330418106e-18	3.83011330418106e-18	1.4669767922864758e-35
0.5	36	1.2256362573379397e-18	1.2256362573379397e-18	1.5021842353013524e-36
0.5	37	3.9220360234814076e-19	3.9220360234814076e-19	1.5382366569485851e-37
0.5	38	1.2550515275140503e-19	1.2550515275140503e-19	1.5751543367153508e-38
0.5	39	4.0161648880449615e-20	4.0161648880449615e-20	1.6129580407965198e-39
0.5	40	1.2851727641743876e-20	1.2851727641743876e-20	1.651669033775636e-40
0.5	41	4.112552845358041e-21	4.112552845358041e-21	1.6913090905862519e-41
0.5	42	1.3160169105145731e-21	1.3160169105145731e-21	1.731900508760322e-42
0.5	43	4.211254113646634e-22	4.211254113646634e-22	1.7734661209705696e-43
0.5	44	1.347601316366923e-22	1.347601316366923e-22	1.8160293078738635e-44
0.5	45	4.312324212374154e-23	4.312324212374154e-23	1.8596140112628366e-45
0.5	46	1.3799437479597292e-23	1.3799437479597292e-23	1.9042447475331447e-46
0.5	47	4.415819993471134e-24	4.415819993471134e-24	1.9499466214739406e-47
0.5	48	1.4130623979107633e-24	1.4130623979107633e-24	1.9967453403893164e-48
0.5	49	4.521799673314443e-25	4.521799673314443e-25	2.0446672285586604e-49
0.5	50	1.446975895460622e-25	1.446975895460622e-25	2.0937392420440686e-50
0.5	51	4.6303228654739905e-26	4.6303228654739905e-26	2.1439889838531268e-51
0.5	52	1.4817033169516774e-26	1.4817033169516774e-26	2.195444719465603e-52
0.5	53	4.741450614245368e-27	4.741450614245368e-27	2.248135392732778e-53
0.5	54	1.5172641965585176e-27	1.5172641965585176e-27	2.3020906421583637e-54
0.5	55	4.855245428987257e-28	4.855245428987257e-28	2.357340817570165e-55
0.5	56	1.553678537275922e-28	1.553678537275922e-28	2.4139169971918484e-56
0.5	57	4.9717713192829496e-29	4.9717713192829496e-29	2.4718510051244523e-57
0.5	58	1.5909668221705436e-29	1.5909668221705436e-29	2.531175429247438e-58
0.5	59	5.091093830945739e-30	5.091093830945739e-30	2.591923639549376e-59
0.5	60	1.6291500259026367e-30	1.6291500259026367e-30	2.654129806898562e-60
0.5	61	5.213280082888439e-31	5.213280082888439e-31	2.717828922264129e-61
0.5	62	1.6682496265243007e-31	1.6682496265243007e-31	2.7830568163984687e-62
0.5	63	5.338398804877763e-32	5.338398804877763e-32	2.8498501799920326e-63
0.5	64	1.708287617560884e-32	1.708287617560884e-32	2.9182465843118407e-64
0.5	65	5.4665203761948304e-33	5.4665203761948304e-33	2.988284502335327e-65
0.5	66	1.7492865203823456e-33	1.7492865203823456e-33	3.0600033303913744e-66
0.5	67	5.597716865223507e-34	5.597716865223507e-34	3.133443410320769e-67
0.5	68	1.7912693968715223e-34	1.7912693968715223e-34	3.2086460521684673e-68
0.5	69	5.732062069988871e-35	5.732062069988871e-35	3.2856535574205105e-69
0.5	70	1.834259862396439e-35	1.834259862396439e-35	3.364509242798604e-70
0.5	71	5.869631559668606e-36	5.869631559668606e-36	3.445257464625771e-71
0.5	72	1.8782820990939538e-36	1.8782820990939538e-36	3.527943643776789e-72
0.5	73	6.010502717100652e-37	6.010502717100652e-37	3.6126142912274315e-73
