alpha,replica,num_replicas,cosine_similarity,loss,steps,runtime_sec,completed,total
0.2,1,5,0.0618061051,3.5808820724,50000,1642.3,1,100
0.2,2,5,0.0360588804,0.68361502886,50000,1644.8,2,100
0.2,3,5,0.062083263,3.9042136669,50000,1635.5,3,100
0.2,4,5,0.0591627508,3.7805054188,50000,1634.0,4,100
0.2,5,5,0.0590885058,3.5656983852,50000,1633.8,5,100
0.4,1,5,0.1062049493,1.4030445814,50000,1636.9,6,100
0.4,2,5,0.0926070362,1.3823406696,50000,1636.7,7,100
0.4,3,5,0.0557594784,0.25092771649,17001,556.3,8,100
0.4,4,5,0.1176503524,1.3877470493,50000,1637.2,9,100
0.4,5,5,0.1090369448,1.863161087,50000,1636.0,10,100
0.6,1,5,0.1025365815,0.20489560068,10951,358.8,11,100
0.6,2,5,0.1164345592,0.15697163343,50000,1637.3,12,100
0.6,3,5,0.1016171724,0.11275976896,26601,870.8,13,100
0.6,4,5,0.1462765336,0.49385845661,50000,1636.8,14,100
0.6,5,5,0.1156425551,0.31668880582,14851,486.3,15,100
0.8,1,5,0.2491632998,0.6065826416,50000,1638.4,16,100
0.8,2,5,0.2638220191,0.65880447626,50000,1637.9,17,100
0.8,3,5,0.194026351,0.14918234944,50000,1638.7,18,100
0.8,4,5,0.1809598953,0.14335025847,50000,1637.6,19,100
0.8,5,5,0.2401172072,0.46054205298,41801,1370.5,20,100
1.0,1,5,0.2390794456,0.15050654113,20801,681.4,21,100
1.0,2,5,0.3199308217,0.41286641359,50000,1642.3,22,100
1.0,3,5,0.1712331474,0.1439782083,6501,212.7,23,100
1.0,4,5,0.1540234238,0.20586210489,5001,163.9,24,100
1.0,5,5,0.1814877391,0.22284327447,5351,175.0,25,100
1.2,1,5,0.3570275903,0.23577843606,50000,1637.4,26,100
1.2,2,5,0.3115165234,0.13043607771,45051,1475.7,27,100
1.2,3,5,0.3473832309,0.21749521792,50000,1637.8,28,100
1.2,4,5,0.2341853082,0.084888458252,13201,432.4,29,100
1.2,5,5,0.2706255019,0.077653460205,38701,1268.5,30,100
1.4,1,5,0.3073547482,0.088029325008,18651,610.7,31,100
1.4,2,5,0.3149618804,0.083995565772,17901,586.1,32,100
1.4,3,5,0.31016469,0.085028521717,17901,586.0,33,100
1.4,4,5,0.2818287909,0.085878744721,15801,517.6,34,100
1.4,5,5,0.3149541318,0.082623764873,18501,605.6,35,100
1.6,1,5,0.4145791233,0.098709359765,50000,1638.7,36,100
1.6,2,5,0.2383713275,0.40636044741,1451,47.6,37,100
1.6,3,5,0.30265674,0.22028750181,3051,100.0,38,100
1.6,4,5,0.3453561962,0.10267260671,20051,656.8,39,100
1.6,5,5,0.4071832895,0.1033936888,33701,1103.8,40,100
1.8,1,5,0.5417707562,0.11668837816,12301,402.6,41,100
1.8,2,5,0.5457168818,0.11733953655,11051,362.1,42,100
1.8,3,5,0.5499446988,0.12026920915,9451,309.4,43,100
1.8,4,5,0.4527832568,0.11114002764,7301,239.4,44,100
1.8,5,5,0.5550591946,0.12462518364,10701,350.4,45,100
2.0,1,5,0.8920844793,0.036646138877,2651,86.9,46,100
2.0,2,5,0.9539622068,0.046974159777,28451,932.4,47,100
2.0,3,5,0.9171078205,0.03507277742,2951,96.8,48,100
2.0,4,5,0.9043450952,0.013882822357,10051,329.8,49,100
2.0,5,5,0.9319958687,0.078933641315,5251,171.8,50,100
2.2,1,5,0.989213407,0.0008674923447,10951,358.7,51,100
2.2,2,5,0.9890563488,0.00087181985145,11551,380.6,52,100
2.2,3,5,0.9914287925,0.00089228001889,12551,415.9,53,100
2.2,4,5,0.9914317131,0.00089572323486,11801,387.7,54,100
2.2,5,5,0.9910463691,0.00087924359832,11701,384.5,55,100
2.4,1,5,0.9994950891,0.00022435258143,23101,778.2,56,100
2.4,2,5,0.9995815158,0.00022608970175,22851,786.9,57,100
2.4,3,5,0.9993848205,0.00023005600087,22901,769.9,58,100
2.4,4,5,0.9995962977,0.00022135417385,23951,816.7,59,100
2.4,5,5,0.9995707273,0.00023084011627,24651,810.5,60,100
