step,loss_mean,loss_std,log10_loss_mean,log10_loss_std,cosine_similarity_mean,cosine_similarity_std,loss_replica_1,loss_replica_2,loss_replica_3,cosine_similarity_replica_1,cosine_similarity_replica_2,cosine_similarity_replica_3
1,2.5213036686e-02,5.8517319722e-04,-1.5984926435e+00,1.0133096687e-02,9.8827157418e-01,1.6934933332e-04,2.4423554540e-02,2.5392882526e-02,2.5822672993e-02,9.8849862814e-01,9.8822402954e-01,9.8809206486e-01
2,5.3208870192e-02,5.1168730653e-03,-1.2760753782e+00,4.2558182409e-02,9.8028065761e-01,1.9484359345e-03,4.6503119171e-02,5.4206270725e-02,5.8917220682e-02,9.8289209604e-01,9.7973644733e-01,9.7821342945e-01
3,7.6722881446e-02,2.5699018507e-02,-1.1419433613e+00,1.5654009161e-01,9.7203107675e-01,9.2478801294e-03,4.5000907034e-02,7.7223315835e-02,1.0794442147e-01,9.8332250118e-01,9.7210049629e-01,9.6067023277e-01
4,7.3930191497e-02,2.5390603076e-02,-1.1596471238e+00,1.6144634767e-01,9.7282620271e-01,9.2307895084e-03,4.2504034936e-02,7.4599280953e-02,1.0468725860e-01,9.8413252831e-01,9.7282427549e-01,9.6152180433e-01
5,7.1067118396e-02,2.5263248873e-02,-1.1789346416e+00,1.6753856540e-01,9.7364954154e-01,9.1995895935e-03,3.9940956980e-02,7.1440756321e-02,1.0181964189e-01,9.8487198353e-01,9.7373843193e-01,9.6233820915e-01
6,6.8569192042e-02,2.5268520207e-02,-1.1970110660e+00,1.7468011710e-01,9.7433962425e-01,9.2602512557e-03,3.7469673902e-02,6.8875521421e-02,9.9362380803e-02,9.8563152552e-01,9.7443807125e-01,9.6294927597e-01
7,6.6377395143e-02,2.5011171446e-02,-1.2127716924e+00,1.7916972829e-01,9.7496869167e-01,9.2054417740e-03,3.5642053932e-02,6.6584520042e-02,9.6905611455e-02,9.8617839813e-01,9.7509682178e-01,9.6363085508e-01
8,6.4536890636e-02,2.4981166100e-02,-1.2272442858e+00,1.8531547141e-01,9.7546339035e-01,9.2507892199e-03,3.3789191395e-02,6.4843483269e-02,9.4977997243e-02,9.8676759005e-01,9.7551453114e-01,9.6410804987e-01
9,6.3040523479e-02,2.4655416265e-02,-1.2382207564e+00,1.8730130991e-01,9.7585902611e-01,9.1922864845e-03,3.2764803618e-02,6.3199400902e-02,9.3157365918e-02,9.8705750704e-01,9.7597754002e-01,9.6454203129e-01
10,6.2387819091e-02,2.4393681992e-02,-1.2427452621e+00,1.8734085229e-01,9.7597614924e-01,9.1494010679e-03,3.2413832843e-02,6.2584690750e-02,9.2164933681e-02,9.8714131117e-01,9.7605675459e-01,9.6473038197e-01
11,6.2837208311e-02,2.3979901498e-02,-1.2374483937e+00,1.8138666542e-01,9.7572167714e-01,9.0715965463e-03,3.3480241895e-02,6.2812633812e-02,9.2218749225e-02,9.8675572872e-01,9.7587281466e-01,9.6453648806e-01
12,6.4254198223e-02,2.3505243273e-02,-1.2245163321e+00,1.7246070243e-01,9.7515743971e-01,8.9471417240e-03,3.5482291132e-02,6.4222186804e-02,9.3058116734e-02,9.8604345322e-01,9.7529995441e-01,9.6412891150e-01
13,6.6068394730e-02,2.2987211303e-02,-1.2088132119e+00,1.6185806561e-01,9.7448343039e-01,8.8309991961e-03,3.8124721497e-02,6.5653391182e-02,9.4427071512e-02,9.8516619205e-01,9.7474461794e-01,9.6353948116e-01
14,6.8524656196e-02,2.2398755412e-02,-1.1892378326e+00,1.5052981700e-01,9.7367070119e-01,8.6813940289e-03,4.1345626116e-02,6.8024046719e-02,9.6204295754e-02,9.8416006565e-01,9.7395139933e-01,9.6290063858e-01
15,7.1839051942e-02,2.1606492787e-02,-1.1644547514e+00,1.3643782892e-01,9.7253153721e-01,8.4340889566e-03,4.5855179429e-02,7.0906564593e-02,9.8755411804e-02,9.8262959719e-01,9.7298002243e-01,9.6198499203e-01
16,7.6038745542e-02,2.0633145897e-02,-1.1356044885e+00,1.2143351486e-01,9.7118894259e-01,8.1392305235e-03,5.1436752081e-02,7.4751272798e-02,1.0192821175e-01,9.8088186979e-01,9.7171890736e-01,9.6096605062e-01
17,8.1271838397e-02,1.9523266881e-02,-1.1028455404e+00,1.0591700440e-01,9.6936031183e-01,7.7679045946e-03,5.8376524597e-02,7.9355724156e-02,1.0608326644e-01,9.7845941782e-01,9.7014135122e-01,9.5948016644e-01
18,8.7862918774e-02,1.8017299071e-02,-1.0653442873e+00,8.9190637529e-02,9.6721587578e-01,7.2694587990e-03,6.7199014127e-02,8.5284143686e-02,1.1110559851e-01,9.7555875778e-01,9.6824681759e-01,9.5784205198e-01
19,9.5615920921e-02,1.6486802248e-02,-1.0258375115e+00,7.4103919223e-02,9.6451300383e-01,6.7509991897e-03,7.7373057604e-02,9.2162758112e-02,1.1731194705e-01,9.7205835581e-01,9.6580636501e-01,9.5567429066e-01
20,1.0517284026e-01,1.4398925957e-02,-9.8205413352e-01,5.8207256127e-02,9.6138660113e-01,6.0330330444e-03,9.0295746922e-02,1.0056988895e-01,1.2465288490e-01,9.6774500608e-01,9.6313428879e-01,9.5328050852e-01
21,1.1607431124e-01,1.2364552001e-02,-9.3764128725e-01,4.5022805831e-02,9.5758303006e-01,5.3231909760e-03,1.0475286096e-01,1.1019416153e-01,1.3327591121e-01,9.6275687218e-01,9.5973193645e-01,9.5026028156e-01
22,1.2918196867e-01,1.0091499323e-02,-8.9008043214e-01,3.3092913584e-02,9.5321989059e-01,4.4530667824e-03,1.2252822518e-01,1.2157479674e-01,1.4344288409e-01,9.5667374134e-01,9.5605343580e-01,9.4693249464e-01
23,1.4390239120e-01,8.3751127936e-03,-8.4266116454e-01,2.5111485002e-02,9.4808262587e-01,3.6874224222e-03,1.4225843549e-01,1.3456627727e-01,1.5488246083e-01,9.4982248545e-01,9.5147007704e-01,9.4295531511e-01
