step,loss_mean,loss_std,log10_loss_mean,log10_loss_std,cosine_similarity_mean,cosine_similarity_std,loss_replica_1,loss_replica_2,loss_replica_3,cosine_similarity_replica_1,cosine_similarity_replica_2,cosine_similarity_replica_3
1,1.5983560483e+00,5.8173830084e-03,2.0367065629e-01,1.5790098741e-03,2.0038897792e-01,4.5413447116e-04,1.5928776264e+00,1.5957798958e+00,1.6064106226e+00,2.0103117824e-01,2.0006145537e-01,2.0007430017e-01
2,1.5904980103e+00,5.2245875449e-03,2.0153078353e-01,1.4282074072e-03,2.0081041753e-01,1.3536418032e-03,1.5947542191e+00,1.5831394196e+00,1.5936003923e+00,1.9889609516e-01,2.0177440345e-01,2.0176075399e-01
3,1.5738991896e+00,5.6477560992e-03,1.9697411132e-01,1.5602326167e-03,2.0310104390e-01,1.4393539653e-03,1.5788155794e+00,1.5659896135e+00,1.5768923759e+00,2.0106577873e-01,2.0414836705e-01,2.0408898592e-01
4,1.5521101157e+00,6.4266668090e-03,1.9091879965e-01,1.8007145880e-03,2.0618277291e-01,1.5338243584e-03,1.5575757027e+00,1.5430885553e+00,1.5556660891e+00,2.0401930809e-01,2.0740048587e-01,2.0712852478e-01
5,1.5244702498e+00,7.7631614776e-03,1.8311330921e-01,2.2154627466e-03,2.1020363768e-01,1.6521177284e-03,1.5307649374e+00,1.5135329962e+00,1.5291128159e+00,2.0790113509e-01,2.1169854701e-01,2.1101123095e-01
6,1.4903306564e+00,9.7172436910e-03,1.7327337497e-01,2.8382402516e-03,2.1526353061e-01,1.8673551674e-03,1.4975906610e+00,1.4765958786e+00,1.4968054295e+00,2.1273918450e-01,2.1719747782e-01,2.1585392952e-01
7,1.4492401679e+00,1.2388235207e-02,1.6112443163e-01,3.7236251931e-03,2.2153080006e-01,2.1209889575e-03,1.4572504759e+00,1.4317413568e+00,1.4587286711e+00,2.1885675192e-01,2.2404468060e-01,2.2169096768e-01
8,1.4014688333e+00,1.6164276459e-02,1.4655440533e-01,5.0287918021e-03,2.2897022466e-01,2.5920149833e-03,1.4107170105e+00,1.3787400723e+00,1.4149494171e+00,2.2603850067e-01,2.3234175146e-01,2.2853042185e-01
9,1.3470659256e+00,2.1029786876e-02,1.2933557137e-01,6.8141388347e-03,2.3767101765e-01,3.2378602148e-03,1.3576844931e+00,1.3176981211e+00,1.3658151627e+00,2.3451663554e-01,2.4212275445e-01,2.3637366295e-01
10,1.2867129644e+00,2.7065352831e-02,1.0938478058e-01,9.1934172428e-03,2.4745979905e-01,4.1757227032e-03,1.2989000082e+00,1.2491964102e+00,1.3120424747e+00,2.4395518005e-01,2.5332832336e-01,2.4509589374e-01
11,1.2213179668e+00,3.4149925738e-02,8.6657158983e-02,1.2240327121e-02,2.5828495622e-01,5.3085979099e-03,1.2351167202e+00,1.1743371487e+00,1.2545000315e+00,2.5450170040e-01,2.6579236984e-01,2.5456079841e-01
12,1.1523163319e+00,4.2144913495e-02,6.1277358763e-02,1.6042660013e-02,2.6979054014e-01,6.7192835911e-03,1.1680053473e+00,1.0946754217e+00,1.1942682266e+00,2.6559609175e-01,2.7927207947e-01,2.6450344920e-01
13,1.0807029804e+00,5.0670619119e-02,3.3221102524e-02,2.0613266648e-02,2.8182193637e-01,8.2699213521e-03,1.0980548859e+00,1.0118153095e+00,1.1322387457e+00,2.7734741569e-01,2.9341715574e-01,2.7470123768e-01
14,1.0082584023e+00,5.9631110475e-02,2.7965842085e-03,2.6081221262e-02,2.9393812021e-01,9.9830105844e-03,1.0277596712e+00,9.2745441198e-01,1.0695611238e+00,2.8907597065e-01,3.0784788728e-01,2.8489050269e-01
