step,loss_mean,loss_std,log10_loss_mean,log10_loss_std,cosine_similarity_mean,cosine_similarity_std,loss_replica_1,cosine_similarity_replica_1
1,2.1490985528e-02,0.0000000000e+00,-1.6677436683e+00,0.0000000000e+00,9.8943442106e-01,0.0000000000e+00,2.1490985528e-02,9.8943442106e-01
2,3.1357489526e-02,0.0000000000e+00,-1.5036587141e+00,0.0000000000e+00,9.8699539900e-01,0.0000000000e+00,3.1357489526e-02,9.8699539900e-01
3,5.6076288223e-02,0.0000000000e+00,-1.2512207407e+00,0.0000000000e+00,9.8059463501e-01,0.0000000000e+00,5.6076288223e-02,9.8059463501e-01
4,5.3666681051e-02,0.0000000000e+00,-1.2702952623e+00,0.0000000000e+00,9.8131531477e-01,0.0000000000e+00,5.3666681051e-02,9.8131531477e-01
5,5.1365986466e-02,0.0000000000e+00,-1.2893243670e+00,0.0000000000e+00,9.8202055693e-01,0.0000000000e+00,5.1365986466e-02,9.8202055693e-01
6,4.9252972007e-02,0.0000000000e+00,-1.3075675583e+00,0.0000000000e+00,9.8267561197e-01,0.0000000000e+00,4.9252972007e-02,9.8267561197e-01
7,4.7383237630e-02,0.0000000000e+00,-1.3243752679e+00,0.0000000000e+00,9.8326283693e-01,0.0000000000e+00,4.7383237630e-02,9.8326283693e-01
8,4.5746732503e-02,0.0000000000e+00,-1.3396399203e+00,0.0000000000e+00,9.8377650976e-01,0.0000000000e+00,4.5746732503e-02,9.8377650976e-01
9,4.4328872114e-02,0.0000000000e+00,-1.3533133186e+00,0.0000000000e+00,9.8422616720e-01,0.0000000000e+00,4.4328872114e-02,9.8422616720e-01
10,4.3112140149e-02,0.0000000000e+00,-1.3654004176e+00,0.0000000000e+00,9.8461765051e-01,0.0000000000e+00,4.3112140149e-02,9.8461765051e-01
11,4.2078729719e-02,0.0000000000e+00,-1.3759373792e+00,0.0000000000e+00,9.8496687412e-01,0.0000000000e+00,4.2078729719e-02,9.8496687412e-01
12,4.1256070137e-02,0.0000000000e+00,-1.3845121433e+00,0.0000000000e+00,9.8523640633e-01,0.0000000000e+00,4.1256070137e-02,9.8523640633e-01
13,4.0653426200e-02,0.0000000000e+00,-1.3909028469e+00,0.0000000000e+00,9.8544096947e-01,0.0000000000e+00,4.0653426200e-02,9.8544096947e-01
14,4.0197234601e-02,0.0000000000e+00,-1.3958038235e+00,0.0000000000e+00,9.8559409380e-01,0.0000000000e+00,4.0197234601e-02,9.8559409380e-01
