replica,seed,runtime_sec,final_loss,estimated_convergence_step,cosine_similarity
1,100,379.9403,7.5782090425e-02,235,9.3522858620e-01
2,101,380.1822,7.3497869074e-02,217,9.3481034040e-01
3,102,380.1227,8.1897519529e-02,103,9.3171423674e-01
4,103,379.9360,5.7179324329e-02,379,9.4183665514e-01
5,104,380.1414,7.2934888303e-02,704,9.3993967772e-01
6,105,380.6270,5.7348009199e-02,525,9.4125789404e-01
7,106,380.0128,5.0745874643e-02,1086,9.5120310783e-01
8,107,380.7690,1.8821610138e-02,391,9.6629846096e-01
9,108,380.8366,1.3950128853e-01,351,8.9811563492e-01
10,109,380.0058,1.6472319141e-02,340,9.6208137274e-01
