step,loss_mean,loss_std,log10_loss_mean,log10_loss_std,cosine_similarity_mean,cosine_similarity_std,loss_replica_1,loss_replica_2,loss_replica_3,cosine_similarity_replica_1,cosine_similarity_replica_2,cosine_similarity_replica_3
1,1.8788508972e+00,1.6035475365e-03,2.7389215832e-01,3.7065546033e-04,5.9261895716e-02,4.1945497617e-04,1.8768974543e+00,1.8808251619e+00,1.8788300753e+00,5.9679351747e-02,5.8688186109e-02,5.9418149292e-02
2,1.8721033732e+00,1.4988610910e-03,2.7232968663e-01,3.4766267947e-04,6.0015284767e-02,4.1331636297e-04,1.8704648018e+00,1.8740872145e+00,1.8717581034e+00,6.0388769954e-02,5.9439148754e-02,6.0217935592e-02
3,1.8650057316e+00,1.4484679925e-03,2.7068003988e-01,3.3724511465e-04,6.0824807733e-02,4.0835196404e-04,1.8634713888e+00,1.8669482470e+00,1.8645975590e+00,6.1187025160e-02,6.0254178941e-02,6.1033219099e-02
4,1.8573062817e+00,1.4105179321e-03,2.6888340238e-01,3.2976384733e-04,6.1722743014e-02,4.0557342962e-04,1.8558632135e+00,1.8592205048e+00,1.8568351269e+00,6.2076177448e-02,6.1154812574e-02,6.1937239021e-02
5,1.8490647475e+00,1.3804130371e-03,2.6695199784e-01,3.2415719191e-04,6.2702211241e-02,4.0282169102e-04,1.8477118015e+00,1.8509600163e+00,1.8485224247e+00,6.3046321273e-02,6.2136977911e-02,6.2923334539e-02
6,1.8403680325e+00,1.3563326434e-03,2.6490456297e-01,3.2000131933e-04,6.3751402001e-02,4.0133886846e-04,1.8391040564e+00,1.8422495127e+00,1.8397505283e+00,6.4087457955e-02,6.3187256455e-02,6.3979491591e-02
7,1.8312978347e+00,1.3404585743e-03,2.6275886560e-01,3.1781707010e-04,6.4860582352e-02,4.0088812554e-04,1.8301194906e+00,1.8331730366e+00,1.8306009769e+00,6.5189570189e-02,6.4296223223e-02,6.5095953643e-02
8,1.8219255209e+00,1.3291449712e-03,2.6053050380e-01,3.1675165885e-04,6.6020709773e-02,4.0094683609e-04,1.8208315372e+00,1.8237962723e+00,1.8211487532e+00,6.6343367100e-02,6.5455578268e-02,6.6263183951e-02
9,1.8123065631e+00,1.3193335707e-03,2.5823154816e-01,3.1607984224e-04,6.7223732670e-02,4.0093415732e-04,1.8112952709e+00,1.8141701221e+00,1.8114542961e+00,6.7540287971e-02,6.6658064723e-02,6.7472845316e-02
10,1.8024893204e+00,1.3125943346e-03,2.5587258514e-01,3.1617710870e-04,6.8463007609e-02,4.0070487193e-04,1.8015592098e+00,1.8043456078e+00,1.8015631437e+00,6.8772837520e-02,6.7897178233e-02,6.8719007075e-02
11,1.7925142845e+00,1.3113761517e-03,2.5346250904e-01,3.1764198305e-04,6.9733495514e-02,4.0137179546e-04,1.7916650772e+00,1.7943667173e+00,1.7915110588e+00,7.0036441088e-02,6.9166310132e-02,6.9997735322e-02
12,1.7824135224e+00,1.3139980858e-03,2.5100835034e-01,3.2008265550e-04,7.1031033993e-02,4.0279885470e-04,1.7816427946e+00,1.7842632532e+00,1.7813345194e+00,7.1327939630e-02,7.0461563766e-02,7.1303598583e-02
13,1.7722124656e+00,1.3176242278e-03,2.4851566703e-01,3.2281668439e-04,7.2350954016e-02,4.0395298379e-04,1.7715151310e+00,1.7740576267e+00,1.7710646391e+00,7.2642035782e-02,7.1779713035e-02,7.2631113231e-02
14,1.7619353135e+00,1.3236837771e-03,2.4598983746e-01,3.2619715175e-04,7.3690623045e-02,4.0513291866e-04,1.7613085508e+00,1.7637763023e+00,1.7607210875e+00,7.3975697160e-02,7.3117680848e-02,7.3978491127e-02
15,1.7515981197e+00,1.3315469425e-03,2.4343434487e-01,3.3007682141e-04,7.5047766169e-02,4.0661442004e-04,1.7510417700e+00,1.7534343004e+00,1.7503182888e+00,7.5326897204e-02,7.4472807348e-02,7.5343593955e-02
16,1.7412165403e+00,1.3393351468e-03,2.4085265555e-01,3.3399347806e-04,7.6419768234e-02,4.0891962669e-04,1.7407305241e+00,1.7430449724e+00,1.7398741245e+00,7.6693661511e-02,7.5841732323e-02,7.6723910868e-02
17,1.7308030128e+00,1.3482817075e-03,2.3824751077e-01,3.3825424284e-04,7.7804187934e-02,4.1170813771e-04,1.7303812504e+00,1.7326242924e+00,1.7294034958e+00,7.8074179590e-02,7.7222444117e-02,7.8115940094e-02
