step,loss_mean,loss_std,log10_loss_mean,log10_loss_std,cosine_similarity_mean,cosine_similarity_std,loss_replica_1,loss_replica_2,loss_replica_3,cosine_similarity_replica_1,cosine_similarity_replica_2,cosine_similarity_replica_3
1,1.9982303381e+00,2.7501478220e-03,3.0064513680e-01,5.9797925980e-04,-8.9396742017e-05,4.7892397545e-04,1.9943833351e+00,2.0006492138e+00,1.9996584654e+00,5.4422032554e-04,-1.9896309823e-04,-6.1344745336e-04
2,1.9918282429e+00,2.6304787513e-03,2.9925150719e-01,5.7377155557e-04,3.8807965757e-04,4.7205144354e-04,1.9881736040e+00,1.9942570925e+00,1.9930540323e+00,1.0144857224e-03,2.7477767435e-04,-1.2502442405e-04
3,1.9850704273e+00,2.6211587294e-03,2.9777554068e-01,5.7367711025e-04,8.8712669094e-04,4.6742969621e-04,1.9814414978e+00,1.9875397682e+00,1.9862300158e+00,1.5046049375e-03,7.8277994180e-04,3.7399519351e-04
4,1.9777518908e+00,2.5834451196e-03,2.9617143770e-01,5.6749673547e-04,1.4558713689e-03,4.6535248681e-04,1.9742020369e+00,1.9802752733e+00,1.9787783623e+00,2.0731426775e-03,1.3448755490e-03,9.4959588023e-04
5,1.9699526230e+00,2.5382427653e-03,2.9445542094e-01,5.5975688497e-04,2.0637971660e-03,4.5540077377e-04,1.9664908648e+00,1.9725058079e+00,1.9708611965e+00,2.6667448692e-03,1.9583471585e-03,1.5662994701e-03
6,1.9617224137e+00,2.5012091568e-03,2.9263720101e-01,5.5388763061e-04,2.7202748849e-03,4.5460061058e-04,1.9583367109e+00,1.9643023014e+00,1.9625282288e+00,3.3212769777e-03,2.6174855884e-03,2.2220620885e-03
7,1.9531421661e+00,2.4578975715e-03,2.9073351205e-01,5.4666946876e-04,3.4178340187e-03,4.4938841428e-04,1.9498440027e+00,1.9557417631e+00,1.9538407326e+00,4.0123225190e-03,3.3151726238e-03,2.9260069132e-03
8,1.9442747434e+00,2.4178267330e-03,2.8875729871e-01,5.4019243316e-04,4.1478934387e-03,4.4469578017e-04,1.9410597086e+00,1.9468904734e+00,1.9448740482e+00,4.7361333854e-03,4.0464177728e-03,3.6611291580e-03
9,1.9351671139e+00,2.3822392511e-03,2.8671814590e-01,5.3472915494e-04,4.9073843596e-03,4.4127574392e-04,1.9320303202e+00,1.9377999306e+00,1.9356710911e+00,5.4911994375e-03,4.8064123839e-03,4.4245412573e-03
10,1.9258668423e+00,2.3471066211e-03,2.8462593337e-01,5.2936985799e-04,5.6914395342e-03,4.3726987247e-04,1.9228091240e+00,1.9285142422e+00,1.9262771606e+00,6.2698894180e-03,5.5915666744e-03,5.2128625102e-03
11,1.9164107641e+00,2.3133860763e-03,2.8248828505e-01,5.2432106432e-04,6.4969716283e-03,4.3405735722e-04,1.9134324789e+00,1.9190725088e+00,1.9167273045e+00,7.0713069290e-03,6.3974549994e-03,6.0221529566e-03
12,1.9068285227e+00,2.2841041229e-03,2.8031132795e-01,5.2026883517e-04,7.3212527980e-03,4.3164408743e-04,1.9039235115e+00,1.9095042944e+00,1.9070577621e+00,7.8923981637e-03,7.2222803719e-03,6.8490798585e-03
13,1.8971461058e+00,2.2565855041e-03,2.7810047144e-01,5.1660755617e-04,8.1624655674e-03,4.2952545025e-04,1.8943120241e+00,1.8998336792e+00,1.8972926140e+00,8.7305651978e-03,8.0646555871e-03,7.6921759173e-03
14,1.8873808781e+00,2.2299039811e-03,2.7585924758e-01,5.1312411116e-04,9.0185515583e-03,4.2739638618e-04,1.8846180439e+00,1.8900790215e+00,1.8874455690e+00,9.5838084817e-03,8.9213009924e-03,8.5505452007e-03
15,1.8775532246e+00,2.2051229358e-03,2.7359195763e-01,5.1006179936e-04,9.8867590229e-03,4.2544503075e-04,1.8748594522e+00,1.8802608252e+00,1.8775393963e+00,1.0449447669e-02,9.7899176180e-03,9.4209117815e-03
16,1.8676772118e+00,2.1827520034e-03,2.7130152325e-01,5.0754068062e-04,1.0765453490e-02,4.2325006908e-04,1.8650521040e+00,1.8703962564e+00,1.8675832748e+00,1.1325411499e-02,1.0668630712e-02,1.0302318260e-02
17,1.8577599923e+00,2.1636596928e-03,2.6898931139e-01,5.0577124586e-04,1.1654544622e-02,4.2111882507e-04,1.8551996946e+00,1.8604912758e+00,1.8575890064e+00,1.2211934663e-02,1.1557505466e-02,1.1194193736e-02
18,1.8478125731e+00,2.1455168585e-03,2.6665762515e-01,5.0421496741e-04,1.2552969468e-02,4.1915814055e-04,1.8453162909e+00,1.8505544662e+00,1.8475669622e+00,1.3108087704e-02,1.2455474585e-02,1.2095346116e-02
