step,loss_mean,loss_std,log10_loss_mean,log10_loss_std,cosine_similarity_mean,cosine_similarity_std,loss_replica_1,loss_replica_2,loss_replica_3,cosine_similarity_replica_1,cosine_similarity_replica_2,cosine_similarity_replica_3
1,9.8983326461e-04,0.0000000000e+00,-3.0044379553e+00,0.0000000000e+00,9.9964195490e-01,0.0000000000e+00,9.8983326461e-04,9.8983326461e-04,9.8983326461e-04,9.9964195490e-01,9.9964195490e-01,9.9964195490e-01
2,5.6004337966e-03,0.0000000000e+00,-2.2517783322e+00,0.0000000000e+00,9.9819093943e-01,0.0000000000e+00,5.6004337966e-03,5.6004337966e-03,5.6004337966e-03,9.9819093943e-01,9.9819093943e-01,9.9819093943e-01
3,4.9821673892e-03,0.0000000000e+00,-2.3025816853e+00,0.0000000000e+00,9.9847692251e-01,0.0000000000e+00,4.9821673892e-03,4.9821673892e-03,4.9821673892e-03,9.9847692251e-01,9.9847692251e-01,9.9847692251e-01
4,4.7363483463e-04,0.0000000000e+00,-3.3245563639e+00,0.0000000000e+00,9.9978333712e-01,0.0000000000e+00,4.7363483463e-04,4.7363483463e-04,4.7363483463e-04,9.9978333712e-01,9.9978333712e-01,9.9978333712e-01
5,2.4020529236e-04,0.0000000000e+00,-3.6194174282e+00,4.4408920985e-16,9.9988543987e-01,0.0000000000e+00,2.4020529236e-04,2.4020529236e-04,2.4020529236e-04,9.9988543987e-01,9.9988543987e-01,9.9988543987e-01
6,1.3908035180e-04,0.0000000000e+00,-3.8567342194e+00,0.0000000000e+00,9.9992334843e-01,0.0000000000e+00,1.3908035180e-04,1.3908035180e-04,1.3908035180e-04,9.9992334843e-01,9.9992334843e-01,9.9992334843e-01
7,8.8244261860e-05,0.0000000000e+00,-4.0543135253e+00,0.0000000000e+00,9.9994701147e-01,0.0000000000e+00,8.8244261860e-05,8.8244261860e-05,8.8244261860e-05,9.9994701147e-01,9.9994701147e-01,9.9994701147e-01
8,7.6591320976e-05,0.0000000000e+00,-4.1158204401e+00,0.0000000000e+00,9.9995058775e-01,0.0000000000e+00,7.6591320976e-05,7.6591320976e-05,7.6591320976e-05,9.9995058775e-01,9.9995058775e-01,9.9995058775e-01
9,7.5527495937e-05,0.0000000000e+00,-4.1218949138e+00,0.0000000000e+00,9.9995404482e-01,0.0000000000e+00,7.5527495937e-05,7.5527495937e-05,7.5527495937e-05,9.9995404482e-01,9.9995404482e-01,9.9995404482e-01
10,7.4327253969e-05,0.0000000000e+00,-4.1288519120e+00,0.0000000000e+00,9.9995297194e-01,0.0000000000e+00,7.4327253969e-05,7.4327253969e-05,7.4327253969e-05,9.9995297194e-01,9.9995297194e-01,9.9995297194e-01
11,7.6396696386e-05,0.0000000000e+00,-4.1169254212e+00,0.0000000000e+00,9.9995380640e-01,0.0000000000e+00,7.6396696386e-05,7.6396696386e-05,7.6396696386e-05,9.9995380640e-01,9.9995380640e-01,9.9995380640e-01
12,7.8201948781e-05,0.0000000000e+00,-4.1067824242e+00,0.0000000000e+00,9.9995148182e-01,0.0000000000e+00,7.8201948781e-05,7.8201948781e-05,7.8201948781e-05,9.9995148182e-01,9.9995148182e-01,9.9995148182e-01
13,8.0192563473e-05,0.0000000000e+00,-4.0958659034e+00,0.0000000000e+00,9.9995201826e-01,0.0000000000e+00,8.0192563473e-05,8.0192563473e-05,8.0192563473e-05,9.9995201826e-01,9.9995201826e-01,9.9995201826e-01
