step,loss_mean,loss_std,log10_loss_mean,log10_loss_std,cosine_similarity_mean,cosine_similarity_std,loss_replica_1,loss_replica_2,loss_replica_3,cosine_similarity_replica_1,cosine_similarity_replica_2,cosine_similarity_replica_3
1,9.9521120389e-01,1.2428267799e-03,-2.0850822317e-03,5.4254581742e-04,5.0113199155e-01,6.0747736216e-04,9.9576085806e-01,9.9638217688e-01,9.9349057674e-01,5.0105804205e-01,5.0042772293e-01,5.0191020966e-01
2,9.8755963643e-01,1.4012820364e-03,-5.4371062903e-03,6.1646535853e-04,5.0322137276e-01,7.0013432782e-04,9.8810499907e-01,9.8893690109e-01,9.8563700914e-01,5.0316452980e-01,5.0239372253e-01,5.0410586596e-01
3,9.7917316357e-01,1.3972253495e-03,-9.1409402662e-03,6.1999994796e-04,5.0557694832e-01,6.6357835116e-04,9.7991216183e-01,9.8039072752e-01,9.7721660137e-01,5.0545501709e-01,5.0483208895e-01,5.0644373894e-01
4,9.7022451957e-01,1.3965018222e-03,-1.3128204222e-02,6.2540800943e-04,5.0811241070e-01,6.5738176705e-04,9.7102147341e-01,9.7139096260e-01,9.6826112270e-01,5.0797253847e-01,5.0738638639e-01,5.0897830725e-01
5,9.6069834630e-01,1.4112696709e-03,-1.7413425782e-02,6.3829838107e-04,5.1084854205e-01,6.5071993467e-04,9.6152389050e-01,9.6185922623e-01,9.5871192217e-01,5.1069140434e-01,5.1014184952e-01,5.1171237230e-01
6,9.5068995158e-01,1.4257792012e-03,-2.1961585129e-02,6.5165900642e-04,5.1373690367e-01,6.5775660179e-04,9.5154058933e-01,9.5184785128e-01,9.4868141413e-01,5.1357591152e-01,5.1302397251e-01,5.1461082697e-01
7,9.4032367071e-01,1.4478712378e-03,-2.6723146474e-02,6.6906099781e-04,5.1675371329e-01,6.6668318811e-04,9.4118905067e-01,9.4149810076e-01,9.3828386068e-01,5.1659047604e-01,5.1603114605e-01,5.1763951778e-01
8,9.2968948682e-01,1.4707241447e-03,-3.1662623951e-02,6.8740455901e-04,5.1987105608e-01,6.7520834741e-04,9.3056535721e-01,9.3088531494e-01,9.2761778831e-01,5.1970630884e-01,5.1913887262e-01,5.2076798677e-01
9,9.1886560122e-01,1.4942697906e-03,-3.6748581161e-02,7.0664628185e-04,5.2306423585e-01,6.8410489271e-04,9.1974943876e-01,9.2008602619e-01,9.1676133871e-01,5.2289867401e-01,5.2232152224e-01,5.2397251129e-01
10,9.0791533391e-01,1.5147826507e-03,-4.1955253894e-02,7.2499632448e-04,5.2631199360e-01,6.9313713394e-04,9.0880686045e-01,9.0915650129e-01,9.0578263998e-01,5.2614569664e-01,5.2555853128e-01,5.2723175287e-01
11,8.9689693848e-01,1.5327717044e-03,-4.7258093115e-02,7.4262812469e-04,5.2959583203e-01,7.0214073257e-04,8.9779567719e-01,8.9815586805e-01,8.9473927021e-01,5.2943027020e-01,5.2883070707e-01,5.3052651882e-01
12,8.8585229715e-01,1.5502592982e-03,-5.2639349854e-02,7.6047490772e-04,5.3290230036e-01,7.1061609576e-04,8.8675552607e-01,8.8713073730e-01,8.8367062807e-01,5.3273940086e-01,5.3212493658e-01,5.3384256363e-01
