step,loss_mean,loss_std,log10_loss_mean,log10_loss_std,cosine_similarity_mean,cosine_similarity_std,loss_replica_1,cosine_similarity_replica_1
1,1.9973345995e+00,0.0000000000e+00,3.0045082528e-01,0.0000000000e+00,5.5009365315e-04,0.0000000000e+00,1.9973345995e+00,5.5009365315e-04
2,1.9928961992e+00,0.0000000000e+00,2.9948467889e-01,0.0000000000e+00,9.1463682475e-04,0.0000000000e+00,1.9928961992e+00,9.1463682475e-04
3,1.9884988070e+00,0.0000000000e+00,2.9852533476e-01,0.0000000000e+00,1.2768773595e-03,0.0000000000e+00,1.9884988070e+00,1.2768773595e-03
4,1.9840612411e+00,0.0000000000e+00,2.9755507320e-01,0.0000000000e+00,1.6436964506e-03,0.0000000000e+00,1.9840612411e+00,1.6436964506e-03
5,1.9795875549e+00,0.0000000000e+00,2.9657471487e-01,0.0000000000e+00,2.0152837969e-03,0.0000000000e+00,1.9795875549e+00,2.0152837969e-03
6,1.9750877619e+00,0.0000000000e+00,2.9558639801e-01,0.0000000000e+00,2.3909192532e-03,0.0000000000e+00,1.9750877619e+00,2.3909192532e-03
7,1.9705687761e+00,0.0000000000e+00,2.9459159707e-01,0.0000000000e+00,2.7699375059e-03,0.0000000000e+00,1.9705687761e+00,2.7699375059e-03
8,1.9660360813e+00,0.0000000000e+00,2.9359148388e-01,0.0000000000e+00,3.1519480981e-03,0.0000000000e+00,1.9660360813e+00,3.1519480981e-03
9,1.9614920616e+00,0.0000000000e+00,2.9258655483e-01,0.0000000000e+00,3.5366495140e-03,0.0000000000e+00,1.9614920616e+00,3.5366495140e-03
10,1.9569392204e+00,0.0000000000e+00,2.9157733734e-01,0.0000000000e+00,3.9238296449e-03,0.0000000000e+00,1.9569392204e+00,3.9238296449e-03
11,1.9523787498e+00,0.0000000000e+00,2.9056407205e-01,0.0000000000e+00,4.3133739382e-03,0.0000000000e+00,1.9523787498e+00,4.3133739382e-03
12,1.9478123188e+00,0.0000000000e+00,2.8954710817e-01,0.0000000000e+00,4.7052283771e-03,0.0000000000e+00,1.9478123188e+00,4.7052283771e-03
13,1.9432393312e+00,0.0000000000e+00,2.8852629202e-01,0.0000000000e+00,5.0994502380e-03,0.0000000000e+00,1.9432393312e+00,5.0994502380e-03
14,1.9386608601e+00,0.0000000000e+00,2.8750184235e-01,0.0000000000e+00,5.4958211258e-03,0.0000000000e+00,1.9386608601e+00,5.4958211258e-03
15,1.9340766668e+00,0.0000000000e+00,2.8647368553e-01,0.0000000000e+00,5.8943750337e-03,0.0000000000e+00,1.9340766668e+00,5.8943750337e-03
16,1.9294881821e+00,0.0000000000e+00,2.8544212290e-01,0.0000000000e+00,6.2950048596e-03,0.0000000000e+00,1.9294881821e+00,6.2950048596e-03
17,1.9248948097e+00,0.0000000000e+00,2.8440700148e-01,0.0000000000e+00,6.6977678798e-03,0.0000000000e+00,1.9248948097e+00,6.6977678798e-03
18,1.9202972651e+00,0.0000000000e+00,2.8336846338e-01,0.0000000000e+00,7.1026259102e-03,0.0000000000e+00,1.9202972651e+00,7.1026259102e-03
19,1.9156957865e+00,0.0000000000e+00,2.8232654402e-01,0.0000000000e+00,7.5096921064e-03,0.0000000000e+00,1.9156957865e+00,7.5096921064e-03
20,1.9110902548e+00,0.0000000000e+00,2.8128119790e-01,0.0000000000e+00,7.9188635573e-03,0.0000000000e+00,1.9110902548e+00,7.9188635573e-03
21,1.9064795971e+00,0.0000000000e+00,2.8023216187e-01,0.0000000000e+00,8.3301439881e-03,0.0000000000e+00,1.9064795971e+00,8.3301439881e-03
22,1.9018635750e+00,0.0000000000e+00,2.7917936078e-01,0.0000000000e+00,8.7436819449e-03,0.0000000000e+00,1.9018635750e+00,8.7436819449e-03
23,1.8972431421e+00,0.0000000000e+00,2.7812299168e-01,0.0000000000e+00,9.1594103724e-03,0.0000000000e+00,1.8972431421e+00,9.1594103724e-03
24,1.8926185369e+00,0.0000000000e+00,2.7706308940e-01,0.0000000000e+00,9.5773506910e-03,0.0000000000e+00,1.8926185369e+00,9.5773506910e-03
25,1.8879896402e+00,0.0000000000e+00,2.7599960691e-01,0.0000000000e+00,9.9974861369e-03,0.0000000000e+00,1.8879896402e+00,9.9974861369e-03
26,1.8833564520e+00,0.0000000000e+00,2.7493252420e-01,0.0000000000e+00,1.0419760831e-02,0.0000000000e+00,1.8833564520e+00,1.0419760831e-02
27,1.8787198067e+00,0.0000000000e+00,2.7386201401e-01,0.0000000000e+00,1.0844206437e-02,0.0000000000e+00,1.8787198067e+00,1.0844206437e-02
28,1.8740807772e+00,0.0000000000e+00,2.7278830604e-01,0.0000000000e+00,1.1270618066e-02,0.0000000000e+00,1.8740807772e+00,1.1270618066e-02
29,1.8694396019e+00,0.0000000000e+00,2.7171143847e-01,0.0000000000e+00,1.1698870920e-02,0.0000000000e+00,1.8694396019e+00,1.1698870920e-02
30,1.8647946119e+00,0.0000000000e+00,2.7063100568e-01,0.0000000000e+00,1.2129164301e-02,0.0000000000e+00,1.8647946119e+00,1.2129164301e-02
31,1.8601462841e+00,0.0000000000e+00,2.6954709899e-01,0.0000000000e+00,1.2561606243e-02,0.0000000000e+00,1.8601462841e+00,1.2561606243e-02
32,1.8554962873e+00,0.0000000000e+00,2.6846008971e-01,0.0000000000e+00,1.2996183708e-02,0.0000000000e+00,1.8554962873e+00,1.2996183708e-02
33,1.8508446217e+00,0.0000000000e+00,2.6736996128e-01,0.0000000000e+00,1.3432692736e-02,0.0000000000e+00,1.8508446217e+00,1.3432692736e-02
34,1.8461905718e+00,0.0000000000e+00,2.6627652876e-01,0.0000000000e+00,1.3871229254e-02,0.0000000000e+00,1.8461905718e+00,1.3871229254e-02
35,1.8415338993e+00,0.0000000000e+00,2.6517971784e-01,0.0000000000e+00,1.4311912470e-02,0.0000000000e+00,1.8415338993e+00,1.4311912470e-02
36,1.8368740082e+00,0.0000000000e+00,2.6407936892e-01,0.0000000000e+00,1.4754849486e-02,0.0000000000e+00,1.8368740082e+00,1.4754849486e-02
37,1.8322126865e+00,0.0000000000e+00,2.6297588594e-01,0.0000000000e+00,1.5199695714e-02,0.0000000000e+00,1.8322126865e+00,1.5199695714e-02
38,1.8275498152e+00,0.0000000000e+00,2.6186922375e-01,0.0000000000e+00,1.5646593645e-02,0.0000000000e+00,1.8275498152e+00,1.5646593645e-02
39,1.8228851557e+00,0.0000000000e+00,2.6075930836e-01,0.0000000000e+00,1.6095707193e-02,0.0000000000e+00,1.8228851557e+00,1.6095707193e-02
40,1.8182191849e+00,0.0000000000e+00,2.5964623590e-01,0.0000000000e+00,1.6546886414e-02,0.0000000000e+00,1.8182191849e+00,1.6546886414e-02
41,1.8135521412e+00,0.0000000000e+00,2.5853004644e-01,0.0000000000e+00,1.7000190914e-02,0.0000000000e+00,1.8135521412e+00,1.7000190914e-02
42,1.8088837862e+00,0.0000000000e+00,2.5741066601e-01,0.0000000000e+00,1.7455527559e-02,0.0000000000e+00,1.8088837862e+00,1.7455527559e-02
43,1.8042137623e+00,0.0000000000e+00,2.5628799123e-01,0.0000000000e+00,1.7913036048e-02,0.0000000000e+00,1.8042137623e+00,1.7913036048e-02
44,1.7995417118e+00,0.0000000000e+00,2.5516191767e-01,0.0000000000e+00,1.8372798339e-02,0.0000000000e+00,1.7995417118e+00,1.8372798339e-02
45,1.7948694229e+00,0.0000000000e+00,2.5403285906e-01,0.0000000000e+00,1.8834678456e-02,0.0000000000e+00,1.7948694229e+00,1.8834678456e-02
46,1.7901962996e+00,0.0000000000e+00,2.5290065508e-01,0.0000000000e+00,1.9298480824e-02,0.0000000000e+00,1.7901962996e+00,1.9298480824e-02
47,1.7855229378e+00,0.0000000000e+00,2.5176543374e-01,0.0000000000e+00,1.9764332101e-02,0.0000000000e+00,1.7855229378e+00,1.9764332101e-02
48,1.7808501720e+00,0.0000000000e+00,2.5062738258e-01,0.0000000000e+00,2.0232116804e-02,0.0000000000e+00,1.7808501720e+00,2.0232116804e-02
49,1.7761769295e+00,0.0000000000e+00,2.4948622477e-01,0.0000000000e+00,2.0701859146e-02,0.0000000000e+00,1.7761769295e+00,2.0701859146e-02
50,1.7715041637e+00,0.0000000000e+00,2.4834217744e-01,0.0000000000e+00,2.1173560992e-02,0.0000000000e+00,1.7715041637e+00,2.1173560992e-02
51,1.7668306828e+00,0.0000000000e+00,2.4719493260e-01,0.0000000000e+00,2.1647214890e-02,0.0000000000e+00,1.7668306828e+00,2.1647214890e-02
52,1.7621591091e+00,0.0000000000e+00,2.4604511922e-01,0.0000000000e+00,2.2122774273e-02,0.0000000000e+00,1.7621591091e+00,2.2122774273e-02
