step,loss_mean,loss_std,log10_loss_mean,log10_loss_std,cosine_similarity_mean,cosine_similarity_std,loss_replica_1,cosine_similarity_replica_1
1,1.9938622713e+00,0.0000000000e+00,2.9969515554e-01,0.0000000000e+00,5.4831273155e-04,0.0000000000e+00,1.9938622713e+00,5.4831273155e-04
2,1.9893183708e+00,0.0000000000e+00,2.9870429324e-01,0.0000000000e+00,9.0530002490e-04,0.0000000000e+00,1.9893183708e+00,9.0530002490e-04
3,1.9848464727e+00,0.0000000000e+00,2.9772691985e-01,0.0000000000e+00,1.2557507725e-03,0.0000000000e+00,1.9848464727e+00,1.2557507725e-03
4,1.9803578854e+00,0.0000000000e+00,2.9674368197e-01,0.0000000000e+00,1.6079518246e-03,0.0000000000e+00,1.9803578854e+00,1.6079518246e-03
5,1.9758497477e+00,0.0000000000e+00,2.9575391584e-01,0.0000000000e+00,1.9628889859e-03,0.0000000000e+00,1.9758497477e+00,1.9628889859e-03
6,1.9713275433e+00,0.0000000000e+00,2.9475878989e-01,0.0000000000e+00,2.3205394391e-03,0.0000000000e+00,1.9713275433e+00,2.3205394391e-03
7,1.9667956829e+00,0.0000000000e+00,2.9375924635e-01,0.0000000000e+00,2.6806502137e-03,0.0000000000e+00,1.9667956829e+00,2.6806502137e-03
8,1.9622564316e+00,0.0000000000e+00,2.9275576122e-01,0.0000000000e+00,3.0429698527e-03,0.0000000000e+00,1.9622564316e+00,3.0429698527e-03
9,1.9577108622e+00,0.0000000000e+00,2.9174855047e-01,0.0000000000e+00,3.4073593561e-03,0.0000000000e+00,1.9577108622e+00,3.4073593561e-03
10,1.9531600475e+00,0.0000000000e+00,2.9073783208e-01,0.0000000000e+00,3.7738033570e-03,0.0000000000e+00,1.9531600475e+00,3.7738033570e-03
11,1.9486033916e+00,0.0000000000e+00,2.8972345413e-01,0.0000000000e+00,4.1422718205e-03,0.0000000000e+00,1.9486033916e+00,4.1422718205e-03
12,1.9440424442e+00,0.0000000000e+00,2.8870574263e-01,0.0000000000e+00,4.5128683560e-03,0.0000000000e+00,1.9440424442e+00,4.5128683560e-03
13,1.9394770861e+00,0.0000000000e+00,2.8768465300e-01,0.0000000000e+00,4.8856628127e-03,0.0000000000e+00,1.9394770861e+00,4.8856628127e-03
14,1.9349079132e+00,0.0000000000e+00,2.8666030076e-01,0.0000000000e+00,5.2605099045e-03,0.0000000000e+00,1.9349079132e+00,5.2605099045e-03
15,1.9303345680e+00,0.0000000000e+00,2.8563258800e-01,0.0000000000e+00,5.6376452558e-03,0.0000000000e+00,1.9303345680e+00,5.6376452558e-03
16,1.9257578850e+00,0.0000000000e+00,2.8460168475e-01,0.0000000000e+00,6.0168122873e-03,0.0000000000e+00,1.9257578850e+00,6.0168122873e-03
17,1.9211775064e+00,0.0000000000e+00,2.8356749318e-01,0.0000000000e+00,6.3979341649e-03,0.0000000000e+00,1.9211775064e+00,6.3979341649e-03
18,1.9165924788e+00,0.0000000000e+00,2.8252977952e-01,0.0000000000e+00,6.7812055349e-03,0.0000000000e+00,1.9165924788e+00,6.7812055349e-03
