step,loss_mean,loss_std,log10_loss_mean,log10_loss_std,cosine_similarity_mean,cosine_similarity_std,loss_replica_1,cosine_similarity_replica_1
1,1.9973376989e+00,0.0000000000e+00,3.0045149922e-01,0.0000000000e+00,5.5376463570e-04,0.0000000000e+00,1.9973376989e+00,5.5376463570e-04
2,1.9926960468e+00,0.0000000000e+00,2.9944105924e-01,0.0000000000e+00,9.1246637749e-04,0.0000000000e+00,1.9926960468e+00,9.1246637749e-04
3,1.9881784916e+00,0.0000000000e+00,2.9845537123e-01,0.0000000000e+00,1.2570967665e-03,0.0000000000e+00,1.9881784916e+00,1.2570967665e-03
4,1.9836612940e+00,0.0000000000e+00,2.9746751927e-01,0.0000000000e+00,1.6017991584e-03,0.0000000000e+00,1.9836612940e+00,1.6017991584e-03
5,1.9791337252e+00,0.0000000000e+00,2.9647513940e-01,0.0000000000e+00,1.9482483622e-03,0.0000000000e+00,1.9791337252e+00,1.9482483622e-03
6,1.9745993614e+00,0.0000000000e+00,2.9547899223e-01,0.0000000000e+00,2.2967839614e-03,0.0000000000e+00,1.9745993614e+00,2.2967839614e-03
7,1.9700608253e+00,0.0000000000e+00,2.9447963515e-01,0.0000000000e+00,2.6473605540e-03,0.0000000000e+00,1.9700608253e+00,2.6473605540e-03
8,1.9655178785e+00,0.0000000000e+00,2.9347699856e-01,0.0000000000e+00,2.9999488033e-03,0.0000000000e+00,1.9655178785e+00,2.9999488033e-03
9,1.9609706402e+00,0.0000000000e+00,2.9247109142e-01,0.0000000000e+00,3.3546613995e-03,0.0000000000e+00,1.9609706402e+00,3.3546613995e-03
10,1.9564191103e+00,0.0000000000e+00,2.9146189636e-01,0.0000000000e+00,3.7113993894e-03,0.0000000000e+00,1.9564191103e+00,3.7113993894e-03
11,1.9518641233e+00,0.0000000000e+00,2.9044958150e-01,0.0000000000e+00,4.0700123645e-03,0.0000000000e+00,1.9518641233e+00,4.0700123645e-03
12,1.9473054409e+00,0.0000000000e+00,2.8943407730e-01,0.0000000000e+00,4.4304812327e-03,0.0000000000e+00,1.9473054409e+00,4.4304812327e-03
13,1.9427429438e+00,0.0000000000e+00,2.8841534023e-01,0.0000000000e+00,4.7928071581e-03,0.0000000000e+00,1.9427429438e+00,4.7928071581e-03
14,1.9381777048e+00,0.0000000000e+00,2.8739359350e-01,0.0000000000e+00,5.1571005024e-03,0.0000000000e+00,1.9381777048e+00,5.1571005024e-03
15,1.9336087704e+00,0.0000000000e+00,2.8636860726e-01,0.0000000000e+00,5.5233677849e-03,0.0000000000e+00,1.9336087704e+00,5.5233677849e-03
16,1.9290368557e+00,0.0000000000e+00,2.8534052525e-01,0.0000000000e+00,5.8916634880e-03,0.0000000000e+00,1.9290368557e+00,5.8916634880e-03
17,1.9244620800e+00,0.0000000000e+00,2.8430935809e-01,0.0000000000e+00,6.2620081007e-03,0.0000000000e+00,1.9244620800e+00,6.2620081007e-03
18,1.9198851585e+00,0.0000000000e+00,2.8327525136e-01,0.0000000000e+00,6.6343224607e-03,0.0000000000e+00,1.9198851585e+00,6.6343224607e-03
