step,loss_mean,loss_std,log10_loss_mean,log10_loss_std,cosine_similarity_mean,cosine_similarity_std,loss_replica_1,cosine_similarity_replica_1
1,2.2354097366e+00,0.0000000000e+00,3.4935713823e-01,0.0000000000e+00,1.2136347359e-03,0.0000000000e+00,2.2354097366e+00,1.2136347359e-03
2,2.5033798218e+00,0.0000000000e+00,3.9852674733e-01,0.0000000000e+00,1.3939666096e-03,0.0000000000e+00,2.5033798218e+00,1.3939666096e-03
3,2.5033795834e+00,0.0000000000e+00,3.9852670596e-01,0.0000000000e+00,1.3939646306e-03,0.0000000000e+00,2.5033795834e+00,1.3939646306e-03
4,2.5033795834e+00,0.0000000000e+00,3.9852670596e-01,0.0000000000e+00,1.3939650962e-03,0.0000000000e+00,2.5033795834e+00,1.3939650962e-03
5,2.5033795834e+00,0.0000000000e+00,3.9852670596e-01,0.0000000000e+00,1.3939653290e-03,0.0000000000e+00,2.5033795834e+00,1.3939653290e-03
6,2.5033795834e+00,0.0000000000e+00,3.9852670596e-01,0.0000000000e+00,1.3939650962e-03,0.0000000000e+00,2.5033795834e+00,1.3939650962e-03
7,2.5033795834e+00,0.0000000000e+00,3.9852670596e-01,0.0000000000e+00,1.3939660275e-03,0.0000000000e+00,2.5033795834e+00,1.3939660275e-03
8,2.5033798218e+00,0.0000000000e+00,3.9852674733e-01,0.0000000000e+00,1.3939662604e-03,0.0000000000e+00,2.5033798218e+00,1.3939662604e-03
9,2.5033798218e+00,0.0000000000e+00,3.9852674733e-01,0.0000000000e+00,1.3939664932e-03,0.0000000000e+00,2.5033798218e+00,1.3939664932e-03
10,2.5033798218e+00,0.0000000000e+00,3.9852674733e-01,0.0000000000e+00,1.3939669589e-03,0.0000000000e+00,2.5033798218e+00,1.3939669589e-03
11,2.5033798218e+00,0.0000000000e+00,3.9852674733e-01,0.0000000000e+00,1.3939671917e-03,0.0000000000e+00,2.5033798218e+00,1.3939671917e-03
12,2.5033798218e+00,0.0000000000e+00,3.9852674733e-01,0.0000000000e+00,1.3939676574e-03,0.0000000000e+00,2.5033798218e+00,1.3939676574e-03
13,2.5033798218e+00,0.0000000000e+00,3.9852674733e-01,0.0000000000e+00,1.3939678902e-03,0.0000000000e+00,2.5033798218e+00,1.3939678902e-03
14,2.5033798218e+00,0.0000000000e+00,3.9852674733e-01,0.0000000000e+00,1.3939683558e-03,0.0000000000e+00,2.5033798218e+00,1.3939683558e-03
15,2.5033798218e+00,0.0000000000e+00,3.9852674733e-01,0.0000000000e+00,1.3939684723e-03,0.0000000000e+00,2.5033798218e+00,1.3939684723e-03
16,2.5033798218e+00,0.0000000000e+00,3.9852674733e-01,0.0000000000e+00,1.3939687051e-03,0.0000000000e+00,2.5033798218e+00,1.3939687051e-03
17,2.5033798218e+00,0.0000000000e+00,3.9852674733e-01,0.0000000000e+00,1.3939691707e-03,0.0000000000e+00,2.5033798218e+00,1.3939691707e-03
18,2.5033795834e+00,0.0000000000e+00,3.9852670596e-01,0.0000000000e+00,1.3939692872e-03,0.0000000000e+00,2.5033795834e+00,1.3939692872e-03
19,2.5033795834e+00,0.0000000000e+00,3.9852670596e-01,0.0000000000e+00,1.3939691707e-03,0.0000000000e+00,2.5033795834e+00,1.3939691707e-03
20,2.5033795834e+00,0.0000000000e+00,3.9852670596e-01,0.0000000000e+00,1.3939697528e-03,0.0000000000e+00,2.5033795834e+00,1.3939697528e-03
21,2.5033795834e+00,0.0000000000e+00,3.9852670596e-01,0.0000000000e+00,1.3939701021e-03,0.0000000000e+00,2.5033795834e+00,1.3939701021e-03
22,2.5033795834e+00,0.0000000000e+00,3.9852670596e-01,0.0000000000e+00,1.3939705677e-03,0.0000000000e+00,2.5033795834e+00,1.3939705677e-03
23,2.5033795834e+00,0.0000000000e+00,3.9852670596e-01,0.0000000000e+00,1.3939709170e-03,0.0000000000e+00,2.5033795834e+00,1.3939709170e-03
24,2.5033795834e+00,0.0000000000e+00,3.9852670596e-01,0.0000000000e+00,1.3939710334e-03,0.0000000000e+00,2.5033795834e+00,1.3939710334e-03
25,2.5033795834e+00,0.0000000000e+00,3.9852670596e-01,0.0000000000e+00,1.3939716155e-03,0.0000000000e+00,2.5033795834e+00,1.3939716155e-03
26,2.5033795834e+00,0.0000000000e+00,3.9852670596e-01,0.0000000000e+00,1.3939716155e-03,0.0000000000e+00,2.5033795834e+00,1.3939716155e-03
27,2.5033795834e+00,0.0000000000e+00,3.9852670596e-01,0.0000000000e+00,1.3939720811e-03,0.0000000000e+00,2.5033795834e+00,1.3939720811e-03
28,2.5033795834e+00,0.0000000000e+00,3.9852670596e-01,0.0000000000e+00,1.3939720811e-03,0.0000000000e+00,2.5033795834e+00,1.3939720811e-03
29,2.5033795834e+00,0.0000000000e+00,3.9852670596e-01,0.0000000000e+00,1.3939723140e-03,0.0000000000e+00,2.5033795834e+00,1.3939723140e-03
30,2.5033795834e+00,0.0000000000e+00,3.9852670596e-01,0.0000000000e+00,1.3939726632e-03,0.0000000000e+00,2.5033795834e+00,1.3939726632e-03
31,2.5033795834e+00,0.0000000000e+00,3.9852670596e-01,0.0000000000e+00,1.3939731289e-03,0.0000000000e+00,2.5033795834e+00,1.3939731289e-03
32,2.5033795834e+00,0.0000000000e+00,3.9852670596e-01,0.0000000000e+00,1.3939731289e-03,0.0000000000e+00,2.5033795834e+00,1.3939731289e-03
33,2.5033795834e+00,0.0000000000e+00,3.9852670596e-01,0.0000000000e+00,1.3939737109e-03,0.0000000000e+00,2.5033795834e+00,1.3939737109e-03
34,2.5033795834e+00,0.0000000000e+00,3.9852670596e-01,0.0000000000e+00,1.3939737109e-03,0.0000000000e+00,2.5033795834e+00,1.3939737109e-03
35,2.5033795834e+00,0.0000000000e+00,3.9852670596e-01,0.0000000000e+00,1.3939740602e-03,0.0000000000e+00,2.5033795834e+00,1.3939740602e-03
36,2.5033795834e+00,0.0000000000e+00,3.9852670596e-01,0.0000000000e+00,1.3939742930e-03,0.0000000000e+00,2.5033795834e+00,1.3939742930e-03
