step,loss_mean,loss_std,log10_loss_mean,log10_loss_std,cosine_similarity_mean,cosine_similarity_std,loss_replica_1,cosine_similarity_replica_1
1,2.0075590611e+00,0.0000000000e+00,3.0266833079e-01,0.0000000000e+00,2.5991510483e-04,0.0000000000e+00,2.0075590611e+00,2.5991510483e-04
2,2.0075590611e+00,0.0000000000e+00,3.0266833079e-01,0.0000000000e+00,2.5990526774e-04,0.0000000000e+00,2.0075590611e+00,2.5990526774e-04
3,2.0075590611e+00,0.0000000000e+00,3.0266833079e-01,0.0000000000e+00,2.5990558788e-04,0.0000000000e+00,2.0075590611e+00,2.5990558788e-04
4,2.0075590611e+00,0.0000000000e+00,3.0266833079e-01,0.0000000000e+00,2.5990582071e-04,0.0000000000e+00,2.0075590611e+00,2.5990582071e-04
5,2.0075590611e+00,0.0000000000e+00,3.0266833079e-01,0.0000000000e+00,2.5990619906e-04,0.0000000000e+00,2.0075590611e+00,2.5990619906e-04
6,2.0075590611e+00,0.0000000000e+00,3.0266833079e-01,0.0000000000e+00,2.5990649010e-04,0.0000000000e+00,2.0075590611e+00,2.5990649010e-04
7,2.0075590611e+00,0.0000000000e+00,3.0266833079e-01,0.0000000000e+00,2.5990683935e-04,0.0000000000e+00,2.0075590611e+00,2.5990683935e-04
8,2.0075590611e+00,0.0000000000e+00,3.0266833079e-01,0.0000000000e+00,2.5990713038e-04,0.0000000000e+00,2.0075590611e+00,2.5990713038e-04
9,2.0075590611e+00,0.0000000000e+00,3.0266833079e-01,0.0000000000e+00,2.5990756694e-04,0.0000000000e+00,2.0075590611e+00,2.5990756694e-04
10,2.0075590611e+00,0.0000000000e+00,3.0266833079e-01,0.0000000000e+00,2.5990774157e-04,0.0000000000e+00,2.0075590611e+00,2.5990774157e-04
11,2.0075590611e+00,0.0000000000e+00,3.0266833079e-01,0.0000000000e+00,2.5990800350e-04,0.0000000000e+00,2.0075590611e+00,2.5990800350e-04
12,2.0075590611e+00,0.0000000000e+00,3.0266833079e-01,0.0000000000e+00,2.5990803260e-04,0.0000000000e+00,2.0075590611e+00,2.5990803260e-04
13,2.0075590611e+00,0.0000000000e+00,3.0266833079e-01,0.0000000000e+00,2.5990811992e-04,0.0000000000e+00,2.0075590611e+00,2.5990811992e-04
14,2.0075590611e+00,0.0000000000e+00,3.0266833079e-01,0.0000000000e+00,2.5990832364e-04,0.0000000000e+00,2.0075590611e+00,2.5990832364e-04
