step,loss_mean,loss_std,log10_loss_mean,log10_loss_std,cosine_similarity_mean,cosine_similarity_std,loss_replica_1,loss_replica_2,loss_replica_3,cosine_similarity_replica_1,cosine_similarity_replica_2,cosine_similarity_replica_3
1,1.0024650097e+00,1.6494439115e-03,1.0686349667e-03,7.1455968974e-04,5.0015200178e-01,5.8674109353e-04,1.0045075417e+00,1.0004680157e+00,1.0024194717e+00,5.0005024672e-01,4.9948969483e-01,5.0091606379e-01
2,1.0024615924e+00,1.6494428154e-03,1.0671544815e-03,7.1456169314e-04,5.0015242894e-01,5.8675920021e-04,1.0045040846e+00,1.0004645586e+00,1.0024161339e+00,5.0005060434e-01,4.9949014187e-01,5.0091654062e-01
3,1.0024553935e+00,1.6493892488e-03,1.0644689739e-03,7.1454309654e-04,5.0015339255e-01,5.8671866675e-04,1.0044976473e+00,1.0004582405e+00,1.0024102926e+00,5.0005161762e-01,4.9949112535e-01,5.0091743469e-01
4,1.0024473667e+00,1.6494308848e-03,1.0609914820e-03,7.1456713119e-04,5.0015484293e-01,5.8657897895e-04,1.0044894218e+00,1.0004498959e+00,1.0024027824e+00,5.0005328655e-01,4.9949261546e-01,5.0091862679e-01
5,1.0024367174e+00,1.6494191857e-03,1.0563777845e-03,7.1457012053e-04,5.0015676022e-01,5.8646084573e-04,1.0044783354e+00,1.0004388094e+00,1.0023930073e+00,5.0005531311e-01,4.9949461222e-01,5.0092035532e-01
6,1.0024233262e+00,1.6494015608e-03,1.0505761644e-03,7.1457275175e-04,5.0015867750e-01,5.8555652290e-04,1.0044642687e+00,1.0004247427e+00,1.0023809671e+00,5.0005805492e-01,4.9949714541e-01,5.0092083216e-01
7,1.0024073919e+00,1.6494681651e-03,1.0436725890e-03,7.1461428161e-04,5.0016045570e-01,5.8388051868e-04,1.0044472218e+00,1.0004074574e+00,1.0023674965e+00,5.0006121397e-01,4.9950015545e-01,5.0091999769e-01
8,1.0023895899e+00,1.6494621831e-03,1.0359597927e-03,7.1462694911e-04,5.0016177694e-01,5.8091428148e-04,1.0044270754e+00,1.0003871918e+00,1.0023545027e+00,5.0006490946e-01,4.9950370193e-01,5.0091671944e-01
9,1.0023707549e+00,1.6493763882e-03,1.0277992838e-03,7.1460817422e-04,5.0016228358e-01,5.7599457535e-04,1.0044035912e+00,1.0003637075e+00,1.0023449659e+00,5.0006926060e-01,4.9950796366e-01,5.0090962648e-01
10,1.0023516814e+00,1.6492433419e-03,1.0195353505e-03,7.1457234751e-04,5.0016160806e-01,5.6903622202e-04,1.0043767691e+00,1.0003370047e+00,1.0023412704e+00,5.0007402897e-01,4.9951261282e-01,5.0089818239e-01
11,1.0023311774e+00,1.6491435961e-03,1.0106514139e-03,7.1455445439e-04,5.0015994906e-01,5.5997487499e-04,1.0043461323e+00,1.0003066063e+00,1.0023407936e+00,5.0007951260e-01,4.9951788783e-01,5.0088244677e-01
12,1.0023106337e+00,1.6490893007e-03,1.0017500416e-03,7.1455999362e-04,5.0015733639e-01,5.4905713198e-04,1.0043118000e+00,1.0002728701e+00,1.0023472309e+00,5.0008547306e-01,4.9952369928e-01,5.0086283684e-01
13,1.0022917191e+00,1.6495970725e-03,9.9355401367e-04,7.1481409077e-04,5.0015378992e-01,5.3612610478e-04,1.0042734146e+00,1.0002348423e+00,1.0023669004e+00,5.0009214878e-01,4.9953016639e-01,5.0083905458e-01
14,1.0022744735e+00,1.6509258467e-03,9.8608040328e-04,7.1542883576e-04,5.0015000502e-01,5.2215799018e-04,1.0042308569e+00,1.0001927614e+00,1.0023998022e+00,5.0009942055e-01,4.9953728914e-01,5.0081330538e-01
15,1.0022561153e+00,1.6532871623e-03,9.7812380369e-04,7.1649524956e-04,5.0014788906e-01,5.0931185790e-04,1.0041836500e+00,1.0001462698e+00,1.0024384260e+00,5.0010746717e-01,4.9954530597e-01,5.0079089403e-01
16,1.0022339423e+00,1.6566669225e-03,9.6851331504e-04,7.1800644157e-04,5.0014834603e-01,4.9917292589e-04,1.0041315556e+00,1.0000951290e+00,1.0024751425e+00,5.0011616945e-01,4.9955371022e-01,5.0077515841e-01
17,1.0022085905e+00,1.6615128232e-03,9.5752400978e-04,7.2015678461e-04,5.0015122692e-01,4.9090566263e-04,1.0040745735e+00,1.0000388622e+00,1.0025123358e+00,5.0012576580e-01,4.9956312776e-01,5.0076478720e-01
18,1.0021832983e+00,1.6687305410e-03,9.4655852972e-04,7.2333979449e-04,5.0015458465e-01,4.8245635562e-04,1.0040123463e+00,9.9997729063e-01,1.0025602579e+00,5.0013601780e-01,4.9957320094e-01,5.0075453520e-01
19,1.0021616022e+00,1.6802226269e-03,9.3714806370e-04,7.2838059941e-04,5.0015684962e-01,4.7171862308e-04,1.0039448738e+00,9.9990993738e-01,1.0026299953e+00,5.0014710426e-01,4.9958404899e-01,5.0073939562e-01
20,1.0021448334e+00,1.6977697891e-03,9.2986822568e-04,7.3605030619e-04,5.0015744567e-01,4.5784822492e-04,1.0038714409e+00,9.9983662367e-01,1.0027264357e+00,5.0015902519e-01,4.9959591031e-01,5.0071740150e-01
