step,loss_mean,loss_std,log10_loss_mean,log10_loss_std,cosine_similarity_mean,cosine_similarity_std,loss_replica_1,loss_replica_2,loss_replica_3,cosine_similarity_replica_1,cosine_similarity_replica_2,cosine_similarity_replica_3
1,1.0004370411e+00,5.3352110620e-04,1.8970132642e-04,2.3160972200e-04,5.0015200178e-01,5.8674109353e-04,1.0010735989e+00,1.0004695654e+00,9.9976795912e-01,5.0005024672e-01,4.9948969483e-01,5.0091606379e-01
2,1.0004349947e+00,5.3354602284e-04,1.8881295617e-04,2.3162101592e-04,5.0015242894e-01,5.8675920021e-04,1.0010715723e+00,1.0004675388e+00,9.9976587296e-01,5.0005060434e-01,4.9949014187e-01,5.0091654062e-01
3,1.0004310608e+00,5.3354602284e-04,1.8710522127e-04,2.3162192673e-04,5.0015343229e-01,5.8677041310e-04,1.0010676384e+00,1.0004636049e+00,9.9976193905e-01,5.0005161762e-01,4.9949112535e-01,5.0091755390e-01
4,1.0004257560e+00,5.3356851761e-04,1.8480235079e-04,2.3163291011e-04,5.0015491247e-01,5.8678162611e-04,1.0010623932e+00,1.0004582405e+00,9.9975663424e-01,5.0005310774e-01,4.9949258566e-01,5.0091904402e-01
5,1.0004186233e+00,5.3358860415e-04,1.8170596499e-04,2.3164325770e-04,5.0015695890e-01,5.8674022413e-04,1.0010553598e+00,1.0004509687e+00,9.9974954128e-01,5.0005507469e-01,4.9949473143e-01,5.0092107058e-01
6,1.0004096429e+00,5.3358619834e-04,1.7780742639e-04,2.3164427902e-04,5.0015948216e-01,5.8673677479e-04,1.0010464191e+00,1.0004419088e+00,9.9974060059e-01,5.0005763769e-01,4.9949723482e-01,5.0092357397e-01
7,1.0003986955e+00,5.3360631380e-04,1.7305495168e-04,2.3165552277e-04,5.0016254187e-01,5.8674367480e-04,1.0010355711e+00,1.0004308224e+00,9.9972969294e-01,5.0006061792e-01,4.9950033426e-01,5.0092667341e-01
8,1.0003857613e+00,5.3357663414e-04,1.6743990422e-04,2.3164560208e-04,5.0016614795e-01,5.8672901201e-04,1.0010226965e+00,1.0004177094e+00,9.9971687794e-01,5.0006425381e-01,4.9950394034e-01,5.0093024969e-01
9,1.0003708204e+00,5.3367150501e-04,1.6095358472e-04,2.3169023580e-04,5.0017036994e-01,5.8675058012e-04,1.0010079145e+00,1.0004026890e+00,9.9970185757e-01,5.0006836653e-01,4.9950820208e-01,5.0093454123e-01
10,1.0003536542e+00,5.3356716448e-04,1.5350114746e-04,2.3164887099e-04,5.0017509858e-01,5.8675749073e-04,1.0009907484e+00,1.0003852844e+00,9.9968492985e-01,5.0007301569e-01,4.9951297045e-01,5.0093930960e-01
11,1.0003342827e+00,5.3363481638e-04,1.4509108250e-04,2.3168269789e-04,5.0018050273e-01,5.8673161386e-04,1.0009715557e+00,1.0003657341e+00,9.9966555834e-01,5.0007843971e-01,4.9951839447e-01,5.0094467402e-01
12,1.0003125270e+00,5.3360524927e-04,1.3564576290e-04,2.3167486888e-04,5.0018649300e-01,5.8679457788e-04,1.0009498596e+00,1.0003437996e+00,9.9964392185e-01,5.0008440018e-01,4.9952432513e-01,5.0095075369e-01
