step,loss_mean,loss_std,log10_loss_mean,log10_loss_std,cosine_similarity_mean,cosine_similarity_std,loss_replica_1,cosine_similarity_replica_1
1,2.0001914501e+00,0.0000000000e+00,3.0107156654e-01,0.0000000000e+00,3.2175087836e-04,0.0000000000e+00,2.0001914501e+00,3.2175087836e-04
2,2.0001914501e+00,0.0000000000e+00,3.0107156654e-01,0.0000000000e+00,3.2175090746e-04,0.0000000000e+00,2.0001914501e+00,3.2175090746e-04
3,2.0001914501e+00,0.0000000000e+00,3.0107156654e-01,0.0000000000e+00,3.2175079104e-04,0.0000000000e+00,2.0001914501e+00,3.2175079104e-04
4,2.0001914501e+00,0.0000000000e+00,3.0107156654e-01,0.0000000000e+00,3.2175087836e-04,0.0000000000e+00,2.0001914501e+00,3.2175087836e-04
5,2.0001914501e+00,0.0000000000e+00,3.0107156654e-01,0.0000000000e+00,3.2175073284e-04,0.0000000000e+00,2.0001914501e+00,3.2175073284e-04
6,2.0001914501e+00,0.0000000000e+00,3.0107156654e-01,0.0000000000e+00,3.2175067463e-04,0.0000000000e+00,2.0001914501e+00,3.2175067463e-04
7,2.0001914501e+00,0.0000000000e+00,3.0107156654e-01,0.0000000000e+00,3.2175076194e-04,0.0000000000e+00,2.0001914501e+00,3.2175076194e-04
8,2.0001914501e+00,0.0000000000e+00,3.0107156654e-01,0.0000000000e+00,3.2175079104e-04,0.0000000000e+00,2.0001914501e+00,3.2175079104e-04
9,2.0001916885e+00,0.0000000000e+00,3.0107161831e-01,0.0000000000e+00,3.2175076194e-04,0.0000000000e+00,2.0001916885e+00,3.2175076194e-04
10,2.0001914501e+00,0.0000000000e+00,3.0107156654e-01,0.0000000000e+00,3.2175093656e-04,0.0000000000e+00,2.0001914501e+00,3.2175093656e-04
11,2.0001914501e+00,0.0000000000e+00,3.0107156654e-01,0.0000000000e+00,3.2175084925e-04,0.0000000000e+00,2.0001914501e+00,3.2175084925e-04
12,2.0001914501e+00,0.0000000000e+00,3.0107156654e-01,0.0000000000e+00,3.2175096567e-04,0.0000000000e+00,2.0001914501e+00,3.2175096567e-04
13,2.0001914501e+00,0.0000000000e+00,3.0107156654e-01,0.0000000000e+00,3.2175087836e-04,0.0000000000e+00,2.0001914501e+00,3.2175087836e-04
14,2.0001914501e+00,0.0000000000e+00,3.0107156654e-01,0.0000000000e+00,3.2175096567e-04,0.0000000000e+00,2.0001914501e+00,3.2175096567e-04
15,2.0001914501e+00,0.0000000000e+00,3.0107156654e-01,0.0000000000e+00,3.2175111119e-04,0.0000000000e+00,2.0001914501e+00,3.2175111119e-04
16,2.0001914501e+00,0.0000000000e+00,3.0107156654e-01,0.0000000000e+00,3.2175102388e-04,0.0000000000e+00,2.0001914501e+00,3.2175102388e-04
17,2.0001914501e+00,0.0000000000e+00,3.0107156654e-01,0.0000000000e+00,3.2175082015e-04,0.0000000000e+00,2.0001914501e+00,3.2175082015e-04
18,2.0001914501e+00,0.0000000000e+00,3.0107156654e-01,0.0000000000e+00,3.2175096567e-04,0.0000000000e+00,2.0001914501e+00,3.2175096567e-04
19,2.0001914501e+00,0.0000000000e+00,3.0107156654e-01,0.0000000000e+00,3.2175111119e-04,0.0000000000e+00,2.0001914501e+00,3.2175111119e-04
20,2.0001914501e+00,0.0000000000e+00,3.0107156654e-01,0.0000000000e+00,3.2175114029e-04,0.0000000000e+00,2.0001914501e+00,3.2175114029e-04
21,2.0001914501e+00,0.0000000000e+00,3.0107156654e-01,0.0000000000e+00,3.2175102388e-04,0.0000000000e+00,2.0001914501e+00,3.2175102388e-04
22,2.0001914501e+00,0.0000000000e+00,3.0107156654e-01,0.0000000000e+00,3.2175096567e-04,0.0000000000e+00,2.0001914501e+00,3.2175096567e-04
23,2.0001914501e+00,0.0000000000e+00,3.0107156654e-01,0.0000000000e+00,3.2175102388e-04,0.0000000000e+00,2.0001914501e+00,3.2175102388e-04
24,2.0001914501e+00,0.0000000000e+00,3.0107156654e-01,0.0000000000e+00,3.2175108208e-04,0.0000000000e+00,2.0001914501e+00,3.2175108208e-04
25,2.0001914501e+00,0.0000000000e+00,3.0107156654e-01,0.0000000000e+00,3.2175114029e-04,0.0000000000e+00,2.0001914501e+00,3.2175114029e-04
26,2.0001914501e+00,0.0000000000e+00,3.0107156654e-01,0.0000000000e+00,3.2175125671e-04,0.0000000000e+00,2.0001914501e+00,3.2175125671e-04
27,2.0001916885e+00,0.0000000000e+00,3.0107161831e-01,0.0000000000e+00,3.2175102388e-04,0.0000000000e+00,2.0001916885e+00,3.2175102388e-04
28,2.0001914501e+00,0.0000000000e+00,3.0107156654e-01,0.0000000000e+00,3.2175119850e-04,0.0000000000e+00,2.0001914501e+00,3.2175119850e-04
29,2.0001914501e+00,0.0000000000e+00,3.0107156654e-01,0.0000000000e+00,3.2175134402e-04,0.0000000000e+00,2.0001914501e+00,3.2175134402e-04
30,2.0001914501e+00,0.0000000000e+00,3.0107156654e-01,0.0000000000e+00,3.2175140223e-04,0.0000000000e+00,2.0001914501e+00,3.2175140223e-04
31,2.0001914501e+00,0.0000000000e+00,3.0107156654e-01,0.0000000000e+00,3.2175134402e-04,0.0000000000e+00,2.0001914501e+00,3.2175134402e-04
32,2.0001914501e+00,0.0000000000e+00,3.0107156654e-01,0.0000000000e+00,3.2175131491e-04,0.0000000000e+00,2.0001914501e+00,3.2175131491e-04
33,2.0001914501e+00,0.0000000000e+00,3.0107156654e-01,0.0000000000e+00,3.2175131491e-04,0.0000000000e+00,2.0001914501e+00,3.2175131491e-04
34,2.0001914501e+00,0.0000000000e+00,3.0107156654e-01,0.0000000000e+00,3.2175140223e-04,0.0000000000e+00,2.0001914501e+00,3.2175140223e-04
35,2.0001914501e+00,0.0000000000e+00,3.0107156654e-01,0.0000000000e+00,3.2175163506e-04,0.0000000000e+00,2.0001914501e+00,3.2175163506e-04
36,2.0001914501e+00,0.0000000000e+00,3.0107156654e-01,0.0000000000e+00,3.2175198430e-04,0.0000000000e+00,2.0001914501e+00,3.2175198430e-04
37,2.0001916885e+00,0.0000000000e+00,3.0107161831e-01,0.0000000000e+00,3.2175186789e-04,0.0000000000e+00,2.0001916885e+00,3.2175186789e-04
38,2.0001914501e+00,0.0000000000e+00,3.0107156654e-01,0.0000000000e+00,3.2175186789e-04,0.0000000000e+00,2.0001914501e+00,3.2175186789e-04
39,2.0001914501e+00,0.0000000000e+00,3.0107156654e-01,0.0000000000e+00,3.2175186789e-04,0.0000000000e+00,2.0001914501e+00,3.2175186789e-04
40,2.0001916885e+00,0.0000000000e+00,3.0107161831e-01,0.0000000000e+00,3.2175218803e-04,0.0000000000e+00,2.0001916885e+00,3.2175218803e-04
41,2.0001914501e+00,0.0000000000e+00,3.0107156654e-01,0.0000000000e+00,3.2175250817e-04,0.0000000000e+00,2.0001914501e+00,3.2175250817e-04
42,2.0001914501e+00,0.0000000000e+00,3.0107156654e-01,0.0000000000e+00,3.2175250817e-04,0.0000000000e+00,2.0001914501e+00,3.2175250817e-04
43,2.0001914501e+00,0.0000000000e+00,3.0107156654e-01,0.0000000000e+00,3.2175271190e-04,0.0000000000e+00,2.0001914501e+00,3.2175271190e-04
44,2.0001914501e+00,0.0000000000e+00,3.0107156654e-01,0.0000000000e+00,3.2175271190e-04,0.0000000000e+00,2.0001914501e+00,3.2175271190e-04
45,2.0001916885e+00,0.0000000000e+00,3.0107161831e-01,0.0000000000e+00,3.2175288652e-04,0.0000000000e+00,2.0001916885e+00,3.2175288652e-04
