step,loss_mean,loss_std,log10_loss_mean,log10_loss_std,cosine_similarity_mean,cosine_similarity_std,loss_replica_1,loss_replica_2,loss_replica_3,cosine_similarity_replica_1,cosine_similarity_replica_2,cosine_similarity_replica_3
1,1.0024650097e+00,1.6494439115e-03,1.0686349667e-03,7.1455968974e-04,5.0015200178e-01,5.8677041310e-04,1.0045075417e+00,1.0004680157e+00,1.0024194717e+00,5.0005018711e-01,4.9948969483e-01,5.0091612339e-01
2,1.0024615526e+00,1.6494439115e-03,1.0671372658e-03,7.1456215388e-04,5.0015243888e-01,5.8674798744e-04,1.0045040846e+00,1.0004645586e+00,1.0024160147e+00,5.0005060434e-01,4.9949017167e-01,5.0091654062e-01
3,1.0024552345e+00,1.6493903363e-03,1.0644001128e-03,7.1454363853e-04,5.0015342236e-01,5.8668502750e-04,1.0044975281e+00,1.0004581213e+00,1.0024100542e+00,5.0005161762e-01,4.9949121475e-01,5.0091743469e-01
4,1.0024472475e+00,1.6494308848e-03,1.0609398363e-03,7.1456721616e-04,5.0015486280e-01,5.8655654867e-04,1.0044893026e+00,1.0004497766e+00,1.0024026632e+00,5.0005328655e-01,4.9949267507e-01,5.0091862679e-01
5,1.0024366776e+00,1.6494202397e-03,1.0563605683e-03,7.1457056304e-04,5.0015678008e-01,5.8645740955e-04,1.0044783354e+00,1.0004388094e+00,1.0023928881e+00,5.0005537271e-01,4.9949461222e-01,5.0092035532e-01
6,1.0024233262e+00,1.6494015608e-03,1.0505761644e-03,7.1457275175e-04,5.0015865763e-01,5.8553066273e-04,1.0044642687e+00,1.0004247427e+00,1.0023809671e+00,5.0005805492e-01,4.9949714541e-01,5.0092077255e-01
7,1.0024073919e+00,1.6494681651e-03,1.0436725890e-03,7.1461428161e-04,5.0016046564e-01,5.8386928444e-04,1.0044472218e+00,1.0004074574e+00,1.0023674965e+00,5.0006121397e-01,4.9950018525e-01,5.0091999769e-01
8,1.0023895899e+00,1.6494621831e-03,1.0359597927e-03,7.1462694911e-04,5.0016179681e-01,5.8089177449e-04,1.0044270754e+00,1.0003871918e+00,1.0023545027e+00,5.0006490946e-01,4.9950376153e-01,5.0091671944e-01
9,1.0023707549e+00,1.6493763882e-03,1.0277992838e-03,7.1460817422e-04,5.0016228358e-01,5.7599457535e-04,1.0044035912e+00,1.0003637075e+00,1.0023449659e+00,5.0006926060e-01,4.9950796366e-01,5.0090962648e-01
10,1.0023516417e+00,1.6491945502e-03,1.0195181684e-03,7.1455125691e-04,5.0016163786e-01,5.6899306141e-04,1.0043766499e+00,1.0003370047e+00,1.0023412704e+00,5.0007414818e-01,4.9951264262e-01,5.0089812279e-01
11,1.0023311774e+00,1.6491435961e-03,1.0106514139e-03,7.1455445439e-04,5.0015997887e-01,5.5994070451e-04,1.0043461323e+00,1.0003066063e+00,1.0023407936e+00,5.0007951260e-01,4.9951797724e-01,5.0088244677e-01
12,1.0023105542e+00,1.6490901835e-03,1.0017156057e-03,7.1456047525e-04,5.0015734633e-01,5.4904566762e-04,1.0043116808e+00,1.0002727509e+00,1.0023472309e+00,5.0008547306e-01,4.9952372909e-01,5.0086283684e-01
13,1.0022916794e+00,1.6495493366e-03,9.9353682979e-04,7.1479345496e-04,5.0015379985e-01,5.3609372549e-04,1.0042732954e+00,1.0002348423e+00,1.0023669004e+00,5.0009208918e-01,4.9953025579e-01,5.0083905458e-01
14,1.0022743940e+00,1.6508757418e-03,9.8604600267e-04,7.1540715843e-04,5.0015005469e-01,5.2212109451e-04,1.0042307377e+00,1.0001927614e+00,1.0023996830e+00,5.0009948015e-01,4.9953737855e-01,5.0081330538e-01
15,1.0022561153e+00,1.6532871623e-03,9.7812380369e-04,7.1649524956e-04,5.0014790893e-01,5.0931028182e-04,1.0041836500e+00,1.0001462698e+00,1.0024384260e+00,5.0010752678e-01,4.9954530597e-01,5.0079089403e-01
16,1.0022339026e+00,1.6567182238e-03,9.6849605937e-04,7.1802872484e-04,5.0014841557e-01,4.9916109202e-04,1.0041315556e+00,1.0000950098e+00,1.0024751425e+00,5.0011622906e-01,4.9955379963e-01,5.0077521801e-01
17,1.0022085508e+00,1.6615055598e-03,9.5750679571e-04,7.2015362498e-04,5.0015122692e-01,4.9090566263e-04,1.0040745735e+00,1.0000388622e+00,1.0025122166e+00,5.0012576580e-01,4.9956312776e-01,5.0076478720e-01
18,1.0021832188e+00,1.6686780109e-03,9.4652412813e-04,7.2331706196e-04,5.0015462438e-01,4.8245712105e-04,1.0040122271e+00,9.9997729063e-01,1.0025601387e+00,5.0013601780e-01,4.9957326055e-01,5.0075459480e-01
19,1.0021615624e+00,1.6802115505e-03,9.3713085165e-04,7.2837578991e-04,5.0015688936e-01,4.7171903438e-04,1.0039448738e+00,9.9990993738e-01,1.0026298761e+00,5.0014710426e-01,4.9958410859e-01,5.0073945522e-01
20,1.0021447539e+00,1.6977425677e-03,9.2983380490e-04,7.3603849524e-04,5.0015743574e-01,4.5783597388e-04,1.0038714409e+00,9.9983662367e-01,1.0027261972e+00,5.0015896559e-01,4.9959594011e-01,5.0071740150e-01
21,1.0021326741e+00,1.7232017713e-03,9.2457985858e-04,7.4713962591e-04,5.0015642246e-01,4.4119949739e-04,1.0037920475e+00,9.9975734949e-01,1.0028486252e+00,5.0017160177e-01,4.9960863590e-01,5.0068902969e-01
22,1.0021235148e+00,1.7580610650e-03,9.2058416389e-04,7.6231443084e-04,5.0015459458e-01,4.2252357336e-04,1.0037060976e+00,9.9967157841e-01,1.0029928684e+00,5.0018525124e-01,4.9962246418e-01,5.0065606833e-01
23,1.0021155477e+00,1.8036714788e-03,9.1709617020e-04,7.8214562200e-04,5.0015237927e-01,4.0276673904e-04,1.0036132336e+00,9.9957853556e-01,1.0031548738e+00,5.0019979477e-01,4.9963709712e-01,5.0062024593e-01
24,1.0021086335e+00,1.8611963824e-03,9.1405404669e-04,8.0713388843e-04,5.0014992555e-01,3.8201082099e-04,1.0035128593e+00,9.9947851896e-01,1.0033345222e+00,5.0021547079e-01,4.9965274334e-01,5.0058156252e-01
25,1.0021032492e+00,1.9331007856e-03,9.1166151046e-04,8.3834397441e-04,5.0014668703e-01,3.5980032662e-04,1.0034048557e+00,9.9937045574e-01,1.0035344362e+00,5.0023198128e-01,4.9966961145e-01,5.0053846836e-01
26,1.0021003087e+00,2.0214634569e-03,9.1031150709e-04,8.7667195725e-04,5.0014232596e-01,3.3623260858e-04,1.0032891035e+00,9.9925434589e-01,1.0037574768e+00,5.0024974346e-01,4.9968746305e-01,5.0048977137e-01
27,1.0020996133e+00,2.1276119614e-03,9.0991483974e-04,9.2268860331e-04,5.0013667345e-01,3.1170595333e-04,1.0031650066e+00,9.9912995100e-01,1.0040038824e+00,5.0026834011e-01,4.9970650673e-01,5.0043517351e-01
28,1.0020999710e+00,2.2520037614e-03,9.0995198912e-04,9.7658896528e-04,5.0013009707e-01,2.8747560683e-04,1.0030320883e+00,9.9899655581e-01,1.0042712688e+00,5.0028836727e-01,4.9972665310e-01,5.0037527084e-01
29,1.0021000902e+00,2.3938119218e-03,9.0986118852e-04,1.0380126377e-03,5.0012290478e-01,2.6510512446e-04,1.0028901100e+00,9.9885421991e-01,1.0045559406e+00,5.0030928850e-01,4.9974799156e-01,5.0031143427e-01
30,1.0020990173e+00,2.5526117416e-03,9.0922640384e-04,1.1067745213e-03,5.0011543433e-01,2.4637737074e-04,1.0027387142e+00,9.9870234728e-01,1.0048559904e+00,5.0033164024e-01,4.9977070093e-01,5.0024396181e-01
31,1.0020959973e+00,2.7276351293e-03,9.0771784587e-04,1.1825412114e-03,5.0010752678e-01,2.3347793423e-04,1.0025775433e+00,9.9854069948e-01,1.0051697493e+00,5.0035536289e-01,4.9979466200e-01,5.0017255545e-01
32,1.0020895004e+00,2.9176102122e-03,9.0467041395e-04,1.2647629894e-03,5.0009923180e-01,2.2879913551e-04,1.0024058819e+00,9.9836850166e-01,1.0054941177e+00,5.0038033724e-01,4.9981990457e-01,5.0009745359e-01
33,1.0019441446e+00,2.9608453753e-03,8.4161476620e-04,1.2836571092e-03,5.0011757016e-01,2.2896097303e-04,1.0022238493e+00,9.9818611145e-01,1.0054224730e+00,5.0040662289e-01,4.9984666705e-01,5.0009942055e-01
34,1.0018741290e+00,3.1071650093e-03,8.1107317872e-04,1.3470650250e-03,5.0011978547e-01,2.3368981050e-04,1.0020304918e+00,9.9799287319e-01,1.0055990219e+00,5.0043433905e-01,4.9987471104e-01,5.0005030632e-01
35,1.0017057856e+00,3.1507468173e-03,7.3803355068e-04,1.3661519310e-03,5.0014066696e-01,2.3634762663e-04,1.0018256903e+00,9.9778836966e-01,1.0055032969e+00,5.0046348572e-01,4.9990421534e-01,5.0005429983e-01
36,1.0015780727e+00,3.2584503589e-03,6.8250968170e-04,1.4129385787e-03,5.0015223026e-01,2.4459552093e-04,1.0016090870e+00,9.9757188559e-01,1.0055532455e+00,5.0049400330e-01,4.9993515015e-01,5.0002753735e-01
37,1.0013801654e+00,3.2956311505e-03,5.9663297139e-04,1.4293108838e-03,5.0017624100e-01,2.4889447125e-04,1.0013805628e+00,9.9734365940e-01,1.0054162741e+00,5.0052607059e-01,4.9996760488e-01,5.0003504753e-01
38,1.0012733936e+00,3.4607877589e-03,5.5008216530e-04,1.5009492530e-03,5.0018014510e-01,2.6844792266e-04,1.0011395216e+00,9.9710333347e-01,1.0055773258e+00,5.0055956841e-01,5.0000160933e-01,4.9997925758e-01
39,1.0010358095e+00,3.4801888383e-03,4.4698932451e-04,1.5097035626e-03,5.0020749370e-01,2.7452940500e-04,1.0008857250e+00,9.9685049057e-01,1.0053712130e+00,5.0059479475e-01,5.0003725290e-01,4.9999043345e-01
40,1.0007710656e+00,3.4819062702e-03,3.3211228600e-04,1.5108460879e-03,5.0023641189e-01,2.8085986204e-04,1.0006191730e+00,9.9658459425e-01,1.0051094294e+00,5.0063145161e-01,5.0007468462e-01,5.0000309944e-01
41,1.0005933046e+00,3.6090296612e-03,2.5476819683e-04,1.5661668417e-03,5.0024828315e-01,3.0435871598e-04,1.0003396273e+00,9.9630546570e-01,1.0051348209e+00,5.0066971779e-01,5.0011336803e-01,4.9996176362e-01
42,1.0003046791e+00,3.6142244258e-03,1.2946620581e-04,1.5688682575e-03,5.0028761228e-01,3.0495779461e-04,1.0000463724e+00,9.9601298571e-01,1.0048546791e+00,5.0070953369e-01,5.0015401840e-01,4.9999928474e-01
43,1.0000052452e+00,3.6234288871e-03,-5.7226030946e-07,1.5733254669e-03,5.0032818317e-01,3.0603940093e-04,9.9973905087e-01,9.9570655823e-01,1.0045701265e+00,5.0075113773e-01,5.0019621849e-01,5.0003719330e-01
44,9.9969158570e-01,3.6327186881e-03,-1.3682991622e-04,1.5778446509e-03,5.0037034353e-01,3.0727253038e-04,9.9941736460e-01,9.9538588524e-01,1.0042715073e+00,5.0079447031e-01,5.0024020672e-01,5.0007635355e-01
45,9.9949673812e-01,3.8111958050e-03,-2.2177489398e-04,1.6555157507e-03,5.0038737059e-01,3.3556274067e-04,9.9908107519e-01,9.9505072832e-01,1.0043584108e+00,5.0083959103e-01,5.0028586388e-01,5.0003665686e-01
46,9.9915117025e-01,3.8172119673e-03,-3.7196678351e-04,1.6586954277e-03,5.0043340524e-01,3.3667684290e-04,9.9872976542e-01,9.9470102787e-01,1.0040227175e+00,5.0088661909e-01,5.0033318996e-01,5.0008040667e-01
47,9.9879036347e-01,3.8226128841e-03,-5.2883587323e-04,1.6616354541e-03,5.0048132737e-01,3.3770326887e-04,9.9836343527e-01,9.9433672428e-01,1.0036709309e+00,5.0093537569e-01,5.0038254261e-01,5.0012606382e-01
48,9.9841465553e-01,3.8282379804e-03,-6.9224385217e-04,1.6646993242e-03,5.0053111712e-01,3.3874767263e-04,9.9798172712e-01,9.9395751953e-01,1.0033047199e+00,5.0098609924e-01,5.0043350458e-01,5.0017374754e-01
49,9.9815171957e-01,3.9983518822e-03,-8.0692316259e-04,1.7389616263e-03,5.0055674712e-01,3.6816752980e-04,9.9758452177e-01,9.9356305599e-01,1.0033075809e+00,5.0103873014e-01,5.0048631430e-01,5.0014519691e-01
50,9.9780005217e-01,4.0751395354e-03,-9.6009752360e-04,1.7729046707e-03,5.0059890747e-01,3.8214538326e-04,9.9717170000e-01,9.9315297604e-01,1.0030754805e+00,5.0109320879e-01,5.0054097176e-01,5.0016254187e-01
51,9.9737834930e-01,4.0815293640e-03,-1.1436977489e-03,1.7764266218e-03,5.0065408150e-01,3.8367806408e-04,9.9674338102e-01,9.9272733927e-01,1.0026643276e+00,5.0114965439e-01,5.0059765577e-01,5.0021493435e-01
52,9.9706673622e-01,4.2516574432e-03,-1.2797177681e-03,1.8508757737e-03,5.0068517526e-01,4.1570390911e-04,9.9629890919e-01,9.9228608608e-01,1.0026152134e+00,5.0120812654e-01,5.0065630674e-01,5.0019109249e-01
53,9.9669182301e-01,4.3608702357e-03,-1.4432583144e-03,1.8990188199e-03,5.0072777271e-01,4.3702314422e-04,9.9583828449e-01,9.9182903767e-01,1.0024081469e+00,5.0126832724e-01,5.0071698427e-01,5.0019800663e-01
54,9.9632277091e-01,4.4991580946e-03,-1.6043678057e-03,1.9598174153e-03,5.0076746941e-01,4.6489637080e-04,9.9536162615e-01,9.9135625362e-01,1.0022504330e+00,5.0133073330e-01,5.0077950954e-01,5.0019216537e-01
55,9.9596895774e-01,4.6797453003e-03,-1.7589864902e-03,2.0390096736e-03,5.0080211957e-01,5.0207367280e-04,9.9486875534e-01,9.9086731672e-01,1.0021708012e+00,5.0139498711e-01,5.0084406137e-01,5.0016731024e-01
56,9.9546708663e-01,4.6863239069e-03,-1.9779019433e-03,2.0428941839e-03,5.0086702903e-01,5.0399063129e-04,9.9435931444e-01,9.9036216736e-01,1.0016797781e+00,5.0146132708e-01,5.0091063976e-01,5.0022912025e-01
57,9.9494844675e-01,4.6924680059e-03,-2.2042466053e-03,2.0466279007e-03,5.0093392531e-01,5.0583609606e-04,9.9383336306e-01,9.8984062672e-01,1.0011713505e+00,5.0152957439e-01,5.0097918510e-01,5.0029301643e-01
