step,loss_mean,loss_std,log10_loss_mean,log10_loss_std,clean_loss_mean,clean_loss_std,log10_clean_loss_mean,log10_clean_loss_std,cosine_similarity_mean,cosine_similarity_std,loss_replica_1,clean_loss_replica_1,cosine_similarity_replica_1
1,1.7739579334e-01,0.0000000000e+00,-7.5105668298e-01,0.0000000000e+00,1.7738502720e-01,0.0000000000e+00,-7.5108304109e-01,0.0000000000e+00,9.9999994040e-01,0.0000000000e+00,1.7739579334e-01,1.7738502720e-01,9.9999994040e-01
2,1.8087378066e-01,0.0000000000e+00,-7.4262438360e-01,0.0000000000e+00,1.8086331011e-01,0.0000000000e+00,-7.4264952509e-01,0.0000000000e+00,9.9999994040e-01,0.0000000000e+00,1.8087378066e-01,1.8086331011e-01,9.9999994040e-01
3,1.8982952952e-01,0.0000000000e+00,-7.2163622864e-01,0.0000000000e+00,1.8981954781e-01,0.0000000000e+00,-7.2165906551e-01,0.0000000000e+00,1.0000000000e+00,0.0000000000e+00,1.8982952952e-01,1.8981954781e-01,1.0000000000e+00
4,2.0839049739e-01,0.0000000000e+00,-6.8112208875e-01,0.0000000000e+00,2.0838128876e-01,0.0000000000e+00,-6.8114128035e-01,0.0000000000e+00,9.9999994040e-01,0.0000000000e+00,2.0839049739e-01,2.0838128876e-01,9.9999994040e-01
5,2.4265902994e-01,0.0000000000e+00,-6.1500354289e-01,0.0000000000e+00,2.4265086722e-01,0.0000000000e+00,-6.1501815220e-01,0.0000000000e+00,9.9999982119e-01,0.0000000000e+00,2.4265902994e-01,2.4265086722e-01,9.9999982119e-01
6,3.0095779948e-01,0.0000000000e+00,-5.2149439722e-01,0.0000000000e+00,3.0095091006e-01,0.0000000000e+00,-5.2150433905e-01,0.0000000000e+00,9.9999970198e-01,0.0000000000e+00,3.0095779948e-01,3.0095091006e-01,9.9999970198e-01
7,3.9354222281e-01,0.0000000000e+00,-4.0500866572e-01,0.0000000000e+00,3.9353694774e-01,0.0000000000e+00,-4.0501448707e-01,0.0000000000e+00,9.9999934435e-01,0.0000000000e+00,3.9354222281e-01,3.9353694774e-01,9.9999934435e-01
8,5.3296785154e-01,0.0000000000e+00,-2.7329898669e-01,0.0000000000e+00,5.3296434999e-01,0.0000000000e+00,-2.7330183998e-01,0.0000000000e+00,9.9999898672e-01,0.0000000000e+00,5.3296785154e-01,5.3296434999e-01,9.9999898672e-01
9,7.3393325692e-01,0.0000000000e+00,-1.3434343255e-01,0.0000000000e+00,7.3393189268e-01,0.0000000000e+00,-1.3434423982e-01,0.0000000000e+00,9.9999773502e-01,0.0000000000e+00,7.3393325692e-01,7.3393189268e-01,9.9999773502e-01
10,1.0134811419e+00,0.0000000000e+00,5.8156720571e-03,0.0000000000e+00,1.0134823242e+00,0.0000000000e+00,5.8161787116e-03,0.0000000000e+00,9.9999666214e-01,0.0000000000e+00,1.0134811419e+00,1.0134823242e+00,9.9999666214e-01
