step,loss_mean,loss_std,log10_loss_mean,log10_loss_std,cosine_similarity_mean,cosine_similarity_std,loss_replica_1,loss_replica_2,loss_replica_3,cosine_similarity_replica_1,cosine_similarity_replica_2,cosine_similarity_replica_3
1,4.0130246480e+05,3.4934213255e+02,5.6034716626e+00,3.7814626003e-04,-7.0843381885e-04,1.0443454895e-03,4.0143318176e+05,4.0082449913e+05,4.0164971352e+05,-4.9187015975e-04,-2.0819474012e-03,4.4851610437e-04
2,4.0130421321e+05,3.4933618579e+02,5.6034735547e+00,3.7813815862e-04,-7.0829481895e-04,1.0443404345e-03,4.0143489838e+05,4.0082626343e+05,4.0165147781e+05,-4.9175316235e-04,-2.0817939658e-03,4.4866267126e-04
3,4.0130572319e+05,3.4930068896e+02,5.6034751889e+00,3.7809836696e-04,-7.0751902725e-04,1.0443311124e-03,4.0143651962e+05,4.0082778931e+05,4.0165286064e+05,-4.9102149205e-04,-2.0809902344e-03,4.4945464469e-04
4,4.0130349795e+05,3.4924139706e+02,5.6034727808e+00,3.7803627243e-04,-7.0523052515e-04,1.0443174612e-03,4.0143427849e+05,4.0082564354e+05,4.0165057182e+05,-4.8879836686e-04,-2.0786605310e-03,4.5176732237e-04
5,4.0129254659e+05,3.4917226388e+02,5.6034609290e+00,3.7797176884e-04,-7.0017871136e-04,1.0442968828e-03,4.0142335892e+05,4.0081477165e+05,4.0163950920e+05,-4.8382810201e-04,-2.0735529251e-03,4.5684489305e-04
6,4.0126646360e+05,3.4912488522e+02,5.6034327001e+00,3.7794507517e-04,-6.9072178060e-04,1.0442694598e-03,4.0139732361e+05,4.0078873634e+05,4.0161333084e+05,-4.7446947428e-04,-2.0640254952e-03,4.6632962767e-04
7,4.0121706327e+05,3.4910522507e+02,5.6033792303e+00,3.7797038217e-04,-6.7483950988e-04,1.0442363582e-03,4.0134801865e+05,4.0073933601e+05,4.0156383514e+05,-4.5869124006e-04,-2.0480635576e-03,4.8223626800e-04
8,4.0113492012e+05,3.4911927052e+02,5.6032903059e+00,3.7806309831e-04,-6.5011078065e-04,1.0441940485e-03,4.0126605034e+05,4.0065712929e+05,4.0148158073e+05,-4.3407516205e-04,-2.0232405514e-03,5.0698337145e-04
9,4.0100893974e+05,3.4917472027e+02,5.6031538898e+00,3.7824201344e-04,-6.1371362729e-04,1.0441451291e-03,4.0114016533e+05,4.0053105354e+05,4.0135560036e+05,-3.9778961218e-04,-1.9867413212e-03,5.4339005146e-04
10,4.0082650185e+05,3.4932317603e+02,5.6029562635e+00,3.7857520206e-04,-5.6241075314e-04,1.0440849243e-03,4.0095791817e+05,4.0034837723e+05,4.0117321014e+05,-3.4659044468e-04,-1.9353253301e-03,5.9468351537e-04
11,4.0057347616e+05,3.4955868764e+02,5.6026820238e+00,3.7906992162e-04,-4.9253537630e-04,1.0440162703e-03,4.0070514679e+05,4.0009498596e+05,4.0092029572e+05,-2.7680298081e-04,-1.8653322477e-03,6.6452909959e-04
12,4.0023407936e+05,3.4996609664e+02,5.6023138994e+00,3.7983378099e-04,-3.9997707063e-04,1.0439361870e-03,4.0036602020e+05,3.9975500107e+05,4.0058121681e+05,-1.8430898490e-04,-1.7726508668e-03,7.5702863978e-04
13,3.9979101817e+05,3.5049997205e+02,5.6018328659e+00,3.8083507863e-04,-2.8016212066e-04,1.0438454816e-03,3.9992325306e+05,3.9931118488e+05,4.0013861656e+05,-6.4522129833e-05,-1.6527131665e-03,8.7674893439e-04
14,3.9922539393e+05,3.5124246729e+02,5.6012179900e+00,3.8218291610e-04,-1.2802359803e-04,1.0437423284e-03,3.9935803413e+05,3.9874451160e+05,3.9957363605e+05,8.7632331997e-05,-1.5004528686e-03,1.0287497425e-03
15,3.9851666292e+05,3.5221609981e+02,5.6004463153e+00,3.8392431284e-04,6.2024143214e-05,1.0436302375e-03,3.9864974022e+05,3.9803442955e+05,3.9886581898e+05,2.7775601484e-04,-1.3102946104e-03,1.2186110253e-03
16,3.9764262835e+05,3.5340623144e+02,5.5994927642e+00,3.8606885597e-04,2.9612138557e-04,1.0435080147e-03,3.9777624607e+05,3.9715874195e+05,3.9799289703e+05,5.1200529560e-04,-1.0761026060e-03,1.4524614671e-03
17,3.9657944838e+05,3.5488862408e+02,5.5983300304e+00,3.8872820470e-04,5.8101371784e-04,1.0433780871e-03,3.9671361446e+05,3.9609353542e+05,3.9693119526e+05,7.9714128515e-04,-7.9114001710e-04,1.7370398855e-03
18,3.9530157248e+05,3.5670793701e+02,5.5969283651e+00,3.9198479532e-04,9.2410067252e-04,1.0432448755e-03,3.9543638229e+05,3.9481317997e+05,3.9565515518e+05,1.1405844707e-03,-4.4802052435e-04,2.0797380712e-03
19,3.9378169378e+05,3.5887093215e+02,5.5952553423e+00,3.9588465664e-04,1.3334983778e-03,1.0431162039e-03,3.9391717911e+05,3.9329037666e+05,3.9413752556e+05,1.5504738549e-03,-3.8646099711e-05,2.4886673782e-03
20,3.9199077288e+05,3.6137278313e+02,5.5932756596e+00,4.0046683667e-04,1.8181194901e-03,1.0429957743e-03,3.9212698936e+05,3.9149608612e+05,3.9234924316e+05,2.0357484464e-03,4.4588168385e-04,2.9727283400e-03
21,3.8989789486e+05,3.6427367973e+02,5.5909507007e+00,4.0584949916e-04,2.3877670756e-03,1.0428979410e-03,3.9003481865e+05,3.8939933777e+05,3.9025952816e+05,2.6062454563e-03,1.0153356707e-03,3.5417200997e-03
22,3.8747034073e+05,3.6758387354e+02,5.5882382692e+00,4.1210456327e-04,3.0532430780e-03,1.0428374420e-03,3.8760805130e+05,3.8696737289e+05,3.8783559799e+05,3.2728004735e-03,1.6804874176e-03,4.2064413428e-03
23,3.8467346827e+05,3.7127583086e+02,5.5850920308e+00,4.1927152761e-04,3.8264789619e-03,1.0428332991e-03,3.8481199741e+05,3.8416559696e+05,3.8504281044e+05,4.0473905392e-03,2.4532284588e-03,4.9788178876e-03
