step,loss_mean,loss_std,log10_loss_mean,log10_loss_std,cosine_similarity_mean,cosine_similarity_std,loss_replica_1,loss_replica_2,cosine_similarity_replica_1,cosine_similarity_replica_2
1,5.9961363673e+06,3.0965209007e+03,6.7778714433e+00,2.2427809800e-04,3.0803901336e-04,2.8688385191e-04,5.9992328882e+06,5.9930398464e+06,2.1155161448e-05,5.9492286528e-04
2,5.9961363673e+06,3.0965209007e+03,6.7778714433e+00,2.2427809800e-04,3.0805729330e-04,2.8688408202e-04,5.9992328882e+06,5.9930398464e+06,2.1173211280e-05,5.9494137531e-04
3,5.9961361885e+06,3.0966997147e+03,6.7778714304e+00,2.2429105602e-04,3.0818349296e-04,2.8688413477e-04,5.9992328882e+06,5.9930394888e+06,2.1299358195e-05,5.9506762773e-04
4,5.9961318970e+06,3.0970573425e+03,6.7778711195e+00,2.2431711922e-04,3.0856970443e-04,2.8688337443e-04,5.9992289543e+06,5.9930348396e+06,2.1686330001e-05,5.9545307886e-04
5,5.9961208105e+06,3.0966997147e+03,6.7778703166e+00,2.2429163125e-04,3.0943457659e-04,2.8687921895e-04,5.9992175102e+06,5.9930241108e+06,2.2555357646e-05,5.9631379554e-04
6,5.9960989952e+06,3.0970573425e+03,6.7778687365e+00,2.2431835009e-04,3.1106414826e-04,2.8687055601e-04,5.9991960526e+06,5.9930019379e+06,2.4193592253e-05,5.9793470427e-04
7,5.9960605502e+06,3.0965209007e+03,6.7778659519e+00,2.2428093389e-04,3.1380824657e-04,2.8685389407e-04,5.9991570711e+06,5.9929640293e+06,2.6954352506e-05,6.0066214064e-04
8,5.9959981441e+06,3.0959844589e+03,6.7778614319e+00,2.2424441331e-04,3.1808290441e-04,2.8682694028e-04,5.9990941286e+06,5.9929021597e+06,3.1255964132e-05,6.0490984470e-04
9,5.9959042668e+06,3.0958056450e+03,6.7778546322e+00,2.2423497246e-04,3.2436880610e-04,2.8678549825e-04,5.9990000725e+06,5.9928084612e+06,3.7583307858e-05,6.1115430435e-04
10,5.9957705140e+06,3.0943751335e+03,6.7778449442e+00,2.2413635772e-04,3.3321325282e-04,2.8672767257e-04,5.9988648891e+06,5.9926761389e+06,4.6485580242e-05,6.1994092539e-04
11,5.9955877662e+06,3.0943751335e+03,6.7778317069e+00,2.2414318948e-04,3.4522925489e-04,2.8664645288e-04,5.9986821413e+06,5.9924933910e+06,5.8582802012e-05,6.3187570777e-04
12,5.9953444004e+06,3.0927658081e+03,6.7778140783e+00,2.2403571066e-04,3.6109328357e-04,2.8653906338e-04,5.9984371662e+06,5.9922516346e+06,7.4554220191e-05,6.4763234695e-04
13,5.9950289726e+06,3.0909776688e+03,6.7777912286e+00,2.2391796108e-04,3.8154757931e-04,2.8639860102e-04,5.9981199503e+06,5.9919379950e+06,9.5148978289e-05,6.6794618033e-04
14,5.9946287870e+06,3.0891895294e+03,6.7777622372e+00,2.2380336341e-04,4.0739846736e-04,2.8621915408e-04,5.9977179766e+06,5.9915395975e+06,1.2117931328e-04,6.9361762144e-04
15,5.9941307902e+06,3.0868649483e+03,6.7777261573e+00,2.2365353357e-04,4.3952136184e-04,2.8599632788e-04,5.9972176552e+06,5.9910439253e+06,1.5352503397e-04,7.2551768972e-04
16,5.9935188890e+06,3.0840039253e+03,6.7776818209e+00,2.2346905548e-04,4.7885280219e-04,2.8572228621e-04,5.9966028929e+06,5.9904348850e+06,1.9313051598e-04,7.6457508840e-04
17,5.9927791357e+06,3.0809640884e+03,6.7776282146e+00,2.2327634477e-04,5.2639605565e-04,2.8538917104e-04,5.9958600998e+06,5.9896981716e+06,2.4100688461e-04,8.1178522669e-04
18,5.9918923974e+06,3.0764937401e+03,6.7775639484e+00,2.2298537486e-04,5.8322199038e-04,2.8499038308e-04,5.9949688911e+06,5.9888159037e+06,2.9823160730e-04,8.6821237346e-04
19,5.9908434749e+06,3.0725598335e+03,6.7774879156e+00,2.2273923591e-04,6.5046583768e-04,2.8451724211e-04,5.9939160347e+06,5.9877709150e+06,3.6594859557e-04,9.3498307979e-04
20,5.9896125197e+06,3.0664801598e+03,6.7773986710e+00,2.2234418741e-04,7.2932902549e-04,2.8396111156e-04,5.9926789999e+06,5.9865460396e+06,4.4536791393e-04,1.0132901371e-03
