step,loss_mean,loss_std,log10_loss_mean,log10_loss_std,cosine_similarity_mean,cosine_similarity_std,loss_replica_1,cosine_similarity_replica_1
1,1.9998112917e+00,0.0000000000e+00,3.0098901624e-01,0.0000000000e+00,-8.1955234054e-04,0.0000000000e+00,1.9998112917e+00,-8.1955234054e-04
2,1.9998112917e+00,0.0000000000e+00,3.0098901624e-01,0.0000000000e+00,-8.1938505173e-04,0.0000000000e+00,1.9998112917e+00,-8.1938505173e-04
3,1.9998065233e+00,0.0000000000e+00,3.0098798071e-01,0.0000000000e+00,-8.1839680206e-04,0.0000000000e+00,1.9998065233e+00,-8.1839680206e-04
4,1.9997878075e+00,0.0000000000e+00,3.0098391620e-01,0.0000000000e+00,-8.1544165732e-04,0.0000000000e+00,1.9997878075e+00,-8.1544165732e-04
5,1.9997423887e+00,0.0000000000e+00,3.0097405248e-01,0.0000000000e+00,-8.0888386583e-04,0.0000000000e+00,1.9997423887e+00,-8.0888386583e-04
6,1.9996528625e+00,0.0000000000e+00,3.0095460918e-01,0.0000000000e+00,-7.9659902258e-04,0.0000000000e+00,1.9996528625e+00,-7.9659902258e-04
7,1.9994993210e+00,0.0000000000e+00,3.0092126099e-01,0.0000000000e+00,-7.7597203199e-04,0.0000000000e+00,1.9994993210e+00,-7.7597203199e-04
8,1.9992580414e+00,0.0000000000e+00,3.0086885150e-01,0.0000000000e+00,-7.4389856309e-04,0.0000000000e+00,1.9992580414e+00,-7.4389856309e-04
9,1.9989001751e+00,0.0000000000e+00,3.0079110603e-01,0.0000000000e+00,-6.9678860018e-04,0.0000000000e+00,1.9989001751e+00,-6.9678860018e-04
10,1.9983940125e+00,0.0000000000e+00,3.0068111981e-01,0.0000000000e+00,-6.3055823557e-04,0.0000000000e+00,1.9983940125e+00,-6.3055823557e-04
11,1.9977048635e+00,0.0000000000e+00,3.0053132693e-01,0.0000000000e+00,-5.4062984418e-04,0.0000000000e+00,1.9977048635e+00,-5.4062984418e-04
12,1.9967935085e+00,0.0000000000e+00,3.0033315614e-01,0.0000000000e+00,-4.2192864930e-04,0.0000000000e+00,1.9967935085e+00,-4.2192864930e-04
13,1.9956171513e+00,0.0000000000e+00,3.0007722781e-01,0.0000000000e+00,-2.6886319392e-04,0.0000000000e+00,1.9956171513e+00,-2.6886319392e-04
14,1.9941300154e+00,0.0000000000e+00,2.9975347048e-01,0.0000000000e+00,-7.5323398050e-05,0.0000000000e+00,1.9941300154e+00,-7.5323398050e-05
15,1.9922820330e+00,0.0000000000e+00,2.9935081837e-01,0.0000000000e+00,1.6534725728e-04,0.0000000000e+00,1.9922820330e+00,1.6534725728e-04
