step,loss_mean,loss_std,log10_loss_mean,log10_loss_std,qy_mean,qy_std,loss_replica_1,loss_replica_2,loss_replica_3,qy_replica_1,qy_replica_2,qy_replica_3
1,1.9914038579e+00,4.6072905410e-03,2.9915818112e-01,1.0052276926e-03,2.7535327778e-04,6.5926305588e-04,1.9926412106e+00,1.9852451086e+00,1.9963252544e+00,5.9285077441e-05,1.1688347440e-03,-4.0205998812e-04
2,1.9914039373e+00,4.6074709957e-03,2.9915819836e-01,1.0052670007e-03,2.7535232827e-04,6.5926141878e-04,1.9926412106e+00,1.9852449894e+00,1.9963256121e+00,5.9285372117e-05,1.1688313680e-03,-4.0205975529e-04
3,1.9914039373e+00,4.6074709957e-03,2.9915819836e-01,1.0052670007e-03,2.7535029949e-04,6.5925890390e-04,1.9926412106e+00,1.9852449894e+00,1.9963256121e+00,5.9285077441e-05,1.1688256636e-03,-4.0205984260e-04
4,1.9914039771e+00,4.6074178788e-03,2.9915820705e-01,1.0052553781e-03,2.7534862238e-04,6.5925642895e-04,1.9926412106e+00,1.9852451086e+00,1.9963256121e+00,5.9285313910e-05,1.1688203085e-03,-4.0205975529e-04
5,1.9914038976e+00,4.6075241126e-03,2.9915818967e-01,1.0052786234e-03,2.7534684947e-04,6.5925400577e-04,1.9926412106e+00,1.9852448702e+00,1.9963256121e+00,5.9285350289e-05,1.1688149534e-03,-4.0205975529e-04
6,1.9914037387e+00,4.6077365811e-03,2.9915815490e-01,1.0053251143e-03,2.7534723146e-04,6.5925452009e-04,1.9926412106e+00,1.9852443933e+00,1.9963256121e+00,5.9285273892e-05,1.1688161176e-03,-4.0205969708e-04
7,1.9914036194e+00,4.6078959333e-03,2.9915812882e-01,1.0053599826e-03,2.7535026553e-04,6.5925842391e-04,1.9926412106e+00,1.9852440357e+00,1.9963256121e+00,5.9285644966e-05,1.1688248487e-03,-4.0205969708e-04
8,1.9914031029e+00,4.6081721955e-03,2.9915801602e-01,1.0054206121e-03,2.7535810417e-04,6.5926898209e-04,1.9926409721e+00,1.9852430820e+00,1.9963252544e+00,5.9285761381e-05,1.1688482482e-03,-4.0205969708e-04
9,1.9914027850e+00,4.6087247340e-03,2.9915794641e-01,1.0055415129e-03,2.7537212251e-04,6.5928787881e-04,1.9926412106e+00,1.9852418900e+00,1.9963252544e+00,5.9285819589e-05,1.1688901577e-03,-4.0205960977e-04
10,1.9914020697e+00,4.6095532901e-03,2.9915779001e-01,1.0057228141e-03,2.7539483441e-04,6.5931859649e-04,1.9926409721e+00,1.9852399826e+00,1.9963252544e+00,5.9286056057e-05,1.1689581443e-03,-4.0205969708e-04
11,1.9914013942e+00,4.6105201456e-03,2.9915764220e-01,1.0059343743e-03,2.7542875614e-04,6.5936432330e-04,1.9926410913e+00,1.9852378368e+00,1.9963252544e+00,5.9286248870e-05,1.1690595420e-03,-4.0205952246e-04
12,1.9914004405e+00,4.6117950827e-03,2.9915743357e-01,1.0062133483e-03,2.7547677140e-04,6.5942931049e-04,1.9926410913e+00,1.9852349758e+00,1.9963252544e+00,5.9286405303e-05,1.1692034313e-03,-4.0205952246e-04
13,1.9913992882e+00,4.6135585318e-03,2.9915718137e-01,1.0065990392e-03,2.7554206463e-04,6.5951778472e-04,1.9926409721e+00,1.9852312803e+00,1.9963256121e+00,5.9286561736e-05,1.1693992419e-03,-4.0205960977e-04
14,1.9913976987e+00,4.6158112486e-03,2.9915683359e-01,1.0070919648e-03,2.7562838053e-04,6.5963461814e-04,1.9926412106e+00,1.9852262735e+00,1.9963256121e+00,5.9286834585e-05,1.1696579168e-03,-4.0205960977e-04
15,1.9913955927e+00,4.6186271527e-03,2.9915637286e-01,1.0077081278e-03,2.7573955837e-04,6.5978517082e-04,1.9926412106e+00,1.9852199554e+00,1.9963256121e+00,5.9287071053e-05,1.1699912138e-03,-4.0205960977e-04
16,1.9913931688e+00,4.6218683511e-03,2.9915584260e-01,1.0084173541e-03,2.7588017474e-04,6.5997571730e-04,1.9926412106e+00,1.9852126837e+00,1.9963256121e+00,5.9287147451e-05,1.1704129865e-03,-4.0205960977e-04
17,1.9913899104e+00,4.6258752942e-03,2.9915512995e-01,1.0092943202e-03,2.7605458430e-04,6.6021189864e-04,1.9926410913e+00,1.9852033854e+00,1.9963252544e+00,5.9287205659e-05,1.1709359242e-03,-4.0205937694e-04
18,1.9913864136e+00,4.6308387030e-03,2.9915436482e-01,1.0103802252e-03,2.7626863812e-04,6.6050174158e-04,1.9926410913e+00,1.9851925373e+00,1.9963256121e+00,5.9287947806e-05,1.1715774890e-03,-4.0205952246e-04
