step,loss_mean,loss_std,log10_loss_mean,log10_loss_std,replica_1,replica_2,replica_3,replica_4,replica_5
1,9.9536650181e-01,4.5460590067e-03,-2.0215161214e-03,1.9859440000e-03,9.8835164309e-01,9.9952393770e-01,9.9918812513e-01,9.9158507586e-01,9.9818372726e-01
2,9.9456481934e-01,4.5320231528e-03,-2.3714234144e-03,1.9814228712e-03,9.8759251833e-01,9.9859440327e-01,9.9833083153e-01,9.9073821306e-01,9.9756813049e-01
3,9.9064370394e-01,4.4879231789e-03,-4.0869802230e-03,1.9698933035e-03,9.8378455639e-01,9.9447488785e-01,9.9427980185e-01,9.8676365614e-01,9.9391561747e-01
4,9.8045544624e-01,4.3797006632e-03,-8.5764762095e-03,1.9421800780e-03,9.7392898798e-01,9.8373478651e-01,9.8380094767e-01,9.7644627094e-01,9.8436623812e-01
5,9.5578414202e-01,4.2351388824e-03,-1.9644445425e-02,1.9252300470e-03,9.5015841722e-01,9.5765668154e-01,9.5840883255e-01,9.5150065422e-01,9.6119612455e-01
6,9.0047456026e-01,4.8861001943e-03,-4.5534923664e-02,2.3504773925e-03,8.9700895548e-01,8.9901936054e-01,9.0133416653e-01,8.9556771517e-01,9.0944260359e-01
7,8.0011994839e-01,8.7096397697e-03,-9.6870407505e-02,4.6964991213e-03,7.9999685287e-01,7.9312705994e-01,7.9682379961e-01,7.9380857944e-01,8.1684345007e-01
8,6.8027733564e-01,1.4243222541e-02,-1.6740762242e-01,8.9804198697e-03,6.8137633801e-01,6.7009133101e-01,6.7036414146e-01,6.7202061415e-01,7.0753425360e-01
9,5.9637043476e-01,1.6397680666e-02,-2.2464436181e-01,1.1738668706e-02,5.9544497728e-01,5.8772480488e-01,5.8293950558e-01,5.8757513762e-01,6.2816774845e-01
10,5.2235730886e-01,1.5235287399e-02,-2.8221273391e-01,1.2444160651e-02,5.2259445190e-01,5.1210820675e-01,5.1106047630e-01,5.1429247856e-01,5.5173093081e-01
11,4.6622321010e-01,1.3548994915e-02,-3.3158579352e-01,1.2429153497e-02,4.6843072772e-01,4.5471224189e-01,4.5994597673e-01,4.5641073585e-01,4.9161636829e-01
12,4.5381683111e-01,1.2545134860e-02,-3.4328287372e-01,1.1871606477e-02,4.5613425970e-01,4.4218385220e-01,4.5206665993e-01,4.4229218364e-01,4.7640720010e-01
13,4.4515362978e-01,1.2738062417e-02,-3.5166560447e-01,1.2307799473e-02,4.4808509946e-01,4.3152081966e-01,4.4424504042e-01,4.3439623713e-01,4.6752095222e-01
14,4.2101609707e-01,1.3762896183e-02,-3.7593026571e-01,1.4055747695e-02,4.2519670725e-01,4.0491232276e-01,4.1870972514e-01,4.1134220362e-01,4.4491952658e-01
15,3.8659686446e-01,1.4677893496e-02,-4.1304998711e-01,1.6303348751e-02,3.9184880257e-01,3.6913743615e-01,3.8259303570e-01,3.7742024660e-01,4.1198480129e-01
16,3.5332319736e-01,1.4908498593e-02,-4.5220800180e-01,1.8095664064e-02,3.5900062323e-01,3.3571743965e-01,3.4862226248e-01,3.4419140220e-01,3.7908425927e-01
17,3.2982290983e-01,1.4490327942e-02,-4.8213106424e-01,1.8832884427e-02,3.3554932475e-01,3.1301251054e-01,3.2559162378e-01,3.2017037272e-01,3.5479071736e-01
18,3.1766899824e-01,1.3852331389e-02,-4.9843113549e-01,1.8699425843e-02,3.2328274846e-01,3.0198323727e-01,3.1432917714e-01,3.0733400583e-01,3.4141582251e-01
19,3.1382631660e-01,1.3197140544e-02,-5.0368910261e-01,1.8065613138e-02,3.1949809194e-01,2.9896539450e-01,3.1161850691e-01,3.0297204852e-01,3.3607754111e-01
