step,loss_mean,loss_std,log10_loss_mean,log10_loss_std,qy_mean,qy_std,loss_replica_1,loss_replica_2,loss_replica_3,loss_replica_4,loss_replica_5,qy_replica_1,qy_replica_2,qy_replica_3,qy_replica_4,qy_replica_5
1,1.0004182220e+00,4.5852406674e-03,1.7702445191e-04,1.9929593484e-03,4.2460206314e-04,1.2115749691e-03,9.9333751202e-01,1.0046080351e+00,1.0042781830e+00,9.9661237001e-01,1.0032550097e+00,1.9982443191e-03,1.6822321340e-03,-2.2928931867e-04,-1.1557785328e-03,-1.7239828594e-04
2,1.0004178286e+00,4.5851772088e-03,1.7685379909e-04,1.9929324518e-03,4.2519779818e-04,1.2115767134e-03,9.9333727360e-01,1.0046075583e+00,1.0042778254e+00,9.9661195278e-01,1.0032545328e+00,1.9988387357e-03,1.6828316730e-03,-2.2869025997e-04,-1.1551894713e-03,-1.7180168652e-04
3,1.0004169464e+00,4.5850322177e-03,1.7647112799e-04,1.9928710256e-03,4.2877362284e-04,1.2115875754e-03,9.9333667755e-01,1.0046066046e+00,1.0042768717e+00,9.9661111832e-01,1.0032534599e+00,2.0024091937e-03,1.6864317004e-03,-2.2509497649e-04,-1.1516478844e-03,-1.6822991893e-04
4,1.0004151583e+00,4.5848807108e-03,1.7569515805e-04,1.9928085546e-03,4.3950079707e-04,1.2116233223e-03,9.9333518744e-01,1.0046048164e+00,1.0042749643e+00,9.9660938978e-01,1.0032514334e+00,2.0131242927e-03,1.6972351586e-03,-2.1431120695e-04,-1.1410269653e-03,-1.5751729370e-04
5,1.0004122734e+00,4.5846110885e-03,1.7444330711e-04,1.9926968283e-03,4.6332571947e-04,1.2117039094e-03,9.9333280325e-01,1.0046017170e+00,1.0042721033e+00,9.9660664797e-01,1.0032480955e+00,2.0369244739e-03,1.7212306848e-03,-1.9036034064e-04,-1.1174385436e-03,-1.3372767717e-04
6,1.0004077077e+00,4.5843460414e-03,1.7246174184e-04,1.9925904492e-03,5.0795292627e-04,1.2118574282e-03,9.9332875013e-01,1.0045969486e+00,1.0042674541e+00,9.9660217762e-01,1.0032432079e+00,2.0815092139e-03,1.7661801539e-03,-1.4549835760e-04,-1.0732562514e-03,-8.9170127467e-05
7,1.0004010320e+00,4.5839827259e-03,1.6956434944e-04,1.9924454368e-03,5.8281638612e-04,1.2121164305e-03,9.9332278967e-01,1.0045900345e+00,1.0042606592e+00,9.9659562111e-01,1.0032360554e+00,2.1563025657e-03,1.8415874802e-03,-7.0242291258e-05,-9.9913892336e-04,-1.4426900634e-05
8,1.0003916621e+00,4.5836111894e-03,1.6549734334e-04,1.9923022125e-03,6.9904607444e-04,1.2125199193e-03,9.9331414700e-01,1.0045803785e+00,1.0042512417e+00,9.9658638239e-01,1.0032261610e+00,2.2724259179e-03,1.9586621784e-03,4.6597462642e-05,-8.8406802388e-04,1.0161283717e-04
9,1.0003788471e+00,4.5831213198e-03,1.5993486400e-04,1.9921142928e-03,8.6942607886e-04,1.2131136829e-03,9.9330228567e-01,1.0045672655e+00,1.0042382479e+00,9.9657374620e-01,1.0032126904e+00,2.4426525924e-03,2.1302828100e-03,2.1787124570e-04,-7.1538845077e-04,2.7171219699e-04
10,1.0003621578e+00,4.5825564494e-03,1.5269045195e-04,1.9919014448e-03,1.1083439400e-03,1.2139480175e-03,9.9328666925e-01,1.0045502186e+00,1.0042213202e+00,9.9655729532e-01,1.0031952858e+00,2.6813566219e-03,2.3709412199e-03,4.5804207912e-04,-4.7885530512e-04,5.1023508422e-04
