step,loss_mean,loss_std,log10_loss_mean,log10_loss_std,qy_mean,qy_std,loss_replica_1,loss_replica_2,loss_replica_3,qy_replica_1,qy_replica_2,qy_replica_3
1,1.9922482173e+00,4.6320325463e-03,2.9934227240e-01,1.0101533423e-03,2.7535327778e-04,6.5926305588e-04,1.9933516979e+00,1.9861044884e+00,1.9972884655e+00,5.9285077441e-05,1.1688347440e-03,-4.0205998812e-04
2,1.9922397931e+00,4.6319176715e-03,2.9934043605e-01,1.0101325090e-03,2.7575414424e-04,6.5926141689e-04,1.9933431149e+00,1.9860962629e+00,1.9972800016e+00,5.9692560171e-05,1.1692316039e-03,-4.0166173130e-04
3,1.9921586911e+00,4.6317163196e-03,2.9932275601e-01,1.0101297076e-03,2.7962557942e-04,6.5924290592e-04,1.9932619333e+00,1.9860154390e+00,1.9971987009e+00,6.3604100433e-05,1.1730679544e-03,-3.9779531653e-04
4,1.9916342100e+00,4.6296595656e-03,2.9920840347e-01,1.0099468789e-03,3.0519538753e-04,6.5917976969e-04,1.9927366972e+00,1.9854937792e+00,1.9966721535e+00,8.9477834990e-05,1.1984689627e-03,-3.7236063508e-04
5,1.9901686509e+00,4.6265794107e-03,2.9888870680e-01,1.0100216692e-03,3.8520685727e-04,6.6033979273e-04,1.9912806749e+00,1.9840286970e+00,1.9951965809e+00,1.7057363584e-04,1.2796209194e-03,-2.9457398341e-04
6,1.9887337685e+00,4.6185589721e-03,2.9857547627e-01,1.0090073763e-03,5.0006200036e-04,6.6465616927e-04,1.9898724556e+00,1.9825944901e+00,1.9937343597e+00,2.8832236421e-04,1.3990437146e-03,-1.8718007777e-04
7,1.9845960538e+00,4.4134700274e-03,2.9767104895e-01,9.6620679766e-04,9.0436272149e-04,6.5056655476e-04,1.9857206345e+00,1.9787168503e+00,1.9893506765e+00,7.6034304220e-04,1.7633280950e-03,1.8941702729e-04
8,2.0645565987e+00,7.5109708466e-04,3.1482676457e-01,1.5799956197e-04,-3.0173528939e-03,3.3395406123e-04,2.0645709038e+00,2.0636296272e+00,2.0654692650e+00,-2.5975741446e-03,-3.0398194212e-03,-3.4146651160e-03
9,2.0645646254e+00,7.5108690136e-04,3.1482845306e-01,1.5799674174e-04,-3.0186337729e-03,3.3396959002e-04,2.0645778179e+00,2.0636382103e+00,2.0654778481e+00,-2.5988249108e-03,-3.0411244370e-03,-3.4159519710e-03
10,2.0646116734e+00,7.5076015509e-04,3.1483834981e-01,1.5792413136e-04,-3.0201500437e-03,3.3395863353e-04,2.0646200180e+00,2.0636880398e+00,2.0655269623e+00,-2.6003357489e-03,-3.0426818412e-03,-3.4174325410e-03
11,2.0646722317e+00,7.4908502138e-04,3.1485108829e-01,1.5756682754e-04,-3.0218209916e-03,3.3390876090e-04,2.0646750927e+00,2.0637533665e+00,2.0655882359e+00,-2.6020347141e-03,-3.0444250442e-03,-3.4190032165e-03
12,2.0647382736e+00,7.4733400499e-04,3.1486497983e-01,1.5719312663e-04,-3.0236581030e-03,3.3385394651e-04,2.0647349358e+00,2.0638246536e+00,2.0656552315e+00,-2.6039022487e-03,-3.0463424046e-03,-3.4207296558e-03
13,2.0648098787e+00,7.4532043500e-04,3.1488004104e-01,1.5676377409e-04,-3.0256648703e-03,3.3379587072e-04,2.0647997856e+00,2.0639021397e+00,2.0657277107e+00,-2.6059402153e-03,-3.0484364834e-03,-3.4226179123e-03
14,2.0648867289e+00,7.4334320660e-04,3.1489620492e-01,1.5634167291e-04,-3.0278393533e-03,3.3373446019e-04,2.0648694038e+00,2.0639851093e+00,2.0658056736e+00,-2.6081465185e-03,-3.0507058837e-03,-3.4246656578e-03
15,2.0649686654e+00,7.4111901323e-04,3.1491343794e-01,1.5586725020e-04,-3.0301845788e-03,3.3367011423e-04,2.0649435520e+00,2.0640738010e+00,2.0658886433e+00,-2.6105234865e-03,-3.0531540979e-03,-3.4268761519e-03
16,2.0650554498e+00,7.3894366675e-04,3.1493168980e-01,1.5540275850e-04,-3.0327045048e-03,3.3360468094e-04,2.0650222301e+00,2.0641674995e+00,2.0659766197e+00,-2.6130722836e-03,-3.0557862483e-03,-3.4292549826e-03
17,2.0651472410e+00,7.3664644171e-04,3.1495099381e-01,1.5491225021e-04,-3.0354037105e-03,3.3354014413e-04,2.0651049614e+00,2.0642669201e+00,2.0660698414e+00,-2.6157915127e-03,-3.0586146750e-03,-3.4318049438e-03
18,2.0652436415e+00,7.3401222708e-04,3.1497126630e-01,1.5435059106e-04,-3.0383045475e-03,3.3344250899e-04,2.0651924610e+00,2.0643713474e+00,2.0661671162e+00,-2.6187603362e-03,-3.0616286676e-03,-3.4345246386e-03
19,2.0653448105e+00,7.3194972336e-04,3.1499254048e-01,1.5390881024e-04,-3.0414705786e-03,3.3312853490e-04,2.0652840137e+00,2.0644803047e+00,2.0662701130e+00,-2.6222893503e-03,-3.0648428947e-03,-3.4372794908e-03
20,2.0655052662e+00,7.2019795452e-04,3.1502628019e-01,1.5142290316e-04,-3.0499551600e-03,3.3383042026e-04,2.0653867722e+00,2.0646884441e+00,2.0664405823e+00,-2.6272309478e-03,-3.0792669859e-03,-3.4433675464e-03
21,2.0656175613e+00,7.1796890757e-04,3.1504989096e-01,1.5094580237e-04,-3.0532951932e-03,3.3390200675e-04,2.0654945374e+00,2.0648062229e+00,2.0665519238e+00,-2.6303846389e-03,-3.0828278977e-03,-3.4466730431e-03
22,2.0657304923e+00,7.1592197472e-04,3.1507363411e-01,1.5050663470e-04,-3.0563225349e-03,3.3462056645e-04,2.0655958652e+00,2.0649287701e+00,2.0666668415e+00,-2.6322139893e-03,-3.0865655281e-03,-3.4501880873e-03
23,2.0658522447e+00,7.1786685572e-04,3.1509923017e-01,1.5090576997e-04,-3.0606024278e-03,3.3529129337e-04,2.0657010078e+00,2.0650584698e+00,2.0667972565e+00,-2.6356093585e-03,-3.0909834895e-03,-3.4552144352e-03
24,2.0660414696e+00,6.4483574130e-04,3.1513901328e-01,1.3553787631e-04,-3.0692894167e-03,3.3566399758e-04,2.0658068657e+00,2.0653955936e+00,2.0669219494e+00,-2.6399763301e-03,-3.1085230876e-03,-3.4593688324e-03
25,2.0661709309e+00,6.4708931175e-04,3.1516622583e-01,1.3600250784e-04,-3.0737529354e-03,3.3693796243e-04,2.0659217834e+00,2.0655329227e+00,2.0670580864e+00,-2.6438806672e-03,-3.1106492970e-03,-3.4667288419e-03
26,2.0663002332e+00,6.4477239624e-04,3.1519340357e-01,1.3550675127e-04,-3.0787483944e-03,3.3645792069e-04,2.0660414696e+00,2.0656723976e+00,2.0671868324e+00,-2.6494422927e-03,-3.1156991608e-03,-3.4711037297e-03
27,2.0664861202e+00,6.2223269285e-04,3.1523247296e-01,1.3076128266e-04,-3.0804683144e-03,3.4076373838e-04,2.0663158894e+00,2.0658235550e+00,2.0673189163e+00,-2.6440822985e-03,-3.1215869822e-03,-3.4757356625e-03
28,2.0666871071e+00,5.6180568013e-04,3.1527471411e-01,1.1804892016e-04,-3.0907869029e-03,3.3851636865e-04,2.0664422512e+00,2.0661549568e+00,2.0674641132e+00,-2.6532474440e-03,-3.1413026154e-03,-3.4778106492e-03
29,2.0668280919e+00,5.5818979248e-04,3.1530433993e-01,1.1728062557e-04,-3.0965058443e-03,3.3893806147e-04,2.0665619373e+00,2.0663175583e+00,2.0676047802e+00,-2.6579038240e-03,-3.1483562198e-03,-3.4832574893e-03
30,2.0669661363e+00,5.6088497594e-04,3.1533334553e-01,1.1783865946e-04,-3.1021289372e-03,3.3943560471e-04,2.0666837692e+00,2.0664653778e+00,2.0677492619e+00,-2.6631790679e-03,-3.1533271540e-03,-3.4898805898e-03
31,2.0671058496e+00,5.5875011452e-04,3.1536270010e-01,1.1738187199e-04,-3.1073894352e-03,3.3971087603e-04,2.0668056011e+00,2.0666229725e+00,2.0678889751e+00,-2.6677334681e-03,-3.1594908796e-03,-3.4949439578e-03
32,2.0672514439e+00,5.5624040668e-04,3.1539328821e-01,1.1684612132e-04,-3.1134342620e-03,3.3992774183e-04,2.0669322014e+00,2.0667884350e+00,2.0680336952e+00,-2.6730522513e-03,-3.1666699797e-03,-3.5005805548e-03
33,2.0676633517e+00,4.5300773693e-04,3.1547981974e-01,9.5152836228e-05,-3.1266307148e-03,3.4028139486e-04,2.0670747757e+00,2.0677385330e+00,2.0681767464e+00,-2.6806637179e-03,-3.1930184923e-03,-3.5062099341e-03
34,2.0678053697e+00,4.6058883740e-04,3.1550964800e-01,9.6738989635e-05,-3.1325282374e-03,3.4025800227e-04,2.0672025681e+00,2.0678930283e+00,2.0683205128e+00,-2.6864819229e-03,-3.1992015429e-03,-3.5119012464e-03
35,2.0679519971e+00,4.7254299072e-04,3.1554044203e-01,9.9243019637e-05,-3.1388957674e-03,3.4049903381e-04,2.0673310757e+00,2.0680484772e+00,2.0684764385e+00,-2.6924719568e-03,-3.2057787757e-03,-3.5184365697e-03
36,2.0680998961e+00,4.8448819348e-04,3.1557150088e-01,1.0174477801e-04,-3.1459388168e-03,3.4010904653e-04,2.0674607754e+00,2.0682055950e+00,2.0686333179e+00,-2.7001041453e-03,-3.2125397120e-03,-3.5251725931e-03
37,2.0684043566e+00,6.8266186357e-04,3.1563542019e-01,1.4333358292e-04,-3.1637762828e-03,3.5284237010e-04,2.0675899982e+00,2.0683624744e+00,2.0692605972e+00,-2.7063929010e-03,-3.2197053079e-03,-3.5652306397e-03
38,2.0685490767e+00,6.8781123321e-04,3.1566580506e-01,1.4440548777e-04,-3.1700008549e-03,3.5272998505e-04,2.0677199364e+00,2.0685231686e+00,2.0694041252e+00,-2.7128607035e-03,-3.2256697305e-03,-3.5714721307e-03
39,2.0686917305e+00,6.9288305965e-04,3.1569575402e-01,1.4546096923e-04,-3.1768391685e-03,3.5265145296e-04,2.0678496361e+00,2.0686788559e+00,2.0695466995e+00,-2.7195366565e-03,-3.2331524417e-03,-3.5778284073e-03
40,2.0688343843e+00,6.9798195372e-04,3.1572570091e-01,1.4652198549e-04,-3.1836774045e-03,3.5250431112e-04,2.0679795742e+00,2.0688343048e+00,2.0696892738e+00,-2.7264587115e-03,-3.2402337529e-03,-3.5843397491e-03
41,2.0689785480e+00,7.0094302664e-04,3.1575596284e-01,1.4713390445e-04,-3.1909216971e-03,3.5202018458e-04,2.0681147575e+00,2.0689892769e+00,2.0698316097e+00,-2.7343188412e-03,-3.2474305481e-03,-3.5910157021e-03
42,2.0691215197e+00,7.0427503977e-04,3.1578597242e-01,1.4782367319e-04,-3.1982389434e-03,3.5165983898e-04,2.0682485104e+00,2.0691428185e+00,2.0699732304e+00,-2.7420688421e-03,-3.2547763549e-03,-3.5978716332e-03
