step,loss_mean,loss_std,log10_loss_mean,log10_loss_std,cosine_similarity_mean,cosine_similarity_std,loss_replica_1,cosine_similarity_replica_1
1,2.0458407402e+00,0.0000000000e+00,3.1087182276e-01,0.0000000000e+00,1.2099483050e-02,0.0000000000e+00,2.0458407402e+00,1.2099483050e-02
2,2.0458421707e+00,0.0000000000e+00,3.1087212643e-01,0.0000000000e+00,1.2099767104e-02,0.0000000000e+00,2.0458421707e+00,1.2099767104e-02
3,2.0458447933e+00,0.0000000000e+00,3.1087268316e-01,0.0000000000e+00,1.2100358494e-02,0.0000000000e+00,2.0458447933e+00,1.2100358494e-02
4,2.0458486080e+00,0.0000000000e+00,3.1087349295e-01,0.0000000000e+00,1.2101292610e-02,0.0000000000e+00,2.0458486080e+00,1.2101292610e-02
5,2.0458536148e+00,0.0000000000e+00,3.1087455579e-01,0.0000000000e+00,1.2102637440e-02,0.0000000000e+00,2.0458536148e+00,1.2102637440e-02
6,2.0458590984e+00,0.0000000000e+00,3.1087571986e-01,0.0000000000e+00,1.2104456313e-02,0.0000000000e+00,2.0458590984e+00,1.2104456313e-02
7,2.0458645821e+00,0.0000000000e+00,3.1087688392e-01,0.0000000000e+00,1.2106850743e-02,0.0000000000e+00,2.0458645821e+00,1.2106850743e-02
8,2.0458705425e+00,0.0000000000e+00,3.1087814920e-01,0.0000000000e+00,1.2109952979e-02,0.0000000000e+00,2.0458705425e+00,1.2109952979e-02
9,2.0458755493e+00,0.0000000000e+00,3.1087921203e-01,0.0000000000e+00,1.2113903649e-02,0.0000000000e+00,2.0458755493e+00,1.2113903649e-02
10,2.0458796024e+00,0.0000000000e+00,3.1088007242e-01,0.0000000000e+00,1.2118881568e-02,0.0000000000e+00,2.0458796024e+00,1.2118881568e-02
11,2.0458817482e+00,0.0000000000e+00,3.1088052792e-01,0.0000000000e+00,1.2125110254e-02,0.0000000000e+00,2.0458817482e+00,1.2125110254e-02
12,2.0458810329e+00,0.0000000000e+00,3.1088037608e-01,0.0000000000e+00,1.2132855132e-02,0.0000000000e+00,2.0458810329e+00,1.2132855132e-02
13,2.0458767414e+00,0.0000000000e+00,3.1087946509e-01,0.0000000000e+00,1.2142441235e-02,0.0000000000e+00,2.0458767414e+00,1.2142441235e-02
14,2.0458679199e+00,0.0000000000e+00,3.1087759247e-01,0.0000000000e+00,1.2154248543e-02,0.0000000000e+00,2.0458679199e+00,1.2154248543e-02
15,2.0458533764e+00,0.0000000000e+00,3.1087450518e-01,0.0000000000e+00,1.2168761343e-02,0.0000000000e+00,2.0458533764e+00,1.2168761343e-02
16,2.0458312035e+00,0.0000000000e+00,3.1086979828e-01,0.0000000000e+00,1.2186571956e-02,0.0000000000e+00,2.0458312035e+00,1.2186571956e-02
17,2.0458006859e+00,0.0000000000e+00,3.1086331988e-01,0.0000000000e+00,1.2208388187e-02,0.0000000000e+00,2.0458006859e+00,1.2208388187e-02
18,2.0457596779e+00,0.0000000000e+00,3.1085461437e-01,0.0000000000e+00,1.2235091999e-02,0.0000000000e+00,2.0457596779e+00,1.2235091999e-02
19,2.0457062721e+00,0.0000000000e+00,3.1084327671e-01,0.0000000000e+00,1.2436762452e-02,0.0000000000e+00,2.0457062721e+00,1.2436762452e-02
20,2.0380203724e+00,0.0000000000e+00,3.0920852097e-01,0.0000000000e+00,1.2691348791e-02,0.0000000000e+00,2.0380203724e+00,1.2691348791e-02
21,2.0379352570e+00,0.0000000000e+00,3.0919038281e-01,0.0000000000e+00,1.2739942409e-02,0.0000000000e+00,2.0379352570e+00,1.2739942409e-02
22,2.0384185314e+00,0.0000000000e+00,3.0929335888e-01,0.0000000000e+00,1.2939292006e-02,0.0000000000e+00,2.0384185314e+00,1.2939292006e-02
23,2.0312345028e+00,0.0000000000e+00,3.0776006491e-01,0.0000000000e+00,1.3564671390e-02,0.0000000000e+00,2.0312345028e+00,1.3564671390e-02
24,2.0304372311e+00,0.0000000000e+00,3.0758956825e-01,0.0000000000e+00,1.3700292446e-02,0.0000000000e+00,2.0304372311e+00,1.3700292446e-02
25,2.0302655697e+00,0.0000000000e+00,3.0755284969e-01,0.0000000000e+00,1.3801947236e-02,0.0000000000e+00,2.0302655697e+00,1.3801947236e-02
26,2.0300703049e+00,0.0000000000e+00,3.0751107855e-01,0.0000000000e+00,1.3921013102e-02,0.0000000000e+00,2.0300703049e+00,1.3921013102e-02
27,2.0298526287e+00,0.0000000000e+00,3.0746450842e-01,0.0000000000e+00,1.4057937078e-02,0.0000000000e+00,2.0298526287e+00,1.4057937078e-02
28,2.0296149254e+00,0.0000000000e+00,3.0741364794e-01,0.0000000000e+00,1.4212184586e-02,0.0000000000e+00,2.0296149254e+00,1.4212184586e-02
29,2.0293631554e+00,0.0000000000e+00,3.0735977116e-01,0.0000000000e+00,1.4382567257e-02,0.0000000000e+00,2.0293631554e+00,1.4382567257e-02
30,2.0291056633e+00,0.0000000000e+00,3.0730466300e-01,0.0000000000e+00,1.4567157254e-02,0.0000000000e+00,2.0291056633e+00,1.4567157254e-02
31,2.0288541317e+00,0.0000000000e+00,3.0725082373e-01,0.0000000000e+00,1.4763319865e-02,0.0000000000e+00,2.0288541317e+00,1.4763319865e-02
32,2.0286233425e+00,0.0000000000e+00,3.0720141842e-01,0.0000000000e+00,1.4968037605e-02,0.0000000000e+00,2.0286233425e+00,1.4968037605e-02
33,2.0284309387e+00,0.0000000000e+00,3.0716022602e-01,0.0000000000e+00,1.5178388916e-02,0.0000000000e+00,2.0284309387e+00,1.5178388916e-02
34,2.0282962322e+00,0.0000000000e+00,3.0713138391e-01,0.0000000000e+00,1.5391938388e-02,0.0000000000e+00,2.0282962322e+00,1.5391938388e-02
35,2.0282411575e+00,0.0000000000e+00,3.0711959127e-01,0.0000000000e+00,1.5606989153e-02,0.0000000000e+00,2.0282411575e+00,1.5606989153e-02
36,2.0282905102e+00,0.0000000000e+00,3.0713015871e-01,0.0000000000e+00,1.5822589397e-02,0.0000000000e+00,2.0282905102e+00,1.5822589397e-02
37,2.0284726620e+00,0.0000000000e+00,3.0716915903e-01,0.0000000000e+00,1.6038494185e-02,0.0000000000e+00,2.0284726620e+00,1.6038494185e-02
38,2.0288197994e+00,0.0000000000e+00,3.0724347454e-01,0.0000000000e+00,1.6254886985e-02,0.0000000000e+00,2.0288197994e+00,1.6254886985e-02
39,2.0293679237e+00,0.0000000000e+00,3.0736079162e-01,0.0000000000e+00,1.6472173855e-02,0.0000000000e+00,2.0293679237e+00,1.6472173855e-02
40,2.0301561356e+00,0.0000000000e+00,3.0752943998e-01,0.0000000000e+00,1.6690693796e-02,0.0000000000e+00,2.0301561356e+00,1.6690693796e-02
41,2.0312263966e+00,0.0000000000e+00,3.0775833172e-01,0.0000000000e+00,1.6910471022e-02,0.0000000000e+00,2.0312263966e+00,1.6910471022e-02
42,2.0326187611e+00,0.0000000000e+00,3.0805592980e-01,0.0000000000e+00,1.7130814493e-02,0.0000000000e+00,2.0326187611e+00,1.7130814493e-02
43,2.0343725681e+00,0.0000000000e+00,3.0843049110e-01,0.0000000000e+00,1.7350573093e-02,0.0000000000e+00,2.0343725681e+00,1.7350573093e-02
44,2.0365288258e+00,0.0000000000e+00,3.0889056163e-01,0.0000000000e+00,1.7568243667e-02,0.0000000000e+00,2.0365288258e+00,1.7568243667e-02
45,2.0391221046e+00,0.0000000000e+00,3.0944323254e-01,0.0000000000e+00,1.7782067880e-02,0.0000000000e+00,2.0391221046e+00,1.7782067880e-02
46,2.0421822071e+00,0.0000000000e+00,3.1009448800e-01,0.0000000000e+00,1.7990125343e-02,0.0000000000e+00,2.0421822071e+00,1.7990125343e-02
47,2.0457465649e+00,0.0000000000e+00,3.1085183060e-01,0.0000000000e+00,1.8190955743e-02,0.0000000000e+00,2.0457465649e+00,1.8190955743e-02
