step,loss_mean,loss_std,log10_loss_mean,log10_loss_std,replica_1,replica_2
1,1.0238582790e+00,4.5623093843e-02,9.8082521626e-03,1.9364972700e-02,9.7823518515e-01,1.0694813728e+00
2,1.0230710804e+00,4.5970410109e-02,9.4669360823e-03,1.9527624851e-02,9.7710067034e-01,1.0690414906e+00
3,1.0187311769e+00,4.6252667904e-02,7.6115161629e-03,1.9731503644e-02,9.7247850895e-01,1.0649838448e+00
4,1.0072862804e+00,4.6908646822e-02,2.6814795953e-03,2.0239442464e-02,9.6037763357e-01,1.0541949272e+00
5,9.7879517078e-01,4.7676086426e-02,-9.8239894691e-03,2.1170782426e-02,9.3111908436e-01,1.0264712572e+00
6,9.1622516513e-01,4.6667128801e-02,-3.8561857914e-02,2.2139568955e-02,8.6955803633e-01,9.6289229393e-01
7,8.1496721506e-01,3.6301910877e-02,-8.9291146813e-02,1.9358029380e-02,7.7866530418e-01,8.5126912594e-01
8,7.1895912290e-01,1.6484588385e-02,-1.4340998805e-01,9.9594267499e-03,7.0247453451e-01,7.3544371128e-01
9,6.5616425872e-01,1.7455905676e-02,-1.8314116254e-01,1.1556241554e-02,6.3870835304e-01,6.7362016439e-01
10,5.7394033670e-01,3.7052154541e-02,-2.4204014123e-01,2.8076014272e-02,5.3688818216e-01,6.1099249125e-01
11,5.1273927093e-01,3.5718053579e-02,-2.9115973144e-01,3.0302572183e-02,4.7702121735e-01,5.4845732450e-01
12,5.0207684934e-01,2.9991582036e-02,-3.0000603025e-01,2.5973522434e-02,4.7208526731e-01,5.3206843138e-01
13,4.9488736689e-01,3.0019268394e-02,-3.0629409676e-01,2.6376159428e-02,4.6486809850e-01,5.2490663528e-01
14,4.7365002334e-01,3.0969813466e-02,-3.2547278701e-01,2.8437105816e-02,4.4268020988e-01,5.0461983681e-01
15,4.4283230603e-01,3.0479475856e-02,-3.5479185254e-01,2.9939167787e-02,4.1235283017e-01,4.7331178188e-01
16,4.1062296927e-01,2.8489872813e-02,-3.8760460404e-01,3.0180742499e-02,3.8213309646e-01,4.3911284208e-01
17,3.8608939946e-01,2.5714263320e-02,-4.1427748771e-01,2.8967692831e-02,3.6037513614e-01,4.1180366278e-01
18,3.6970317364e-01,2.3827940226e-02,-4.3305072998e-01,2.8029804786e-02,3.4587523341e-01,3.9353111386e-01
19,3.5977090895e-01,2.2680953145e-02,-4.4483870404e-01,2.7415483817e-02,3.3708995581e-01,3.8245186210e-01
20,3.5677795112e-01,2.1475628018e-02,-4.4839019574e-01,2.6173241866e-02,3.3530232310e-01,3.7825357914e-01
21,3.5562677681e-01,2.1374329925e-02,-4.4979138983e-01,2.6134014974e-02,3.3425244689e-01,3.7700110674e-01
22,3.5073493421e-01,2.2634044290e-02,-4.5592718003e-01,2.8065411626e-02,3.2810088992e-01,3.7336897850e-01
23,3.4207956493e-01,2.3941561580e-02,-4.6693914779e-01,3.0445301115e-02,3.1813800335e-01,3.6602112651e-01
24,3.3263184130e-01,2.4065151811e-02,-4.7917575527e-01,3.1475203600e-02,3.0856668949e-01,3.5669699311e-01
25,3.2504424453e-01,2.2997051477e-02,-4.8914720934e-01,3.0777986512e-02,3.0204719305e-01,3.4804129601e-01
26,3.2025405765e-01,2.1563202143e-02,-4.9549204247e-01,2.9286030760e-02,2.9869085550e-01,3.4181725979e-01
27,3.1797292829e-01,2.0219147205e-02,-4.9848964392e-01,2.7653070923e-02,2.9775378108e-01,3.3819207549e-01
28,3.1719328463e-01,1.9356861711e-02,-4.9948620450e-01,2.6535988232e-02,2.9783642292e-01,3.3655014634e-01
29,3.1633384526e-01,1.9472971559e-02,-5.0067876536e-01,2.6768273345e-02,2.9686087370e-01,3.3580681682e-01
30,3.1425826252e-01,2.0332917571e-02,-5.0362423740e-01,2.8138726055e-02,2.9392534494e-01,3.3459118009e-01
