step,loss_mean,loss_std,log10_loss_mean,log10_loss_std,qy_mean,qy_std,loss_replica_1,loss_replica_2,loss_replica_3,loss_replica_4,loss_replica_5,qy_replica_1,qy_replica_2,qy_replica_3,qy_replica_4,qy_replica_5
1,1.9924712896e+00,5.6637860617e-03,2.9939031795e-01,1.2343131229e-03,1.3300813589e-04,7.4478781959e-04,1.9926412106e+00,1.9852451086e+00,1.9963252544e+00,1.9874329567e+00,2.0007119179e+00,5.9285077441e-05,1.1688347440e-03,-4.0205998812e-04,-8.9220382506e-04,7.3118467117e-04
2,1.9924793959e+00,5.6638141983e-03,2.9939208484e-01,1.2343143721e-03,1.3316965706e-04,7.4481438806e-04,1.9926493168e+00,1.9852528572e+00,1.9963337183e+00,1.9874413013e+00,2.0007197857e+00,5.9425507061e-05,1.1690879473e-03,-4.0195445763e-04,-8.9203071548e-04,7.3132000398e-04
3,1.9924809933e+00,5.6636698680e-03,2.9939243312e-01,1.2342820673e-03,1.3421816984e-04,7.4486626370e-04,1.9926512241e+00,1.9852544069e+00,1.9963352680e+00,1.9874430895e+00,2.0007209778e+00,6.0440157540e-05,1.1703080963e-03,-4.0101492777e-04,-8.9096481679e-04,7.3232233990e-04
4,1.9924509525e+00,5.6633346320e-03,2.9938588534e-01,1.2342278216e-03,1.3742656447e-04,7.4494407823e-04,1.9926215410e+00,1.9852242470e+00,1.9963049889e+00,1.9874137640e+00,2.0006902218e+00,6.3618907006e-05,1.1737484019e-03,-3.9796062629e-04,-8.8775251061e-04,7.3547865031e-04
5,1.9923530102e+00,5.6627739967e-03,2.9936453650e-01,1.2341665780e-03,1.4462378749e-04,7.4504671708e-04,1.9925243855e+00,1.9851262569e+00,1.9962062836e+00,1.9873168468e+00,2.0005912781e+00,7.0812224294e-05,1.1812091107e-03,-3.9095501415e-04,-8.8058423717e-04,7.4263685383e-04
6,1.9921396732e+00,5.6615894643e-03,2.9931803103e-01,1.2340408476e-03,1.5820288390e-04,7.4517384045e-04,1.9923118353e+00,1.9849137068e+00,1.9959918261e+00,1.9871050119e+00,2.0003759861e+00,8.4442595835e-05,1.1950461194e-03,-3.7759289262e-04,-8.6709688185e-04,7.5621547876e-04
7,1.9917527914e+00,5.6596698713e-03,2.9923368155e-01,1.2338624015e-03,1.8113263068e-04,7.4532344192e-04,1.9919265509e+00,1.9845284224e+00,1.9956024885e+00,1.9867202044e+00,1.9999862909e+00,1.0751542868e-04,1.2181818020e-03,-3.5488946014e-04,-8.4435596364e-04,7.7921134653e-04
8,1.9911225796e+00,5.6565542133e-03,2.9909624522e-01,1.2335737910e-03,2.1697240300e-04,7.4549518984e-04,1.9912984371e+00,1.9839012623e+00,1.9949681759e+00,1.9860931635e+00,1.9993518591e+00,1.4363543596e-04,1.2541190954e-03,-3.1926968950e-04,-8.0884626368e-04,8.1522343680e-04
9,1.9901679993e+00,5.6521784337e-03,2.9888798767e-01,1.2332110630e-03,2.6989191538e-04,7.4568756296e-04,1.9903465509e+00,1.9829512835e+00,1.9940078259e+00,1.9851428270e+00,1.9983915091e+00,1.9702265854e-04,1.3069636188e-03,-2.6654187241e-04,-7.5644790195e-04,8.6846307386e-04
10,1.9887963533e+00,5.6459664774e-03,2.9858856532e-01,1.2327054838e-03,3.4469248785e-04,7.4589893680e-04,1.9889783859e+00,1.9815866947e+00,1.9926276207e+00,1.9837769270e+00,1.9970121384e+00,2.7253921144e-04,1.3814418344e-03,-1.9188328588e-04,-6.8241561530e-04,9.4378029462e-04
