step,loss_mean,loss_std,log10_loss_mean,log10_loss_std,qy_mean,qy_std,loss_replica_1,loss_replica_2,loss_replica_3,qy_replica_1,qy_replica_2,qy_replica_3
1,3.9844964345e+05,9.2640650926e+02,5.6003722681e+00,1.0101533423e-03,2.7535327778e-04,6.5926305588e-04,3.9867033958e+05,3.9722089767e+05,3.9945769310e+05,5.9285077441e-05,1.1688347440e-03,-4.0205998812e-04
2,3.9845124880e+05,9.2641515696e+02,5.6003740178e+00,1.0101586872e-03,2.7551955888e-04,6.5932599993e-04,3.9867193699e+05,3.9722249508e+05,3.9945931435e+05,5.9425623476e-05,1.1690878309e-03,-4.0195477777e-04
3,3.9845156670e+05,9.2644191923e+02,5.6003743642e+00,1.0101871705e-03,2.7657708536e-04,6.5944428809e-04,3.9867231846e+05,3.9722275734e+05,3.9945962429e+05,6.0439688241e-05,1.1703070486e-03,-4.0101548075e-04
4,3.9844557444e+05,9.2645138925e+02,5.6003678328e+00,1.0102128294e-03,2.7979927593e-04,6.5960516794e-04,3.9866640568e+05,3.9721672535e+05,3.9945359230e+05,6.3616018451e-05,1.1737452587e-03,-3.9796344936e-04
5,3.9842597644e+05,9.2641763052e+02,5.6003464710e+00,1.0102259272e-03,2.8701428285e-04,6.5979035752e-04,3.9864692688e+05,3.9719712734e+05,3.9943387508e+05,7.0803769631e-05,1.1812014272e-03,-3.9096234832e-04
6,3.9838338693e+05,9.2625905317e+02,5.6003000450e+00,1.0101613566e-03,3.0061527650e-04,6.5997515450e-04,3.9860453606e+05,3.9715466499e+05,3.9939095974e+05,8.4424646047e-05,1.1950292392e-03,-3.7760805571e-04
7,3.9830603600e+05,9.2599108628e+02,5.6002157136e+00,1.0100657165e-03,3.2357033100e-04,6.6012998343e-04,3.9852743149e+05,3.9707756042e+05,3.9931311607e+05,1.0748142813e-04,1.2181493221e-03,-3.5491975723e-04
8,3.9818007946e+05,9.2546789972e+02,5.6000783552e+00,1.0098150718e-03,3.5943868958e-04,6.6021904814e-04,3.9840183258e+05,3.9695212841e+05,3.9918627739e+05,1.4357542386e-04,1.2540634489e-03,-3.1932280399e-04
9,3.9798928897e+05,9.2468481595e+02,5.5998702113e+00,1.0094453194e-03,4.1238999014e-04,6.6019978274e-04,3.9821155071e+05,3.9676213264e+05,3.9899418354e+05,1.9692567002e-04,1.3068730477e-03,-2.6662874734e-04
10,3.9771519502e+05,9.2349151167e+02,5.5995710124e+00,1.0088386636e-03,4.8722383993e-04,6.6002484310e-04,3.9793806076e+05,3.9648931026e+05,3.9871821404e+05,2.7238781331e-04,1.3813014375e-03,-1.9201773102e-04
11,3.9733695984e+05,9.2182982843e+02,5.5991577951e+00,1.0079836387e-03,5.8939737452e-04,6.5963929670e-04,3.9756059647e+05,3.9611287117e+05,3.9833741188e+05,3.7548469845e-04,1.4827168779e-03,-9.0009452833e-05
