step,loss_mean,loss_std,log10_loss_mean,log10_loss_std,clean_loss_mean,clean_loss_std,log10_clean_loss_mean,log10_clean_loss_std,cosine_similarity_mean,cosine_similarity_std,loss_replica_1,clean_loss_replica_1,cosine_similarity_replica_1
1,3.9867033958e+05,0.0000000000e+00,5.6006139261e+00,0.0000000000e+00,3.9852824211e+05,0.0000000000e+00,5.6004591035e+00,0.0000000000e+00,5.9325102484e-05,0.0000000000e+00,3.9867033958e+05,3.9852824211e+05,5.9325102484e-05
2,3.9867193699e+05,0.0000000000e+00,5.6006156662e+00,0.0000000000e+00,3.9852986336e+05,0.0000000000e+00,5.6004608703e+00,0.0000000000e+00,5.9463756770e-05,0.0000000000e+00,3.9867193699e+05,3.9852986336e+05,5.9463756770e-05
3,3.9867231846e+05,0.0000000000e+00,5.6006160818e+00,0.0000000000e+00,3.9853024483e+05,0.0000000000e+00,5.6004612860e+00,0.0000000000e+00,6.0478989326e-05,0.0000000000e+00,3.9867231846e+05,3.9853024483e+05,6.0478989326e-05
4,3.9866642952e+05,0.0000000000e+00,5.6006096666e+00,0.0000000000e+00,3.9852437973e+05,0.0000000000e+00,5.6004548945e+00,0.0000000000e+00,6.3657571445e-05,0.0000000000e+00,3.9866642952e+05,3.9852437973e+05,6.3657571445e-05
5,3.9864699841e+05,0.0000000000e+00,5.6005884984e+00,0.0000000000e+00,3.9850494862e+05,0.0000000000e+00,5.6004337188e+00,0.0000000000e+00,7.0849506301e-05,0.0000000000e+00,3.9864699841e+05,3.9850494862e+05,7.0849506301e-05
6,3.9860453606e+05,0.0000000000e+00,5.6005422366e+00,0.0000000000e+00,3.9846251011e+05,0.0000000000e+00,5.6003874665e+00,0.0000000000e+00,8.4481762315e-05,0.0000000000e+00,3.9860453606e+05,3.9846251011e+05,8.4481762315e-05
7,3.9852750301e+05,0.0000000000e+00,5.6004582981e+00,0.0000000000e+00,3.9838542938e+05,0.0000000000e+00,5.6003034461e+00,0.0000000000e+00,1.0755426774e-04,0.0000000000e+00,3.9852750301e+05,3.9838542938e+05,1.0755426774e-04
8,3.9840188026e+05,0.0000000000e+00,5.6003213794e+00,0.0000000000e+00,3.9825990200e+05,0.0000000000e+00,5.6001665825e+00,0.0000000000e+00,1.4367741824e-04,0.0000000000e+00,3.9840188026e+05,3.9825990200e+05,1.4367741824e-04
9,3.9821155071e+05,0.0000000000e+00,5.6001138532e+00,0.0000000000e+00,3.9806962013e+05,0.0000000000e+00,5.5999590344e+00,0.0000000000e+00,1.9707329920e-04,0.0000000000e+00,3.9821155071e+05,3.9806962013e+05,1.9707329920e-04
10,3.9793808460e+05,0.0000000000e+00,5.5998155052e+00,0.0000000000e+00,3.9779622555e+05,0.0000000000e+00,5.5996606580e+00,0.0000000000e+00,2.7260932256e-04,0.0000000000e+00,3.9793808460e+05,3.9779622555e+05,2.7260932256e-04
11,3.9756062031e+05,0.0000000000e+00,5.5994033596e+00,0.0000000000e+00,3.9741890430e+05,0.0000000000e+00,5.5992485217e+00,0.0000000000e+00,3.7582693039e-04,0.0000000000e+00,3.9756062031e+05,3.9741890430e+05,3.7582693039e-04
12,3.9705612659e+05,0.0000000000e+00,5.5988519016e+00,0.0000000000e+00,3.9691455364e+05,0.0000000000e+00,5.5986970234e+00,0.0000000000e+00,5.1295856247e-04,0.0000000000e+00,3.9705612659e+05,3.9691455364e+05,5.1295856247e-04
13,3.9639897346e+05,0.0000000000e+00,5.5981325211e+00,0.0000000000e+00,3.9625761509e+05,0.0000000000e+00,5.5979776214e+00,0.0000000000e+00,6.9099752000e-04,0.0000000000e+00,3.9639897346e+05,3.9625761509e+05,6.9099752000e-04
14,3.9556138515e+05,0.0000000000e+00,5.5972138890e+00,0.0000000000e+00,3.9542031288e+05,0.0000000000e+00,5.5970589754e+00,0.0000000000e+00,9.1771397274e-04,0.0000000000e+00,3.9556138515e+05,3.9542031288e+05,9.1771397274e-04
15,3.9451305866e+05,0.0000000000e+00,5.5960613832e+00,0.0000000000e+00,3.9437236786e+05,0.0000000000e+00,5.5959064780e+00,0.0000000000e+00,1.2017263798e-03,0.0000000000e+00,3.9451305866e+05,3.9437236786e+05,1.2017263798e-03
16,3.9322128296e+05,0.0000000000e+00,5.5946370158e+00,0.0000000000e+00,3.9308106899e+05,0.0000000000e+00,5.5944821285e+00,0.0000000000e+00,1.5525633935e-03,0.0000000000e+00,3.9322128296e+05,3.9308106899e+05,1.5525633935e-03
17,3.9165096283e+05,0.0000000000e+00,5.5928991985e+00,0.0000000000e+00,3.9151132107e+05,0.0000000000e+00,5.5927443248e+00,0.0000000000e+00,1.9807221834e-03,0.0000000000e+00,3.9165096283e+05,3.9151132107e+05,1.9807221834e-03
