alpha,Q_Y_mean_sigmaInitinf,Q_Y_std_sigmaInitinf,Q_Y_mean_sigmaInit1.0,Q_Y_std_sigmaInit1.0,Q_Y_mean_sigmaInit0.5,Q_Y_std_sigmaInit0.5,Q_Y_mean_sigmaInit0.1,Q_Y_std_sigmaInit0.1,Q_Y_mean_sigmaInit0.0,Q_Y_std_sigmaInit0.0
0.5,0.0006398550467565656,0.00020537168939378501,0.12184711992740631,0.0011091088772057353,0.14927959740161895,0.0006965424013269639,0.1472379297018051,0.0010789958502881204,0.15048059225082397,0.000804019759340008
1.0,0.0008574890438467264,0.0003788300321303142,0.18161637783050538,0.0015852178455497488,0.1928278237581253,0.0015322328546218244,0.1909642845392227,0.001521732221706572,0.1922851026058197,0.0016015964721255024
1.5,0.0052420847117900845,0.0013959643612879032,0.34175834655761717,0.0021364969287491855,0.3444854259490967,0.00387828555679786,0.3431145429611206,0.003447089533253674,0.34449705481529236,0.004805891982070845
2.0,0.05338191539049149,0.017379643460728,0.6271318197250366,0.0036747065821162443,0.6274321436882019,0.0035059803898033924,0.6274307250976563,0.003311083274947463,0.6333242535591126,0.00997725408678252
2.5,0.7873182654380798,0.0028275609455425147,0.7872606992721558,0.002863737241195281,0.7874073386192322,0.002839947077735112,0.7875152945518493,0.0028349446285472956,0.7874839067459106,0.002824361930378987
3.0,0.8519869685173035,0.0033609381311833363,0.8517951726913452,0.003377962258196926,0.8519546151161194,0.0033656155255575903,0.852051055431366,0.003369233098410544,0.8520148873329163,0.0033658999085232496
3.5,0.8862462997436523,0.003681201822736682,0.8860328674316407,0.0036773330044190893,0.8861937403678894,0.0036788304888282376,0.8862723469734192,0.0036816172509880067,0.8862368941307068,0.0036775039264379744
4.0,0.9076130270957947,0.0033074623154914504,0.9074008345603943,0.0033044053522365176,0.9075578570365905,0.0033008834854338456,1.000835907459259,0.11503397624303052,0.9076001882553101,0.00330259159727701
4.5,0.9222646236419678,0.003541104745865574,0.9220548391342163,0.003540735820400607,0.9222095012664795,0.003537250362675973,0.9222675561904907,0.0035394648140085775,0.9222320914268494,0.003543358078834822
5.0,0.9328436970710754,0.003685562982158069,0.9326262593269348,0.0036891485012244137,0.9327749490737915,0.0036863619104006333,0.9328249335289002,0.0036887784635462146,0.9327884674072265,0.0036899109630348444
