alpha,Q_Y_mean_sigmaInitinf,Q_Y_std_sigmaInitinf,Q_Y_mean_sigmaInit1.0,Q_Y_std_sigmaInit1.0,Q_Y_mean_sigmaInit0.5,Q_Y_std_sigmaInit0.5,Q_Y_mean_sigmaInit0.1,Q_Y_std_sigmaInit0.1,Q_Y_mean_sigmaInit0.0,Q_Y_std_sigmaInit0.0
0.5,0.0003975634055677801,8.74088017341517e-05,0.12186389565467834,0.0022836340389763153,0.14906084835529326,0.0011188873388922789,0.14458842277526857,0.0006446038689270285,0.1527127742767334,0.0011329192986006987
1.0,0.0009529529488645494,0.00026974557533862673,0.18451546132564545,0.002719481653621991,0.19493086338043214,0.0018963166208630356,0.1910928726196289,0.0026621279431466084,0.1957322120666504,0.0017174744071566134
1.5,0.005292772222310305,0.0013249098705790734,0.34952875375747683,0.003097233768881616,0.35350075364112854,0.0022538160480807387,0.3511279344558716,0.002236429649748232,0.3533637702465057,0.001973742013394262
2.0,0.060981258377432825,0.019861390462319044,0.6426569700241089,0.0023081579880024176,0.6428190469741821,0.0024248867880342856,0.642606234550476,0.002230983277408371,0.6427900195121765,0.002322267574968746
2.5,0.7952400922775269,0.0029027219227415915,0.7952261090278625,0.002931389534659776,0.8910001277923584,0.19202716413110968,0.7954734206199646,0.0029127116043982065,0.7954493165016174,0.002894367840331399
3.0,0.8575979590415954,0.003280382040866874,0.8574304819107056,0.0032992577937599942,0.8575933575630188,0.0032905561948800245,0.8576654672622681,0.003299540957993531,0.8576409220695496,0.0032911601245878695
3.5,0.8906601905822754,0.003638833649713092,0.8904538750648499,0.0036340935839886744,0.8906174063682556,0.0036375955641407384,0.89066082239151,0.003649280882869243,0.8906494617462158,0.003641809945370616
4.0,0.9112965822219848,0.003296468618797261,0.9110895872116089,0.0032975650743405915,0.9112490296363831,0.003293441808314123,0.9112622618675232,0.003296108237835571,0.9112732410430908,0.003294125489077138
4.5,0.9253489732742309,0.003499501901472456,0.9251420974731446,0.0034966963058311465,0.9252988219261169,0.003492350283943431,0.9252681255340576,0.00348854269382182,0.9253087043762207,0.0034956137977984005
5.0,0.9356061935424804,0.0036794655745306048,0.9353859424591064,0.003682417194359443,0.9355365037918091,0.0036798999597227756,0.9354639887809754,0.0036930638233248457,0.9355440139770508,0.003680876537263758
