============================================================
 Alpha |        CosSim        |      Loss/edge       |    Steps
------------------------------------------------------------
  0.00 |   0.0009 ± 0.0011   | 4.92e-06 ± 3.13e-07 |      801
  0.20 |   0.0205 ± 0.0010   | 4.79e-06 ± 2.48e-06 |     1281
  0.40 |   0.0419 ± 0.0007   | 6.94e-06 ± 2.70e-07 |     1801
  0.60 |   0.0651 ± 0.0010   | 8.05e-06 ± 3.90e-07 |     2601
  0.80 |   0.0928 ± 0.0016   | 8.25e-06 ± 1.02e-06 |     3971
  1.00 |   0.1279 ± 0.0018   | 9.00e-06 ± 4.72e-07 |     6611
  1.20 |   0.1769 ± 0.0029   | 1.38e-04 ± 9.02e-06 |    10000
  1.40 |   0.2434 ± 0.0030   | 1.69e-02 ± 8.36e-04 |    10000
  1.60 |   0.3235 ± 0.0031   | 1.64e-01 ± 3.28e-03 |    10000
  1.80 |   0.4146 ± 0.0022   | 5.22e-01 ± 6.70e-03 |    10000
  2.00 |   0.5203 ± 0.0024   | 9.86e-01 ± 1.43e-02 |    10000
  2.20 |   0.6510 ± 0.0041   | 1.32e+00 ± 2.13e-02 |    10000
  2.40 |   0.8424 ± 0.0087   | 1.03e+00 ± 6.06e-02 |    10000
  2.60 |   0.9986 ± 0.0004   | 1.13e-02 ± 3.42e-03 |    10000
  2.80 |   1.0000 ± 0.0000   | 2.92e-05 ± 1.75e-06 |    10000
  3.00 |   1.0000 ± 0.0000   | 9.46e-06 ± 2.67e-07 |     8371
  3.20 |   1.0000 ± 0.0000   | 9.10e-06 ± 3.85e-07 |     6751
  3.40 |   1.0000 ± 0.0000   | 9.17e-06 ± 4.45e-07 |     5641
  3.60 |   1.0000 ± 0.0000   | 8.55e-06 ± 4.71e-07 |     4891
  3.80 |   1.0000 ± 0.0000   | 8.45e-06 ± 3.35e-07 |     4321
  4.00 |   1.0000 ± 0.0000   | 9.05e-06 ± 7.15e-07 |     3821
  4.20 |   1.0000 ± 0.0000   | 8.30e-06 ± 6.83e-07 |     3511
  4.40 |   1.0000 ± 0.0000   | 8.18e-06 ± 8.93e-07 |     3181
  4.60 |   1.0000 ± 0.0000   | 8.66e-06 ± 5.19e-07 |     2901
  4.80 |   1.0000 ± 0.0000   | 8.14e-06 ± 4.53e-07 |     2721
  5.00 |   1.0000 ± 0.0000   | 8.46e-06 ± 9.18e-07 |     2511
