step,loss_mean,loss_std,log10_loss_mean,log10_loss_std,mse_mean,mse_std,cosine_similarity_mean,cosine_similarity_std,loss_replica_1,loss_replica_2,loss_replica_3,mse_replica_1,mse_replica_2,mse_replica_3,cosine_similarity_replica_1,cosine_similarity_replica_2,cosine_similarity_replica_3
0,4.1343815104e+03,2.6891284979e+02,3.6154650857e+00,2.8859938595e-02,2.0671908061e+00,1.3445639310e-01,2.3083861452e-03,9.6648425956e-03,4.2589545898e+03,4.3832739258e+03,3.7609160156e+03,2.1294772625e+00,2.1916370392e+00,1.8804581165e+00,1.3296515681e-02,3.8541743997e-03,-1.0225531645e-02
1,3.3556801351e+02,3.4397927151e+01,2.5235444206e+00,4.3844375309e-02,1.6778401534e-01,1.7198967289e-02,7.5276902256e-03,9.5034547057e-03,3.2581854248e+02,2.9916882324e+02,3.8171667480e+02,1.6290928423e-01,1.4958441257e-01,1.9085834920e-01,1.8683509901e-02,8.4408698604e-03,-4.5413090847e-03
2,5.5039824168e+01,9.7486206868e+00,1.7335309196e+00,7.9719547076e-02,2.7519912149e-02,4.8743105135e-03,8.5320920528e-03,9.2770660111e-03,5.6351783752e+01,4.2498455048e+01,6.6269233704e+01,2.8175892308e-02,2.1249227226e-02,3.3134616911e-02,1.9709147513e-02,8.8934386149e-03,-3.0063099694e-03
3,1.2324837367e+01,2.8379358466e+00,1.0778404448e+00,1.0902024677e-01,6.1624186734e-03,1.4189677532e-03,8.9241302727e-03,9.2049917015e-03,1.3337941170e+01,8.4550971985e+00,1.5181473732e+01,6.6689704545e-03,4.2275488377e-03,7.5907367282e-03,2.0182587206e-02,8.9546870440e-03,-2.3648834322e-03
4,3.2864576976e+00,9.1886336314e-01,4.9696661809e-01,1.3582772396e-01,1.6432288103e-03,4.5943160895e-04,9.0886799929e-03,9.1834532414e-03,3.6009120941e+00,2.0373039246e+00,4.2211570740e+00,1.8004560843e-03,1.0186519939e-03,2.1105783526e-03,2.0398890600e-02,8.9619625360e-03,-2.0948131569e-03
5,9.7786629200e-01,3.2113470310e-01,-3.7395708420e-02,1.6137415350e-01,4.8893314670e-04,1.6056735843e-04,9.1651063412e-03,9.1750024205e-03,1.0547783375e+00,5.5178332329e-01,1.3270372152e+00,5.2738917293e-04,2.7589165256e-04,6.6351861460e-04,2.0505022258e-02,8.9564425871e-03,-1.9661458209e-03
6,3.1888301671e-01,1.2238805083e-01,-5.3432370472e-01,1.8932585713e-01,1.5944151285e-04,6.1194025411e-05,9.2022416259e-03,9.1713629248e-03,3.3296972513e-01,1.6244278848e-01,4.6123653650e-01,1.6648486780e-04,8.1221398432e-05,2.3061827233e-04,2.0558916032e-02,8.9497966692e-03,-1.9019878237e-03
7,1.1324357117e-01,5.1062465893e-02,-9.9809798255e-01,2.2181327058e-01,5.6621785310e-05,2.5531231246e-05,9.2212881039e-03,9.1688423787e-03,1.1225113273e-01,5.1207203418e-02,1.7627237737e-01,5.6125569245e-05,2.5603601898e-05,8.8136184786e-05,2.0586729050e-02,8.9442655444e-03,-1.8671302823e-03
8,4.3525705114e-02,2.3181912733e-02,-1.4328524310e+00,2.5927478257e-01,2.1762852460e-05,1.1590955496e-05,9.2313837570e-03,9.1671439667e-03,3.9850756526e-02,1.7150191590e-02,7.3576167226e-02,1.9925379092e-05,8.5750962171e-06,3.6788082070e-05,2.0601533353e-02,8.9402468875e-03,-1.8476289697e-03
9,1.7973937094e-02,1.1299488397e-02,-1.8430027449e+00,3.0105950835e-01,8.9869682445e-06,5.6497439271e-06,9.2369259025e-03,9.1658498046e-03,1.4689610340e-02,6.0725575313e-03,3.3159643412e-02,7.3448049989e-06,3.0362787129e-06,1.6579821022e-05,2.0609488711e-02,8.9374631643e-03,-1.8361741677e-03
