alpha,replica,seed,runtime_sec,final_loss,steps_taken,cosine_similarity
0.0,1,100,1.1210,5.3023085055e-12,101,9.7562035080e-04
0.0,2,101,0.2938,5.3458175386e-12,101,2.1831309423e-03
0.0,3,102,0.2563,5.2801899138e-12,101,-1.4004944824e-03
0.0,4,103,0.2772,5.7247557389e-12,101,6.7221140489e-04
0.0,5,104,0.2674,5.3610124152e-12,101,7.5098528760e-04
0.0,6,105,0.2613,5.0838395993e-12,101,1.4920088870e-04
0.0,7,106,0.2675,5.2744505812e-12,101,2.9393243603e-03
0.0,8,107,0.2708,4.8410420637e-12,101,1.3372629182e-03
0.0,9,108,0.2722,5.2572017920e-12,101,6.6765316296e-04
0.0,10,109,0.2759,4.9717049054e-12,101,6.2948663253e-04
0.2,1,100,3.6155,1.0122207641e-05,1351,2.0745465532e-02
0.2,2,101,3.6865,1.1078601347e-05,1351,2.1285248920e-02
0.2,3,102,3.7291,1.0153518815e-05,1351,1.8300643191e-02
0.2,4,103,3.7247,9.9892022263e-06,1351,2.0816640928e-02
0.2,5,104,3.6899,1.0571064195e-05,1351,2.0298998803e-02
0.2,6,105,3.7185,1.1696683032e-05,1351,2.1229296923e-02
0.2,7,106,3.6311,1.1296214325e-05,1351,2.1857600659e-02
0.2,8,107,3.6460,9.3567277872e-06,1351,2.0837575197e-02
0.2,9,108,3.6419,9.4369088401e-06,1351,1.9257696345e-02
0.2,10,109,3.6787,1.0607984223e-05,1351,2.0314589143e-02
0.4,1,100,9.6940,5.3350384405e-05,3451,4.2124375701e-02
0.4,2,101,9.5067,5.0835209549e-05,3451,4.2489495128e-02
0.4,3,102,9.4951,5.1380629884e-05,3451,4.0150895715e-02
0.4,4,103,9.6500,4.5895427320e-05,3501,4.1502017528e-02
0.4,5,104,9.5261,4.8524947488e-05,3451,4.1697479784e-02
0.4,6,105,9.5106,5.1172490203e-05,3451,4.2951237410e-02
0.4,7,106,9.4976,5.1091112255e-05,3451,4.2052824050e-02
0.4,8,107,9.5160,5.1173363318e-05,3451,4.2573392391e-02
0.4,9,108,9.5406,5.1373834140e-05,3451,4.1546598077e-02
0.4,10,109,9.5217,4.7669065680e-05,3451,4.1847594082e-02
0.6000000000000001,1,100,16.8801,5.4651882965e-04,6000,6.5552622080e-02
0.6000000000000001,2,101,16.7933,5.3772417596e-04,6000,6.6385641694e-02
0.6000000000000001,3,102,16.8181,4.9982476048e-04,6000,6.2752217054e-02
0.6000000000000001,4,103,16.8656,5.1134289242e-04,6000,6.4685411751e-02
0.6000000000000001,5,104,16.8113,4.8569802311e-04,6000,6.4787440002e-02
0.6000000000000001,6,105,16.8742,5.0362019101e-04,6000,6.5939545631e-02
0.6000000000000001,7,106,16.7999,5.0008168910e-04,6000,6.4371287823e-02
0.6000000000000001,8,107,16.8998,5.2741065156e-04,6000,6.6479586065e-02
0.6000000000000001,9,108,16.8882,5.0788599765e-04,6000,6.4834773540e-02
0.6000000000000001,10,109,16.8282,5.0621305127e-04,6000,6.4838238060e-02
0.8,1,100,17.1115,4.8257540911e-02,6000,9.3406513333e-02
0.8,2,101,17.1908,4.9175921828e-02,6000,9.1186329722e-02
0.8,3,102,17.1645,4.9518313259e-02,6000,8.8279470801e-02
0.8,4,103,17.1360,4.9061294645e-02,6000,9.1489419341e-02
0.8,5,104,17.1163,4.6729642898e-02,6000,9.1589413583e-02
0.8,6,105,17.1826,4.7187712044e-02,6000,9.1227903962e-02
0.8,7,106,17.1196,4.9958173186e-02,6000,9.0946257114e-02
0.8,8,107,17.1330,4.8650022596e-02,6000,9.4469763339e-02
0.8,9,108,17.1942,4.7732628882e-02,6000,9.1918364167e-02
0.8,10,109,17.1740,4.9991473556e-02,6000,9.1126985848e-02
1.0,1,100,17.4418,4.5189294219e-01,6000,1.2312331051e-01
1.0,2,101,17.3411,4.5419850945e-01,6000,1.2071525306e-01
1.0,3,102,17.2717,4.5154705644e-01,6000,1.1868356168e-01
1.0,4,103,17.4083,4.5148751140e-01,6000,1.1925294250e-01
1.0,5,104,17.3976,4.4089573622e-01,6000,1.2168342620e-01
1.0,6,105,17.4100,4.4620227814e-01,6000,1.1933398247e-01
1.0,7,106,17.4179,4.4928374887e-01,6000,1.2021091580e-01
1.0,8,107,17.4058,4.3159243464e-01,6000,1.2359156460e-01
1.0,9,108,17.4527,4.3713891506e-01,6000,1.2245408446e-01
1.0,10,109,17.4181,4.7154834867e-01,6000,1.2060060352e-01
1.2000000000000002,1,100,17.7155,1.5445617437e+00,6000,1.5749986470e-01
1.2000000000000002,2,101,17.6388,1.5438010693e+00,6000,1.5246790648e-01
1.2000000000000002,3,102,17.5653,1.5167392492e+00,6000,1.5119266510e-01
1.2000000000000002,4,103,17.6094,1.5454236269e+00,6000,1.5131795406e-01
1.2000000000000002,5,104,17.7422,1.5108220577e+00,6000,1.5447114408e-01
1.2000000000000002,6,105,17.6310,1.5345273018e+00,6000,1.5225693583e-01
1.2000000000000002,7,106,17.7170,1.5084021091e+00,6000,1.5157194436e-01
1.2000000000000002,8,107,17.7632,1.5055667162e+00,6000,1.5863230824e-01
1.2000000000000002,9,108,17.5481,1.5109027624e+00,6000,1.5350848436e-01
1.2000000000000002,10,109,17.6156,1.5592042208e+00,6000,1.5298593044e-01
