alpha,replica,seed,runtime_sec,final_loss,steps_taken,cosine_similarity
0.0,1,100,0.3991,3.1361857555e-12,101,9.7728660330e-04
0.0,2,101,0.3534,2.7858923935e-12,101,2.1838168614e-03
0.0,3,102,0.3551,2.8056547970e-12,101,-1.4017503709e-03
0.0,4,103,0.3391,3.0523021177e-12,101,6.7138444865e-04
0.0,5,104,0.3370,3.0996056416e-12,101,7.5051782187e-04
0.0,6,105,0.3486,3.0806340551e-12,101,1.5010383504e-04
0.0,7,106,0.3170,3.0167363833e-12,101,2.9396023601e-03
0.0,8,107,0.3382,2.7902660651e-12,101,1.3332273811e-03
0.0,9,108,0.3345,2.8606240640e-12,101,6.6768517718e-04
0.0,10,109,0.3445,3.1125386556e-12,101,6.3183734892e-04
0.2,1,100,3.9623,6.7820378717e-06,1201,2.0740306005e-02
0.2,2,101,3.8225,7.3208161666e-06,1201,2.1279141307e-02
0.2,3,102,3.9273,6.8459139584e-06,1201,1.8290665001e-02
0.2,4,103,3.6673,1.1978238945e-05,1151,2.0811140537e-02
0.2,5,104,3.8376,7.0147179940e-06,1201,2.0299097523e-02
0.2,6,105,3.8446,7.6342257671e-06,1201,2.1227467805e-02
0.2,7,106,3.8310,7.3845653787e-06,1201,2.1857053041e-02
0.2,8,107,3.6963,1.1092815839e-05,1151,2.0835716277e-02
0.2,9,108,3.6820,1.1270422874e-05,1151,1.9267395139e-02
0.2,10,109,3.8539,7.1605941230e-06,1201,2.0318670198e-02
0.4,1,100,9.9419,3.9973027015e-05,3051,4.2130634189e-02
0.4,2,101,9.9261,3.8164216676e-05,3051,4.2472314090e-02
0.4,3,102,9.9848,3.8519348891e-05,3051,4.0156729519e-02
0.4,4,103,9.7773,4.0841277951e-05,3051,4.1477434337e-02
0.4,5,104,9.7581,4.4587439334e-05,3001,4.1709389538e-02
0.4,6,105,9.8560,3.8139420212e-05,3051,4.2967367917e-02
0.4,7,106,9.8826,3.8436486648e-05,3051,4.2027592659e-02
0.4,8,107,9.9337,3.8673912059e-05,3051,4.2576093227e-02
0.4,9,108,9.9161,3.8603400753e-05,3051,4.1541341692e-02
0.4,10,109,9.7299,4.3657579226e-05,3001,4.1874077171e-02
0.6000000000000001,1,100,19.7090,1.2820494885e-04,6000,6.5608255565e-02
0.6000000000000001,2,101,19.7730,1.2594647706e-04,6000,6.6427901387e-02
0.6000000000000001,3,102,19.7499,1.1506102601e-04,6000,6.2772892416e-02
0.6000000000000001,4,103,19.8214,1.1976365931e-04,6000,6.4759485424e-02
0.6000000000000001,5,104,19.6949,1.1317958706e-04,6000,6.4849510789e-02
0.6000000000000001,6,105,19.7823,1.1800125503e-04,6000,6.5958902240e-02
0.6000000000000001,7,106,19.7688,1.1511414777e-04,6000,6.4378105104e-02
0.6000000000000001,8,107,19.6794,1.2354071077e-04,6000,6.6506274045e-02
0.6000000000000001,9,108,19.8736,1.1855637422e-04,6000,6.4864933491e-02
0.6000000000000001,10,109,19.7155,1.1691270629e-04,6000,6.4826764166e-02
0.8,1,100,19.9257,2.2545991465e-02,6000,9.3713618815e-02
0.8,2,101,20.0143,2.3030789569e-02,6000,9.1554209590e-02
0.8,3,102,19.9332,2.3175129667e-02,6000,8.8705375791e-02
0.8,4,103,20.0439,2.2950753570e-02,6000,9.1917254031e-02
0.8,5,104,20.0287,2.1818954498e-02,6000,9.1936394572e-02
0.8,6,105,20.0599,2.2048827261e-02,6000,9.1617815197e-02
0.8,7,106,20.0008,2.3368662223e-02,6000,9.1265469790e-02
0.8,8,107,20.1505,2.2770928219e-02,6000,9.4975255430e-02
0.8,9,108,20.0418,2.2342028096e-02,6000,9.2273503542e-02
0.8,10,109,20.0078,2.3397702724e-02,6000,9.1575108469e-02
1.0,1,100,20.2534,2.8914380074e-01,6000,1.2455917895e-01
1.0,2,101,20.3928,2.9260152578e-01,6000,1.2197303772e-01
1.0,3,102,20.3384,2.8900471330e-01,6000,1.2001170963e-01
1.0,4,103,20.3512,2.9074397683e-01,6000,1.2065579742e-01
