alpha,lr,num_observed,effective_epochs,replica,seed,runtime_sec,final_loss,steps_taken,cosine_similarity
0.0,0.001,1000,40000.0,1,100,0.6268,1.0453902284e-12,101,1.2921118177e-03
0.0,0.001,1000,40000.0,2,101,28.4364,1.0001399000e+07,10000,-6.4810155891e-04
0.0,0.001,1000,40000.0,3,102,0.2996,1.0154972566e-12,101,-1.2806645827e-03
0.0,0.001,1000,40000.0,4,103,0.2971,9.7321868446e-13,101,8.2189327804e-04
0.0,0.001,1000,40000.0,5,104,0.2887,1.0683358495e-12,101,7.7504321234e-04
0.0,0.001,1000,40000.0,6,105,0.3039,9.6718119624e-13,101,4.1295198025e-04
0.0,0.001,1000,40000.0,7,106,0.2889,1.0544416902e-12,101,2.7161620092e-03
0.0,0.001,1000,40000.0,8,107,0.2994,1.0183916427e-12,101,1.4682593755e-03
0.0,0.001,1000,40000.0,9,108,0.2855,1.1005378466e-12,101,7.0638681063e-04
0.0,0.001,1000,40000.0,10,109,0.2811,9.1868667621e-13,101,5.2085821517e-04
0.2,0.001,20000,2000.0,1,100,0.9152,1.9104259508e-08,301,2.0795525983e-02
0.2,0.001,20000,2000.0,2,101,0.8795,1.9956782893e-08,301,2.1358231083e-02
0.2,0.001,20000,2000.0,3,102,0.9082,2.0106574183e-08,301,1.8204759806e-02
0.2,0.001,20000,2000.0,4,103,0.8761,2.1002447781e-08,301,2.0899314433e-02
0.2,0.001,20000,2000.0,5,104,0.9118,2.1522646776e-08,301,2.0326122642e-02
0.2,0.001,20000,2000.0,6,105,0.9171,2.6925588870e-08,301,2.1178837866e-02
0.2,0.001,20000,2000.0,7,106,0.8979,1.9017537767e-08,301,2.1885665134e-02
0.2,0.001,20000,2000.0,8,107,0.9004,2.2053217918e-08,301,2.0813332871e-02
0.2,0.001,20000,2000.0,9,108,0.8988,2.1208293788e-08,301,1.9209103659e-02
0.2,0.001,20000,2000.0,10,109,0.8973,2.2270496558e-08,301,2.0365588367e-02
0.4,0.001,40000,1000.0,1,100,2.1128,3.3939581954e-06,651,4.2127579451e-02
0.4,0.001,40000,1000.0,2,101,1.9988,3.0574622087e-06,651,4.2396765202e-02
0.4,0.001,40000,1000.0,3,102,1.9554,3.2697555525e-06,651,4.0142394602e-02
0.4,0.001,40000,1000.0,4,103,1.9405,3.3601791074e-06,651,4.1348617524e-02
0.4,0.001,40000,1000.0,5,104,1.9641,2.9453201478e-06,651,4.1619066149e-02
0.4,0.001,40000,1000.0,6,105,1.9755,3.0531427910e-06,651,4.2944159359e-02
0.4,0.001,40000,1000.0,7,106,1.9464,3.1083536669e-06,651,4.2094934732e-02
0.4,0.001,40000,1000.0,8,107,1.9772,3.0736075587e-06,651,4.2561907321e-02
0.4,0.001,40000,1000.0,9,108,1.9834,3.1422327993e-06,651,4.1654128581e-02
0.4,0.001,40000,1000.0,10,109,1.9567,2.9385450944e-06,651,4.1836597025e-02
