alpha,lr,num_observed,effective_epochs,replica,seed,runtime_sec,final_loss,steps_taken,cosine_similarity
0.0,0.001,2000,100000.0,1,100,0.4097,6.7832078929e-14,101,-1.7304942594e-04
0.0,0.001,2000,100000.0,2,101,0.2261,6.8205098687e-14,101,4.2609986849e-04
0.0,0.001,2000,100000.0,3,102,0.2112,6.3773842435e-14,101,-2.7643438079e-04
0.0,0.001,2000,100000.0,4,103,0.2281,7.0165444635e-14,101,1.4323850337e-04
0.0,0.001,2000,100000.0,5,104,0.2316,7.5110572059e-14,101,4.6553075663e-04
0.0,0.001,2000,100000.0,6,105,0.2170,7.4990286604e-14,101,5.8486085618e-04
0.0,0.001,2000,100000.0,7,106,0.2301,7.3563937331e-14,101,1.7492992338e-03
0.0,0.001,2000,100000.0,8,107,0.2247,6.6003138285e-14,101,-3.8937508361e-04
0.0,0.001,2000,100000.0,9,108,0.2381,6.9942492011e-14,101,-1.2829190155e-06
0.0,0.001,2000,100000.0,10,109,0.2094,7.1818161769e-14,101,6.2662624987e-04
0.2,0.001,40000,5000.0,1,100,2.0752,3.2307714264e-06,901,9.1940341517e-03
0.2,0.001,40000,5000.0,2,101,2.0566,3.5453197142e-06,901,9.9795898423e-03
0.2,0.001,40000,5000.0,3,102,2.0494,3.9487640606e-06,901,9.2726219445e-03
0.2,0.001,40000,5000.0,4,103,2.0474,4.2569154175e-06,901,9.4497743994e-03
0.2,0.001,40000,5000.0,5,104,2.0454,3.7328968574e-06,901,9.9840275943e-03
0.2,0.001,40000,5000.0,6,105,2.0371,4.0764048208e-06,901,1.0583827272e-02
0.2,0.001,40000,5000.0,7,106,2.0444,3.5486600609e-06,901,1.1157938279e-02
0.2,0.001,40000,5000.0,8,107,2.0493,3.5550226585e-06,901,9.3568665907e-03
0.2,0.001,40000,5000.0,9,108,2.0663,3.2668963286e-06,901,9.5307091251e-03
0.2,0.001,40000,5000.0,10,109,2.0625,3.5311616102e-06,901,1.0241780430e-02
0.4,0.001,80000,2500.0,1,100,5.2879,2.3515280191e-05,2251,1.9890051335e-02
0.4,0.001,80000,2500.0,2,101,5.2628,2.2384470867e-05,2251,2.0531781018e-02
0.4,0.001,80000,2500.0,3,102,5.1973,3.0309545764e-05,2201,1.9622698426e-02
0.4,0.001,80000,2500.0,4,103,5.2509,2.3428421628e-05,2251,2.0515672863e-02
0.4,0.001,80000,2500.0,5,104,5.3375,2.2892596462e-05,2251,2.0796932280e-02
0.4,0.001,80000,2500.0,6,105,5.1868,3.0325400076e-05,2201,2.1087519825e-02
0.4,0.001,80000,2500.0,7,106,5.2814,2.4211252821e-05,2251,2.1130867302e-02
0.4,0.001,80000,2500.0,8,107,5.1943,2.8576310797e-05,2201,2.0098833367e-02
0.4,0.001,80000,2500.0,9,108,5.3104,2.3321161279e-05,2251,2.0173572004e-02
0.4,0.001,80000,2500.0,10,109,5.2867,2.3951437470e-05,2251,2.1077144891e-02
0.6000000000000001,0.0015,120000,1666.6666666666667,1,100,8.1353,4.3105792429e-05,3351,3.2078288496e-02
0.6000000000000001,0.0015,120000,1666.6666666666667,2,101,8.1667,4.5999957365e-05,3351,3.2098844647e-02
0.6000000000000001,0.0015,120000,1666.6666666666667,3,102,8.1692,4.6207715059e-05,3351,3.1594160944e-02
0.6000000000000001,0.0015,120000,1666.6666666666667,4,103,8.1595,4.3705284043e-05,3351,3.2306466252e-02
0.6000000000000001,0.0015,120000,1666.6666666666667,5,104,8.1756,4.4598018576e-05,3351,3.2088939101e-02
