alpha,lr,num_observed,effective_epochs,replica,seed,runtime_sec,final_loss,steps_taken,cosine_similarity
0.0,0.001,4000,100000.0,1,100,1.2765,2.9834592912e-13,151,1.4692949480e-04
0.0,0.001,4000,100000.0,2,101,0.3903,2.8534718533e-13,151,4.5421431423e-04
0.0,0.001,4000,100000.0,3,102,0.3588,3.0728111028e-13,151,3.9081452996e-04
0.0,0.001,4000,100000.0,4,103,0.3708,2.9745463362e-13,151,-1.3864303764e-04
0.0,0.001,4000,100000.0,5,104,0.3693,3.1908116015e-13,151,7.8931470853e-06
0.2,0.001,80000,5000.0,1,100,4.5664,1.3566116650e-05,1651,5.2567250095e-03
0.2,0.001,80000,5000.0,2,101,4.3545,1.2730859453e-05,1651,5.2737095393e-03
0.2,0.001,80000,5000.0,3,102,4.3188,1.3122244127e-05,1651,4.9757082015e-03
0.2,0.001,80000,5000.0,4,103,4.3127,1.4125815142e-05,1651,4.7617279924e-03
0.2,0.001,80000,5000.0,5,104,4.3752,1.2692990822e-05,1651,4.9754395150e-03
0.4,0.001,160000,2500.0,1,100,10.8097,6.4634994487e-05,4151,1.0575282387e-02
0.4,0.001,160000,2500.0,2,101,10.7119,6.6198306740e-05,4151,1.0305176489e-02
0.4,0.001,160000,2500.0,3,102,10.9222,5.5953008996e-05,4201,1.0048331693e-02
0.4,0.001,160000,2500.0,4,103,10.7766,5.6490272982e-05,4201,1.0207310319e-02
0.4,0.001,160000,2500.0,5,104,10.6216,6.5611508035e-05,4151,1.0369076394e-02
0.6000000000000001,0.0015,240000,1666.6666666666667,1,100,16.5279,1.0705850582e-04,6251,1.6575492918e-02
0.6000000000000001,0.0015,240000,1666.6666666666667,2,101,16.7047,1.0064657545e-04,6251,1.6137737781e-02
0.6000000000000001,0.0015,240000,1666.6666666666667,3,102,16.0682,1.0339735309e-04,6251,1.5822649002e-02
0.6000000000000001,0.0015,240000,1666.6666666666667,4,103,16.2107,9.9353412224e-05,6251,1.6036700457e-02
0.6000000000000001,0.0015,240000,1666.6666666666667,5,104,16.1307,1.0637194646e-04,6251,1.6152037308e-02
0.8,0.0015,320000,1250.0,1,100,28.2468,2.3930720636e-04,11801,2.3533646017e-02
0.8,0.0015,320000,1250.0,2,101,28.2055,2.4015223607e-04,11751,2.3364646360e-02
0.8,0.0015,320000,1250.0,3,102,28.9478,2.2780364088e-04,11851,2.2966435179e-02
0.8,0.0015,320000,1250.0,4,103,27.5087,2.4510020739e-04,11751,2.3304557428e-02
0.8,0.0015,320000,1250.0,5,104,28.8493,2.2563207312e-04,11801,2.3592514917e-02
1.0,0.0015,400000,1000.0,1,100,52.7102,5.4467952577e-04,22701,3.2782230526e-02
1.0,0.0015,400000,1000.0,2,101,52.3320,5.7323556393e-04,22551,3.2781109214e-02
1.0,0.0015,400000,1000.0,3,102,52.4237,5.5470789084e-04,22551,3.2253578305e-02
1.0,0.0015,400000,1000.0,4,103,51.5718,5.5785023142e-04,22551,3.3407032490e-02
1.0,0.0015,400000,1000.0,5,104,52.0136,5.7386473054e-04,22501,3.3003255725e-02
1.2000000000000002,0.0015,480000,833.3333333333334,1,100,107.8313,1.7528756289e-03,46551,4.6734616160e-02
1.2000000000000002,0.0015,480000,833.3333333333334,2,101,108.7399,1.6126264818e-03,46901,4.7864742577e-02
1.2000000000000002,0.0015,480000,833.3333333333334,3,102,108.3066,1.6220089747e-03,46851,4.5302949846e-02
1.2000000000000002,0.0015,480000,833.3333333333334,4,103,108.4119,1.5935247065e-03,46751,4.7572597861e-02
1.2000000000000002,0.0015,480000,833.3333333333334,5,104,109.1473,1.5553085832e-03,47001,4.6817064285e-02
1.4000000000000001,0.0015,560000,714.2857142857143,1,100,230.5971,1.2964113615e-02,93801,6.8782910705e-02
1.4000000000000001,0.0015,560000,714.2857142857143,2,101,243.5429,1.0475280695e-02,99001,7.0852324367e-02
1.4000000000000001,0.0015,560000,714.2857142857143,3,102,229.1532,1.3211444952e-02,93651,6.7962713540e-02
1.4000000000000001,0.0015,560000,714.2857142857143,4,103,187.3343,2.7219329029e-02,76051,6.9851294160e-02
1.4000000000000001,0.0015,560000,714.2857142857143,5,104,207.4673,1.8646851182e-02,84651,6.9101944566e-02
1.6,0.0015,640000,625.0,1,100,109.6358,7.3341310024e-01,42951,9.0833872557e-02
1.6,0.0015,640000,625.0,2,101,146.3674,5.1895207167e-01,57351,9.5163777471e-02
1.6,0.0015,640000,625.0,3,102,171.8215,4.2136141658e-01,67051,9.4677656889e-02
1.6,0.0015,640000,625.0,4,103,153.3842,4.8350507021e-01,59851,9.8288550973e-02
1.6,0.0015,640000,625.0,5,104,199.2837,3.4462675452e-01,78001,9.9478274584e-02
1.8,0.0015,720000,555.5555555555555,1,100,138.4036,1.7047082186e+00,52051,1.2701117992e-01
1.8,0.0015,720000,555.5555555555555,2,101,160.5269,1.4910864830e+00,60851,1.3254444301e-01
1.8,0.0015,720000,555.5555555555555,3,102,121.4009,1.8795526028e+00,45801,1.2030927092e-01
1.8,0.0015,720000,555.5555555555555,4,103,118.8447,1.9150447845e+00,44351,1.2560506165e-01
1.8,0.0015,720000,555.5555555555555,5,104,160.7857,1.5063644648e+00,59901,1.3214229047e-01
2.0,0.0015,800000,500.0,1,100,125.2818,3.4644417763e+00,46001,1.6280527413e-01
2.0,0.0015,800000,500.0,2,101,161.2486,2.9769358635e+00,59151,1.7771266401e-01
2.0,0.0015,800000,500.0,3,102,165.5766,2.9476320744e+00,61101,1.7388994992e-01
2.0,0.0015,800000,500.0,4,103,89.1722,4.2009434700e+00,32851,1.5385477245e-01
2.0,0.0015,800000,500.0,5,104,159.3201,3.0131649971e+00,58251,1.7273803055e-01
2.2,0.0015,880000,454.54545454545456,1,100,128.4261,5.2205328941e+00,45251,2.1674108505e-01
2.2,0.0015,880000,454.54545454545456,2,101,153.0305,4.7545194626e+00,54351,2.3129612207e-01
2.2,0.0015,880000,454.54545454545456,3,102,177.9497,4.4412894249e+00,63251,2.3610426486e-01
2.2,0.0015,880000,454.54545454545456,4,103,130.1947,5.1599369049e+00,46001,2.1966114640e-01
2.2,0.0015,880000,454.54545454545456,5,104,218.0342,4.0545949936e+00,77551,2.5180256367e-01
2.4000000000000004,0.0015,960000,416.6666666666667,1,100,134.9401,6.8511123657e+00,46151,2.8028404713e-01
2.4000000000000004,0.0015,960000,416.6666666666667,2,101,210.0418,5.4848570824e+00,71851,3.3644744754e-01
2.4000000000000004,0.0015,960000,416.6666666666667,3,102,109.7078,7.5188589096e+00,37601,2.5996461511e-01
2.4000000000000004,0.0015,960000,416.6666666666667,4,103,145.3809,6.5778203011e+00,49501,2.9000735283e-01
2.4000000000000004,0.0015,960000,416.6666666666667,5,104,168.5413,6.0514249802e+00,58201,3.1136986613e-01
2.6,0.0015,1040000,384.61538461538464,1,100,200.3459,6.4879899025e+00,66451,4.4191396236e-01
2.6,0.0015,1040000,384.61538461538464,2,101,160.3827,7.4275588989e+00,53451,3.9701834321e-01
2.6,0.0015,1040000,384.61538461538464,3,102,160.2261,7.4121942520e+00,53351,3.9295077324e-01
2.6,0.0015,1040000,384.61538461538464,4,103,165.9452,7.3443565369e+00,54951,3.9574247599e-01
2.6,0.0015,1040000,384.61538461538464,5,104,227.2838,6.1067719460e+00,75051,4.6080505848e-01
2.8000000000000003,0.0015,1120000,357.14285714285717,1,100,556.4716,4.5936834067e-03,181001,9.9965888262e-01
2.8000000000000003,0.0015,1120000,357.14285714285717,2,101,565.6589,4.9684788100e-03,183251,9.9962258339e-01
2.8000000000000003,0.0015,1120000,357.14285714285717,3,102,193.6422,6.4691753387e+00,63051,5.8694875240e-01
2.8000000000000003,0.0015,1120000,357.14285714285717,4,103,599.0844,4.5156977139e-03,194501,9.9966448545e-01
2.8000000000000003,0.0015,1120000,357.14285714285717,5,104,153.8032,8.2083911896e+00,49401,4.9594864249e-01
3.0,0.0015,1200000,333.3333333333333,1,100,401.3260,4.0215225890e-03,126701,9.9980163574e-01
3.0,0.0015,1200000,333.3333333333333,2,101,398.5510,3.9701727219e-03,127401,9.9980622530e-01
3.0,0.0015,1200000,333.3333333333333,3,102,409.9145,3.8363304920e-03,129301,9.9981451035e-01
3.0,0.0015,1200000,333.3333333333333,4,103,396.8354,3.9287628606e-03,127251,9.9980920553e-01
3.0,0.0015,1200000,333.3333333333333,5,104,413.7757,3.8461927325e-03,132801,9.9981117249e-01
3.2,0.0015,1280000,312.5,1,100,311.4478,2.6756266598e-03,99601,9.9990028143e-01
3.2,0.0015,1280000,312.5,2,101,310.4558,2.6647578925e-03,98701,9.9989646673e-01
3.2,0.0015,1280000,312.5,3,102,312.0359,2.6663681492e-03,99801,9.9989533424e-01
3.2,0.0015,1280000,312.5,4,103,324.5744,2.6595890522e-03,101351,9.9989652634e-01
3.2,0.0015,1280000,312.5,5,104,311.9845,2.6969730388e-03,99101,9.9989676476e-01
3.4000000000000004,0.0015,1360000,294.11764705882354,1,100,259.0832,1.2938367436e-03,79901,9.9993830919e-01
3.4000000000000004,0.0015,1360000,294.11764705882354,2,101,257.2935,1.4248273801e-03,79751,9.9993538857e-01
3.4000000000000004,0.0015,1360000,294.11764705882354,3,102,259.8049,1.5027882764e-03,80751,9.9993127584e-01
3.4000000000000004,0.0015,1360000,294.11764705882354,4,103,263.6414,1.3833121629e-03,81351,9.9993532896e-01
3.4000000000000004,0.0015,1360000,294.11764705882354,5,104,255.8829,1.4117293758e-03,79701,9.9993509054e-01
3.6,0.0015,1440000,277.77777777777777,1,100,220.1025,2.8372020461e-03,69301,9.9994224310e-01
3.6,0.0015,1440000,277.77777777777777,2,101,217.7015,2.8403298929e-03,68201,9.9994337559e-01
3.6,0.0015,1440000,277.77777777777777,3,102,219.7006,2.8360236902e-03,69551,9.9994325638e-01
3.6,0.0015,1440000,277.77777777777777,4,103,219.7498,3.0376832001e-03,68651,9.9993675947e-01
3.6,0.0015,1440000,277.77777777777777,5,104,221.9874,2.9136820231e-03,69251,9.9994069338e-01
3.8000000000000003,0.0015,1520000,263.1578947368421,1,100,210.5518,3.4120939672e-03,64551,9.9995249510e-01
3.8000000000000003,0.0015,1520000,263.1578947368421,2,101,207.4525,3.2819921616e-03,64251,9.9995535612e-01
3.8000000000000003,0.0015,1520000,263.1578947368421,3,102,208.1253,3.4337935504e-03,63551,9.9995225668e-01
3.8000000000000003,0.0015,1520000,263.1578947368421,4,103,220.0323,3.1090183184e-03,66751,9.9995696545e-01
3.8000000000000003,0.0015,1520000,263.1578947368421,5,104,212.2529,3.3236513846e-03,64551,9.9995470047e-01
4.0,0.0015,1600000,250.0,1,100,209.3508,3.3601636533e-03,61701,9.9996280670e-01
4.0,0.0015,1600000,250.0,2,101,204.0653,3.2185730524e-03,61601,9.9996495247e-01
4.0,0.0015,1600000,250.0,3,102,201.5943,3.2949615270e-03,61001,9.9996393919e-01
4.0,0.0015,1600000,250.0,4,103,199.7394,3.6511272192e-03,60251,9.9995893240e-01
4.0,0.0015,1600000,250.0,5,104,202.4624,3.3129483927e-03,61251,9.9996358156e-01
4.2,0.0015,1680000,238.0952380952381,1,100,215.9299,3.2837009057e-03,57951,9.9996954203e-01
4.2,0.0015,1680000,238.0952380952381,2,101,215.0834,3.2160757110e-03,59251,9.9997001886e-01
4.2,0.0015,1680000,238.0952380952381,3,102,213.1567,3.2549819443e-03,58701,9.9996966124e-01
4.2,0.0015,1680000,238.0952380952381,4,103,215.3688,3.0932656955e-03,59501,9.9997144938e-01
4.2,0.0015,1680000,238.0952380952381,5,104,209.5114,3.2991396729e-03,57751,9.9996918440e-01
4.4,0.0015,1760000,227.27272727272728,1,100,214.3935,3.3379551023e-03,55701,9.9997282028e-01
