alpha,E,lr,effective_epochs,num_rows,mean_cosine_similarity,std_cosine_similarity,mean_loss,std_loss,mean_steps,std_steps,mean_runtime_sec,std_runtime_sec
0.0,8000,0.001,75000.0,5,0.00012000000000000002,4e-05,4.962e-13,1.2921300244170482e-14,301.0,0.0,1.02,0.24
0.2,160000,0.001,3750.0,5,0.0025599999999999998,4.8989794855663474e-05,1.284e-05,1.854723699099136e-07,3301.0,0.0,9.64,0.2244994432064369
0.4,320000,0.001,1875.0,5,0.0052,6.324555320336748e-05,5.976e-05,4.136471926654405e-06,8361.0,48.98979485566356,24.82,0.24819347291981705
0.6,480000,0.0015,1250.0,5,0.008180000000000002,9.797958971132718e-05,0.00010460000000000001,1.3564659966250554e-06,12501.0,0.0,33.36,0.4630334761116085
0.8,640000,0.0015,937.5,5,0.0117,0.00018973665961010308,0.000232,6.542170893518447e-06,23661.0,48.98979485566356,61.760000000000005,0.13564659966250456
1.0,800000,0.0015,750.0,5,0.01648,0.0001720465053408526,0.0005564,1.0248902380255175e-05,45561.0,80.0,122.97999999999999,0.2785677655436827
1.2,960000,0.0015,625.0,5,0.023719999999999998,0.00013266499161421655,0.001652,5.5641710972974184e-05,94901.0,626.0990336999411,261.06,1.7106723824274523
1.4,1120000,0.0015,535.71,5,0.03632,0.0002785677655436829,0.012206,0.0019293895407615335,200461.0,9019.667399632872,568.92,25.40601503581388
1.6,1280000,0.0015,468.75,5,0.05145999999999999,0.0007227724399837064,0.4584,0.046418099918027665,138721.0,11229.318768295787,407.5,33.68340837860682
1.8,1440000,0.0015,416.67,5,0.07276,0.0013350655414622937,1.544,0.077614431647729,136341.0,9474.724270394363,414.26000000000005,27.03942307076837
2.0,1600000,0.0015,375.0,5,0.09878,0.004598869426282943,3.3560000000000003,0.26165626306282064,122641.0,19845.966844676528,385.6,62.581243196344374
2.2,1760000,0.0015,340.91,5,0.12506,0.005296262833357121,5.818,0.3194620478241506,97621.0,11192.390271966038,314.2,36.17750682399216
2.4,1920000,0.0015,312.5,5,0.193,0.020192770983696123,6.973999999999999,0.5729432781698377,137981.0,37200.50537291127,453.5,121.57327008845321
2.6,2080000,0.0015,288.46,5,0.26394,0.020163690138464238,8.634,0.544925683006408,131561.0,20603.35894945288,426.58000000000004,67.67405411234057
2.8,2240000,0.0015,267.86,5,0.51974,0.22796175644173303,7.614,4.060091624581888,188980.6,95848.8434162875,634.8,325.7145007518087
3.0,2400000,0.0015,250.0,5,0.9994799999999999,7.483314773551807e-05,0.00713,0.0006472711950952243,300000.0,0.0,1003.04,3.3169865842357673
3.2,2560000,0.0015,234.38,5,0.9999,0.0,0.0019200000000000003,4.147288270665547e-05,239721.0,1018.6265262597475,781.72,4.0636929017828125
3.4,2720000,0.0015,220.59,5,0.9999,0.0,0.001576,1.0198039027185597e-05,190881.0,1401.9985734657507,637.0,6.178349294107619
3.6,2880000,0.0015,208.33,5,1.0,0.0,0.00103,1.6733200530681477e-05,160441.0,2315.6856436053663,549.4399999999999,8.265736506809288
3.8,3040000,0.0015,197.37,5,1.0,0.0,0.002274,4.4542114902640294e-05,139681.0,3503.369806343601,491.02,12.229047387266089
