alpha,E,lr,effective_epochs,replica,num_replicas,cosine_similarity,loss,steps,runtime_sec,completed,total
0.0,8000,0.001,75000.0,1,5,0.0001,4.97e-13,301,1.5,1,130
0.0,8000,0.001,75000.0,2,5,0.0002,4.96e-13,301,0.9,2,130
0.0,8000,0.001,75000.0,3,5,0.0001,5.19e-13,301,0.9,3,130
0.0,8000,0.001,75000.0,4,5,0.0001,4.89e-13,301,0.9,4,130
0.0,8000,0.001,75000.0,5,5,0.0001,4.8e-13,301,0.9,5,130
0.2,160000,0.001,3750.0,1,5,0.0026,1.3e-05,3301,9.8,6,130
0.2,160000,0.001,3750.0,2,5,0.0026,1.28e-05,3301,9.2,7,130
0.2,160000,0.001,3750.0,3,5,0.0025,1.3e-05,3301,9.7,8,130
0.2,160000,0.001,3750.0,4,5,0.0025,1.25e-05,3301,9.7,9,130
0.2,160000,0.001,3750.0,5,5,0.0026,1.29e-05,3301,9.8,10,130
0.4,320000,0.001,1875.0,1,5,0.0052,6.58e-05,8301,24.5,11,130
0.4,320000,0.001,1875.0,2,5,0.0053,5.69e-05,8401,25.2,12,130
0.4,320000,0.001,1875.0,3,5,0.0052,5.63e-05,8401,25.0,13,130
0.4,320000,0.001,1875.0,4,5,0.0052,6.37e-05,8301,24.7,14,130
0.4,320000,0.001,1875.0,5,5,0.0051,5.61e-05,8401,24.7,15,130
0.6,480000,0.0015,1250.0,1,5,0.0082,0.000104,12501,33.5,16,130
0.6,480000,0.0015,1250.0,2,5,0.0083,0.000107,12501,33.1,17,130
0.6,480000,0.0015,1250.0,3,5,0.0082,0.000105,12501,32.6,18,130
0.6,480000,0.0015,1250.0,4,5,0.0082,0.000103,12501,33.7,19,130
0.6,480000,0.0015,1250.0,5,5,0.008,0.000104,12501,33.9,20,130
0.8,640000,0.0015,937.5,1,5,0.0117,0.000228,23701,61.8,21,130
0.8,640000,0.0015,937.5,2,5,0.0116,0.000229,23701,61.8,22,130
0.8,640000,0.0015,937.5,3,5,0.0119,0.000224,23701,61.8,23,130
