alpha,lr,num_observed,effective_epochs,replica,seed,runtime_sec,final_loss,steps_taken,cosine_similarity
0.0,0.001,1000,100000.0,1,100,0.2598,1.0549444348e-12,101,1.0603329865e-03
0.0,0.001,1000,100000.0,2,101,0.1997,1.0014736436e-12,101,2.2409653757e-03
0.0,0.001,1000,100000.0,3,102,0.2173,1.0245612952e-12,101,-1.4373891754e-03
0.0,0.001,1000,100000.0,4,103,0.1960,1.0251491496e-12,101,7.2265224298e-04
0.0,0.001,1000,100000.0,5,104,0.2037,1.0020322246e-12,101,7.4504996883e-04
0.0,0.001,1000,100000.0,6,105,0.2042,1.0279839046e-12,101,1.7008447321e-04
0.0,0.001,1000,100000.0,7,106,0.1985,1.0198356916e-12,101,2.9147819150e-03
0.0,0.001,1000,100000.0,8,107,0.1972,1.1052574871e-12,101,1.3478304027e-03
0.0,0.001,1000,100000.0,9,108,0.2183,1.0249105167e-12,101,6.7822210258e-04
0.0,0.001,1000,100000.0,10,109,0.2142,1.0674030019e-12,101,6.3725793734e-04
0.2,0.001,20000,5000.0,1,100,1.0138,5.8595298924e-07,501,2.0739885047e-02
0.2,0.001,20000,5000.0,2,101,1.0547,6.0821707848e-07,501,2.1309634671e-02
0.2,0.001,20000,5000.0,3,102,1.0609,6.6081878458e-07,501,1.8291935325e-02
0.2,0.001,20000,5000.0,4,103,1.0064,6.1991698885e-07,501,2.0893501118e-02
0.2,0.001,20000,5000.0,5,104,1.0416,6.8748062176e-07,501,2.0277898759e-02
0.2,0.001,20000,5000.0,6,105,1.0213,7.3594844707e-07,501,2.1149899811e-02
0.2,0.001,20000,5000.0,7,106,1.0291,6.8879245418e-07,501,2.1885151044e-02
0.2,0.001,20000,5000.0,8,107,1.0224,7.0983691103e-07,501,2.0852614194e-02
0.2,0.001,20000,5000.0,9,108,1.0353,6.5162703322e-07,501,1.9202845171e-02
0.2,0.001,20000,5000.0,10,109,1.0326,6.7410405791e-07,501,2.0288722590e-02
0.4,0.001,40000,2500.0,1,100,2.6416,1.0364054106e-05,1201,4.2094159871e-02
0.4,0.001,40000,2500.0,2,101,2.4851,9.8332739071e-06,1201,4.2456574738e-02
0.4,0.001,40000,2500.0,3,102,2.4633,1.0366426977e-05,1201,4.0155857801e-02
0.4,0.001,40000,2500.0,4,103,2.4793,1.0900814232e-05,1201,4.1489683092e-02
0.4,0.001,40000,2500.0,5,104,2.4670,1.0062226465e-05,1201,4.1681513190e-02
0.4,0.001,40000,2500.0,6,105,2.5096,9.5686809800e-06,1201,4.3039448559e-02
0.4,0.001,40000,2500.0,7,106,2.4757,1.0064113667e-05,1201,4.2069930583e-02
0.4,0.001,40000,2500.0,8,107,2.4897,1.0784585356e-05,1201,4.2481925339e-02
0.4,0.001,40000,2500.0,9,108,2.5185,1.0468516848e-05,1201,4.1600927711e-02
0.4,0.001,40000,2500.0,10,109,2.4676,9.2342615972e-06,1201,4.1846007109e-02
0.6000000000000001,0.0015,60000,1666.6666666666667,1,100,3.8230,1.9891265765e-05,1801,6.5380305052e-02
0.6000000000000001,0.0015,60000,1666.6666666666667,2,101,3.7860,1.8714374164e-05,1801,6.6232517362e-02
0.6000000000000001,0.0015,60000,1666.6666666666667,3,102,3.7617,1.8024991732e-05,1801,6.2764592469e-02
0.6000000000000001,0.0015,60000,1666.6666666666667,4,103,3.7502,1.7574491721e-05,1801,6.4301438630e-02
0.6000000000000001,0.0015,60000,1666.6666666666667,5,104,3.8237,1.6759580831e-05,1801,6.4705498517e-02
0.6000000000000001,0.0015,60000,1666.6666666666667,6,105,3.7920,1.8396818632e-05,1801,6.6269554198e-02
0.6000000000000001,0.0015,60000,1666.6666666666667,7,106,3.7640,1.6948069970e-05,1801,6.4246475697e-02
0.6000000000000001,0.0015,60000,1666.6666666666667,8,107,3.8377,1.9631936084e-05,1801,6.6246993840e-02
0.6000000000000001,0.0015,60000,1666.6666666666667,9,108,3.7883,1.7883739929e-05,1801,6.4838036895e-02
0.6000000000000001,0.0015,60000,1666.6666666666667,10,109,3.7677,1.7333410142e-05,1801,6.4629562199e-02
0.8,0.0015,80000,1250.0,1,100,7.1536,4.8930924095e-05,3351,9.4412937760e-02
0.8,0.0015,80000,1250.0,2,101,7.1218,5.4328553233e-05,3351,9.2398330569e-02
0.8,0.0015,80000,1250.0,3,102,7.1900,4.6911303798e-05,3401,8.9180834591e-02
0.8,0.0015,80000,1250.0,4,103,7.1512,4.9767633755e-05,3351,9.2540092766e-02
0.8,0.0015,80000,1250.0,5,104,7.0902,5.0382896006e-05,3351,9.2443175614e-02
0.8,0.0015,80000,1250.0,6,105,7.1309,5.3010535339e-05,3351,9.2789024115e-02
0.8,0.0015,80000,1250.0,7,106,7.0977,5.3071547882e-05,3351,9.1538310051e-02
0.8,0.0015,80000,1250.0,8,107,7.1033,5.0011105486e-05,3351,9.5803461969e-02
0.8,0.0015,80000,1250.0,9,108,7.1235,5.0623089919e-05,3351,9.3226179481e-02
0.8,0.0015,80000,1250.0,10,109,7.1107,5.3913521697e-05,3351,9.1580942273e-02
1.0,0.0015,100000,1000.0,1,100,13.9873,1.2536428403e-04,6401,1.2935318053e-01
