alpha,lr,num_observed,effective_epochs,replica,seed,runtime_sec,final_loss,steps_taken,cosine_similarity
0.0,0.001,1000,600000.0,1,100,0.4642,1.1111862298e-12,201,1.0603335686e-03
0.0,0.001,1000,600000.0,2,101,0.3956,1.0464284604e-12,201,2.2409644444e-03
0.0,0.001,1000,600000.0,3,102,0.4144,9.7330943218e-13,201,-1.4373894082e-03
0.0,0.001,1000,600000.0,4,103,0.4188,1.0448817376e-12,201,7.2265224298e-04
0.0,0.001,1000,600000.0,5,104,0.3830,1.0530867628e-12,201,7.4504967779e-04
0.2,0.001,20000,30000.0,1,100,1.2620,2.3072251665e-08,601,2.0740112290e-02
0.2,0.001,20000,30000.0,2,101,1.1218,2.0433226666e-08,601,2.1309928969e-02
0.2,0.001,20000,30000.0,3,102,1.1440,2.2002383915e-08,601,1.8292250112e-02
0.2,0.001,20000,30000.0,4,103,1.1489,2.1860461885e-08,601,2.0893713459e-02
0.2,0.001,20000,30000.0,5,104,1.1185,2.5252292701e-08,601,2.0278202370e-02
0.4,0.001,40000,15000.0,1,100,2.4254,3.3098533549e-06,1301,4.2095839977e-02
0.4,0.001,40000,15000.0,2,101,2.4794,3.1596966892e-06,1301,4.2458157986e-02
0.4,0.001,40000,15000.0,3,102,2.4289,3.2884263419e-06,1301,4.0157612413e-02
0.4,0.001,40000,15000.0,4,103,2.4472,3.5713599118e-06,1301,4.1491255164e-02
0.4,0.001,40000,15000.0,5,104,2.4524,3.1593804124e-06,1301,4.1683137417e-02
0.6000000000000001,0.0015,60000,10000.0,1,100,3.7876,4.8867250371e-06,2001,6.5385185182e-02
0.6000000000000001,0.0015,60000,10000.0,2,101,3.5964,9.3644530352e-06,1901,6.6235378385e-02
0.6000000000000001,0.0015,60000,10000.0,3,102,3.6579,8.7969419837e-06,1901,6.2767535448e-02
0.6000000000000001,0.0015,60000,10000.0,4,103,3.5938,8.6767740868e-06,1901,6.4304232597e-02
0.6000000000000001,0.0015,60000,10000.0,5,104,3.6137,8.2973538156e-06,1901,6.4708054066e-02
0.8,0.0015,80000,7500.0,1,100,7.9730,2.1168974854e-05,3601,9.4423487782e-02
0.8,0.0015,80000,7500.0,2,101,7.1790,2.3848944693e-05,3601,9.2407509685e-02
0.8,0.0015,80000,7500.0,3,102,7.0324,2.4427967219e-05,3601,8.9188300073e-02
0.8,0.0015,80000,7500.0,4,103,6.9521,2.1689123969e-05,3601,9.2550829053e-02
0.8,0.0015,80000,7500.0,5,104,6.9894,2.1846604795e-05,3601,9.2453375459e-02
1.0,0.0015,100000,6000.0,1,100,13.5187,5.8865265601e-05,6901,1.2938457727e-01
1.0,0.0015,100000,6000.0,2,101,13.7038,5.6689710618e-05,7001,1.2798395753e-01
1.0,0.0015,100000,6000.0,3,102,13.5386,5.7789020502e-05,6901,1.2589070201e-01
1.0,0.0015,100000,6000.0,4,103,13.5440,5.9337846324e-05,6901,1.2640665472e-01
1.0,0.0015,100000,6000.0,5,104,13.5052,5.5067106587e-05,6901,1.2855938077e-01
1.2000000000000002,0.0015,120000,5000.0,1,100,28.8837,1.6025132209e-04,14701,1.8270643055e-01
1.2000000000000002,0.0015,120000,5000.0,2,101,28.7902,1.5580216132e-04,14701,1.7548303306e-01
1.2000000000000002,0.0015,120000,5000.0,3,102,28.9976,1.6245982260e-04,14801,1.7524877191e-01
1.2000000000000002,0.0015,120000,5000.0,4,103,28.9158,1.5978327428e-04,14701,1.7471978068e-01
1.2000000000000002,0.0015,120000,5000.0,5,104,28.9782,1.5990372049e-04,14801,1.7744538188e-01
1.4000000000000001,0.0015,140000,4285.714285714285,1,100,69.0124,7.6401745901e-04,36101,2.4913682044e-01
1.4000000000000001,0.0015,140000,4285.714285714285,2,101,71.5681,7.8068341827e-04,36501,2.4969214201e-01
1.4000000000000001,0.0015,140000,4285.714285714285,3,102,72.0610,6.6704774508e-04,37201,2.4704863131e-01
1.4000000000000001,0.0015,140000,4285.714285714285,4,103,74.8963,7.8907527495e-04,36601,2.4352866411e-01
1.4000000000000001,0.0015,140000,4285.714285714285,5,104,70.9876,8.4204948507e-04,35501,2.5067996979e-01
1.6,0.0015,160000,3750.0,1,100,83.4716,5.4101526737e-02,44501,3.4295731783e-01
1.6,0.0015,160000,3750.0,2,101,104.1393,3.5932492465e-02,54601,3.4583565593e-01
1.6,0.0015,160000,3750.0,3,102,78.5660,6.3136190176e-02,40001,3.3884385228e-01
1.6,0.0015,160000,3750.0,4,103,77.4694,6.7523270845e-02,39701,3.3700519800e-01
1.6,0.0015,160000,3750.0,5,104,102.2964,3.8240823895e-02,52401,3.4840232134e-01
1.8,0.0015,180000,3333.3333333333335,1,100,102.4119,3.2886672020e-01,52801,4.4784682989e-01
1.8,0.0015,180000,3333.3333333333335,2,101,114.8837,2.9611179233e-01,59301,4.5055088401e-01
1.8,0.0015,180000,3333.3333333333335,3,102,61.2829,5.0744628906e-01,31401,4.2716887593e-01
1.8,0.0015,180000,3333.3333333333335,4,103,43.0436,6.8321782351e-01,22201,4.1376042366e-01
1.8,0.0015,180000,3333.3333333333335,5,104,63.5925,4.7491416335e-01,32601,4.3760985136e-01
2.0,0.0015,200000,3000.0,1,100,69.4013,1.0255347490e+00,36001,5.4633045197e-01
2.0,0.0015,200000,3000.0,2,101,142.6635,6.7708009481e-01,73601,5.8716696501e-01
2.0,0.0015,200000,3000.0,3,102,124.7266,7.3829251528e-01,64401,5.7680284977e-01
2.0,0.0015,200000,3000.0,4,103,93.3475,8.5110557079e-01,48501,5.6244868040e-01
2.0,0.0015,200000,3000.0,5,104,91.2093,8.5155802965e-01,47301,5.6693583727e-01
2.2,0.0015,220000,2727.2727272727275,1,100,205.8108,5.8685737848e-01,106101,8.3355349302e-01
2.2,0.0015,220000,2727.2727272727275,2,101,188.8074,6.3886606693e-01,97801,8.1733834743e-01
2.2,0.0015,220000,2727.2727272727275,3,102,56.8188,1.6583683491e+00,29301,6.6299432516e-01
2.2,0.0015,220000,2727.2727272727275,4,103,42.8753,1.9295248985e+00,22201,6.4029598236e-01
2.2,0.0015,220000,2727.2727272727275,5,104,153.3572,7.9021149874e-01,79101,7.8785192966e-01
2.4000000000000004,0.0015,240000,2500.0,1,100,178.3712,8.9542247588e-04,92401,9.9989986420e-01
2.4000000000000004,0.0015,240000,2500.0,2,101,181.1606,1.0974889155e-03,93501,9.9987328053e-01
2.4000000000000004,0.0015,240000,2500.0,3,102,182.0954,9.8421808798e-04,93901,9.9988967180e-01
2.4000000000000004,0.0015,240000,2500.0,4,103,181.1565,9.1636873549e-04,93501,9.9989628792e-01
2.4000000000000004,0.0015,240000,2500.0,5,104,179.3186,1.0106454138e-03,92601,9.9988800287e-01
2.6,0.0015,260000,2307.6923076923076,1,100,86.2798,3.6955732503e-04,44501,9.9996310472e-01
2.6,0.0015,260000,2307.6923076923076,2,101,83.3357,3.4975769813e-04,42901,9.9996268749e-01
2.6,0.0015,260000,2307.6923076923076,3,102,85.9774,3.5904522520e-04,44401,9.9996125698e-01
2.6,0.0015,260000,2307.6923076923076,4,103,80.2489,3.5391832353e-04,41501,9.9996197224e-01
2.6,0.0015,260000,2307.6923076923076,5,104,82.1870,3.4662344842e-04,42501,9.9996387959e-01
2.8000000000000003,0.0015,280000,2142.8571428571427,1,100,58.9208,2.6849424466e-04,29601,9.9998265505e-01
2.8000000000000003,0.0015,280000,2142.8571428571427,2,101,56.1750,2.7689451235e-04,28401,9.9998235703e-01
2.8000000000000003,0.0015,280000,2142.8571428571427,3,102,57.4004,2.6160155539e-04,28601,9.9998331070e-01
2.8000000000000003,0.0015,280000,2142.8571428571427,4,103,57.1631,2.7084373869e-04,29001,9.9998283386e-01
2.8000000000000003,0.0015,280000,2142.8571428571427,5,104,55.9400,2.7850057813e-04,28201,9.9998259544e-01
3.0,0.0015,300000,2000.0,1,100,46.2426,2.4034240050e-04,22901,9.9999099970e-01
3.0,0.0015,300000,2000.0,2,101,44.2868,2.5691447081e-04,22201,9.9999034405e-01
3.0,0.0015,300000,2000.0,3,102,45.9018,2.4941720767e-04,22901,9.9999052286e-01
3.0,0.0015,300000,2000.0,4,103,44.3305,2.4552692776e-04,22701,9.9999088049e-01
3.0,0.0015,300000,2000.0,5,104,45.8686,2.3636146216e-04,22901,9.9999099970e-01
3.2,0.0015,320000,1875.0,1,100,38.6382,2.2120613721e-04,19601,9.9999433756e-01
3.2,0.0015,320000,1875.0,2,101,38.1870,2.3126979067e-04,19301,9.9999427795e-01
3.2,0.0015,320000,1875.0,3,102,38.4752,2.2168521537e-04,19301,9.9999433756e-01
3.2,0.0015,320000,1875.0,4,103,38.5419,2.1821084374e-04,19501,9.9999451637e-01
3.2,0.0015,320000,1875.0,5,104,37.3300,2.2079591872e-04,19201,9.9999463558e-01
3.4000000000000004,0.0015,340000,1764.7058823529412,1,100,34.0735,1.9290224009e-04,17701,9.9999642372e-01
3.4000000000000004,0.0015,340000,1764.7058823529412,2,101,33.6457,2.0317365124e-04,17301,9.9999648333e-01
3.4000000000000004,0.0015,340000,1764.7058823529412,3,102,32.9544,2.1715965704e-04,17101,9.9999606609e-01
3.4000000000000004,0.0015,340000,1764.7058823529412,4,103,33.9797,1.9843276823e-04,17401,9.9999654293e-01
3.4000000000000004,0.0015,340000,1764.7058823529412,5,104,32.8601,2.1545031632e-04,17201,9.9999600649e-01
3.6,0.0015,360000,1666.6666666666667,1,100,29.4675,1.8771870236e-04,15901,9.9999743700e-01
3.6,0.0015,360000,1666.6666666666667,2,101,30.0044,1.9170381711e-04,15901,9.9999737740e-01
3.6,0.0015,360000,1666.6666666666667,3,102,30.3249,1.7527118325e-04,16101,9.9999761581e-01
3.6,0.0015,360000,1666.6666666666667,4,103,30.3659,1.7993585789e-04,16201,9.9999743700e-01
3.6,0.0015,360000,1666.6666666666667,5,104,30.0518,1.8047101912e-04,16001,9.9999761581e-01
3.8000000000000003,0.0015,380000,1578.9473684210527,1,100,27.3530,1.7620518338e-04,15001,9.9999803305e-01
3.8000000000000003,0.0015,380000,1578.9473684210527,2,101,27.3310,1.7631151422e-04,14801,9.9999809265e-01
3.8000000000000003,0.0015,380000,1578.9473684210527,3,102,26.8090,1.7133069923e-04,14901,9.9999809265e-01
3.8000000000000003,0.0015,380000,1578.9473684210527,4,103,27.9888,1.7151638167e-04,15101,9.9999809265e-01
3.8000000000000003,0.0015,380000,1578.9473684210527,5,104,27.2225,1.7770247359e-04,14701,9.9999827147e-01
4.0,0.0015,400000,1500.0,1,100,25.5546,1.6805568885e-04,14101,9.9999856949e-01
4.0,0.0015,400000,1500.0,2,101,25.2577,1.5796182561e-04,14101,9.9999850988e-01
4.0,0.0015,400000,1500.0,3,102,25.0108,1.6775235417e-04,14001,9.9999850988e-01
4.0,0.0015,400000,1500.0,4,103,26.0900,1.6355387925e-04,14301,9.9999850988e-01
4.0,0.0015,400000,1500.0,5,104,25.1896,1.6291135398e-04,14001,9.9999850988e-01
4.2,0.0015,420000,1428.5714285714287,1,100,24.1323,1.4947479940e-04,13501,9.9999886751e-01
4.2,0.0015,420000,1428.5714285714287,2,101,24.5379,1.4831825683e-04,13601,9.9999886751e-01
4.2,0.0015,420000,1428.5714285714287,3,102,23.7588,1.5463323507e-04,13501,9.9999874830e-01
4.2,0.0015,420000,1428.5714285714287,4,103,23.2469,1.6494047304e-04,13201,9.9999880791e-01
4.2,0.0015,420000,1428.5714285714287,5,104,23.9837,1.5600354527e-04,13501,9.9999880791e-01
4.4,0.0015,440000,1363.6363636363637,1,100,22.9351,1.4281083713e-04,12901,9.9999904633e-01
4.4,0.0015,440000,1363.6363636363637,2,101,22.5901,1.4990370255e-04,12701,9.9999910593e-01
4.4,0.0015,440000,1363.6363636363637,3,102,22.2092,1.4910123718e-04,12801,9.9999904633e-01
4.4,0.0015,440000,1363.6363636363637,4,103,21.9871,1.4840035874e-04,12801,9.9999904633e-01
4.4,0.0015,440000,1363.6363636363637,5,104,22.8332,1.5278269711e-04,13101,9.9999898672e-01
4.6000000000000005,0.0015,460000,1304.3478260869565,1,100,22.0241,1.4168921916e-04,12601,9.9999922514e-01
4.6000000000000005,0.0015,460000,1304.3478260869565,2,101,21.7100,1.3669890177e-04,12501,9.9999922514e-01
4.6000000000000005,0.0015,460000,1304.3478260869565,3,102,21.3037,1.4121082495e-04,12401,9.9999922514e-01
4.6000000000000005,0.0015,460000,1304.3478260869565,4,103,21.5379,1.3919183402e-04,12601,9.9999922514e-01
4.6000000000000005,0.0015,460000,1304.3478260869565,5,104,21.3534,1.4497601660e-04,12401,9.9999910593e-01
4.800000000000001,0.0015,480000,1250.0,1,100,21.1813,1.4001775708e-04,11901,9.9999922514e-01
4.800000000000001,0.0015,480000,1250.0,2,101,21.0708,1.3645844592e-04,12001,9.9999922514e-01
4.800000000000001,0.0015,480000,1250.0,3,102,22.5117,1.2659221829e-04,12901,9.9999946356e-01
