step,loss_mean,loss_std,log10_loss_mean,log10_loss_std,mse_mean,mse_std,cosine_similarity_mean,cosine_similarity_std,loss_replica_1,loss_replica_2,loss_replica_3,mse_replica_1,mse_replica_2,mse_replica_3,cosine_similarity_replica_1,cosine_similarity_replica_2,cosine_similarity_replica_3
0,1.2064240104e+05,4.0846418503e-01,5.0814999720e+00,1.4704078731e-06,1.0053533316e+00,3.3843683163e-06,-8.0198719030e-03,8.9955920155e-03,1.2064207031e+05,1.2064215625e+05,1.2064297656e+05,1.0053505898e+00,1.0053513050e+00,1.0053580999e+00,-3.1363202725e-03,-2.8843749897e-04,-2.0634857938e-02
5,1.1392229427e+05,3.5126535648e+03,5.0564051244e+00,1.3251613606e-02,9.4935244322e-01,2.9272131342e-02,2.6620219648e-01,1.8821833300e-02,1.1155246094e+05,1.1132620312e+05,1.1888821875e+05,9.2960381508e-01,9.2771834135e-01,9.9073517323e-01,2.7405971289e-01,2.8429812193e-01,2.4024875462e-01
10,6.4339820312e+04,2.8636420912e+03,4.8080562037e+00,1.9108433990e-02,5.3616517782e-01,2.3863681693e-02,4.5798041423e-01,1.9420934043e-02,6.1600390625e+04,6.3126453125e+04,6.8292617188e+04,5.1333659887e-01,5.2605378628e-01,5.6910514832e-01,4.7359165549e-01,4.6974456310e-01,4.3060502410e-01
15,4.4340213542e+04,2.4154960541e+03,4.6461405919e+00,2.4007969086e-02,3.6950178941e-01,2.0129124744e-02,5.7738343875e-01,1.7713097263e-02,4.1051375000e+04,4.5184890625e+04,4.6784375000e+04,3.4209480882e-01,3.7654078007e-01,3.8986977935e-01,6.0020637512e-01,5.7491433620e-01,5.5702960491e-01
20,3.3226011068e+04,2.2481648333e+03,4.5204502407e+00,3.0126611091e-02,2.7688344320e-01,1.8734708047e-02,6.5974777937e-01,1.6779743681e-02,3.0063927734e+04,3.4520191406e+04,3.5093914062e+04,2.5053274632e-01,2.8766828775e-01,2.9244929552e-01,6.8332952261e-01,6.5025162697e-01,6.4566218853e-01
25,2.5946858724e+04,1.6640492314e+03,4.4131660752e+00,2.8445127092e-02,2.1622382104e-01,1.3867067107e-02,7.1863736709e-01,1.3856284061e-02,2.3636546875e+04,2.7489873047e+04,2.6714156250e+04,1.9697123766e-01,2.2908227146e-01,2.2261795402e-01,7.3747247458e-01,7.0453751087e-01,7.1390211582e-01
30,2.0736830078e+04,1.3340763259e+03,4.3158313483e+00,2.8225069790e-02,1.7280691862e-01,1.1117304716e-02,7.6310046514e-01,1.1876586857e-02,1.9003445312e+04,2.2248636719e+04,2.0958408203e+04,1.5836204588e-01,1.8540531397e-01,1.7465339601e-01,7.7757024765e-01,7.4847984314e-01,7.6325130463e-01
35,1.6941033529e+04,1.0932141827e+03,4.2280406966e+00,2.7907783867e-02,1.4117527505e-01,9.1101134982e-03,7.9787095388e-01,1.1260600009e-02,1.5682514648e+04,1.8347964844e+04,1.6792621094e+04,1.3068762422e-01,1.5289969742e-01,1.3993850350e-01,8.0965876579e-01,7.8270411491e-01,8.0124998093e-01
40,1.4178864258e+04,9.0862640145e+02,4.1507615930e+00,2.7550797532e-02,1.1815720548e-01,7.5718858311e-03,8.2477857669e-01,9.4105440700e-03,1.3207736328e+04,1.5393184570e+04,1.3935671875e+04,1.1006447673e-01,1.2827654183e-01,1.1613059789e-01,8.3433246613e-01,8.1197792292e-01,8.2802534103e-01
45,1.2077422526e+04,7.8456973778e+02,4.0810796670e+00,2.7704653445e-02,1.0064518700e-01,6.5380802206e-03,8.4633344412e-01,8.4652980565e-03,1.1368912109e+04,1.3171160156e+04,1.1692195312e+04,9.4740934670e-02,1.0975966603e-01,9.7434960306e-02,8.5422813892e-01,8.3459204435e-01,8.5018014908e-01
50,1.0469854167e+04,7.1290536830e+02,4.0189628662e+00,2.8924561553e-02,8.7248782317e-02,5.9408748814e-03,8.6354953051e-01,7.2037995455e-03,9.9695859375e+03,1.1478044922e+04,9.9619316406e+03,8.3079881966e-02,9.5650367439e-02,8.3016097546e-02,8.6915731430e-01,8.5337972641e-01,8.6811155081e-01
55,9.1625485026e+03,6.5787140800e+02,3.9609293862e+00,3.0493929712e-02,7.6354570687e-02,5.4822614082e-03,8.7820726633e-01,6.0530735647e-03,8.7688261719e+03,1.0089429688e+04,8.6293896484e+03,7.3073551059e-02,8.4078580141e-02,7.1911580861e-02,8.8288068771e-01,8.6965936422e-01,8.8208174706e-01
60,8.0902320964e+03,5.6922802161e+02,3.9069140601e+00,2.9951753374e-02,6.7418600122e-02,4.7435699578e-03,8.9006286860e-01,5.4603415399e-03,7.8005361328e+03,8.8855322266e+03,7.5846279297e+03,6.5004467964e-02,7.4046105146e-02,6.3205227256e-02,8.9395213127e-01,8.8234084845e-01,8.9389562607e-01
65,7.2051385091e+03,5.4208704856e+02,3.8564487373e+00,3.1956762837e-02,6.0042820871e-02,4.5173942198e-03,9.0061414242e-01,4.8061782041e-03,6.9089990234e+03,7.9655917969e+03,6.7408247070e+03,5.7574991137e-02,6.6379934549e-02,5.6173536927e-02,9.0407812595e-01,8.9381760359e-01,9.0394669771e-01
70,6.4587467448e+03,5.2380396758e+02,3.8087627587e+00,3.4420632177e-02,5.3822889924e-02,4.3650351106e-03,9.0959711870e-01,4.5838710361e-03,6.1867656250e+03,7.1914580078e+03,5.9980166016e+03,5.1556382328e-02,5.9928819537e-02,4.9983467907e-02,9.1275399923e-01,9.0311527252e-01,9.1292208433e-01
75,5.8348421224e+03,4.8699086803e+02,3.7645629349e+00,3.5400753020e-02,4.8623686035e-02,4.0582572466e-03,9.1751408577e-01,4.2574743499e-03,5.5811240234e+03,6.5161923828e+03,5.4072099609e+03,4.6509370208e-02,5.4301604629e-02,4.5060083270e-02,9.2068427801e-01,9.1149598360e-01,9.2036199570e-01
80,5.2804702148e+03,4.7350543051e+02,3.7209855285e+00,3.7941976879e-02,4.4003918767e-02,3.9458783552e-03,9.2444179455e-01,4.0612947058e-03,5.0197709961e+03,5.9449902344e+03,4.8766494141e+03,4.1831426322e-02,4.9541585147e-02,4.0638744831e-02,9.2775326967e-01,9.1872197390e-01,9.2685014009e-01
85,4.8200421549e+03,4.8302053102e+02,3.6809568947e+00,4.2199955892e-02,4.0167016288e-02,4.0251727398e-03,9.3043770393e-01,4.2149941159e-03,4.5096230469e+03,5.5022177734e+03,4.4482856445e+03,3.7580188364e-02,4.5851815492e-02,3.7069045007e-02,9.3402057886e-01,9.2452055216e-01,9.3277198076e-01
90,4.4025148112e+03,4.5209903424e+02,3.6415048928e+00,4.3199773805e-02,3.6687623709e-02,3.7674909202e-03,9.3579794963e-01,3.9011958868e-03,4.0694145508e+03,5.0416889648e+03,4.0964409180e+03,3.3911790699e-02,4.2014073581e-02,3.4137006849e-02,9.3937420845e-01,9.3037158251e-01,9.3764805794e-01
95,4.0598093262e+03,4.4608372935e+02,3.6059952504e+00,4.6170630023e-02,3.3831743523e-02,3.7173639951e-03,9.4048611323e-01,4.1730385677e-03,3.7075659180e+03,4.6891743164e+03,3.7826877441e+03,3.0896382406e-02,3.9076451212e-02,3.1522396952e-02,9.4457554817e-01,9.3475645781e-01,9.4212633371e-01
100,3.7442434896e+03,4.3345789598e+02,3.5705676862e+00,4.8774937498e-02,3.1202029437e-02,3.6121492366e-03,9.4479672114e-01,4.1755236154e-03,3.3565405273e+03,4.3493046875e+03,3.5268852539e+03,2.7971170843e-02,3.6244206131e-02,2.9390711337e-02,9.4916117191e-01,9.3916976452e-01,9.4605922699e-01
105,3.4662034505e+03,4.3676163728e+02,3.5365296338e+00,5.3228963254e-02,2.8885028635e-02,3.6396799818e-03,9.4850885868e-01,4.3337338601e-03,3.0473808594e+03,4.0687836914e+03,3.2824458008e+03,2.5394842029e-02,3.3906530589e-02,2.7353713289e-02,9.5322996378e-01,9.4276374578e-01,9.4953286648e-01
110,3.2136764323e+03,4.2701495124e+02,3.5032948295e+00,5.6253034251e-02,2.6780637602e-02,3.5584585074e-03,9.5201363166e-01,4.3743723000e-03,2.7898974609e+03,3.7981530762e+03,3.0529787598e+03,2.3249145597e-02,3.1651277095e-02,2.5441490114e-02,9.5692354441e-01,9.4629949331e-01,9.5281785727e-01
