step,loss_mean,loss_std,log10_loss_mean,log10_loss_std,mse_mean,mse_std,cosine_similarity_mean,cosine_similarity_std,loss_replica_1,mse_replica_1,cosine_similarity_replica_1
0,1.0040653992e+02,0.0000000000e+00,2.0017620012e+00,0.0000000000e+00,1.0040653944e+00,0.0000000000e+00,-3.0342309401e-05,0.0000000000e+00,1.0040653992e+02,1.0040653944e+00,-3.0342309401e-05
5,1.9997570801e+02,0.0000000000e+00,2.3009772431e+00,0.0000000000e+00,1.9997570515e+00,0.0000000000e+00,4.2665528599e-04,0.0000000000e+00,1.9997570801e+02,1.9997570515e+00,4.2665528599e-04
10,1.9936633301e+02,0.0000000000e+00,2.2996518209e+00,0.0000000000e+00,1.9936633110e+00,0.0000000000e+00,8.7720376905e-04,0.0000000000e+00,1.9936633301e+02,1.9936633110e+00,8.7720376905e-04
15,1.9878881836e+02,0.0000000000e+00,2.2983919522e+00,0.0000000000e+00,1.9878880978e+00,0.0000000000e+00,1.3153353939e-03,0.0000000000e+00,1.9878881836e+02,1.9878880978e+00,1.3153353939e-03
20,1.9821133423e+02,0.0000000000e+00,2.2971284849e+00,0.0000000000e+00,1.9821133614e+00,0.0000000000e+00,1.7583449371e-03,0.0000000000e+00,1.9821133423e+02,1.9821133614e+00,1.7583449371e-03
25,1.9767016602e+02,0.0000000000e+00,2.2959411270e+00,0.0000000000e+00,1.9767016172e+00,0.0000000000e+00,2.1801132243e-03,0.0000000000e+00,1.9767016602e+02,1.9767016172e+00,2.1801132243e-03
30,1.9708628845e+02,0.0000000000e+00,2.2946564109e+00,0.0000000000e+00,1.9708628654e+00,0.0000000000e+00,2.6351874694e-03,0.0000000000e+00,1.9708628845e+02,1.9708628654e+00,2.6351874694e-03
35,1.9650321960e+02,0.0000000000e+00,2.2933696705e+00,0.0000000000e+00,1.9650321007e+00,0.0000000000e+00,3.1089540571e-03,0.0000000000e+00,1.9650321960e+02,1.9650321007e+00,3.1089540571e-03
40,1.9593345642e+02,0.0000000000e+00,2.2921085998e+00,0.0000000000e+00,1.9593346119e+00,0.0000000000e+00,3.5377491731e-03,0.0000000000e+00,1.9593345642e+02,1.9593346119e+00,3.5377491731e-03
45,1.9535881042e+02,0.0000000000e+00,2.2908330021e+00,0.0000000000e+00,1.9535881281e+00,0.0000000000e+00,3.9934385568e-03,0.0000000000e+00,1.9535881042e+02,1.9535881281e+00,3.9934385568e-03
50,1.9479528809e+02,0.0000000000e+00,2.2895784475e+00,0.0000000000e+00,1.9479528666e+00,0.0000000000e+00,4.4164257124e-03,0.0000000000e+00,1.9479528809e+02,1.9479528666e+00,4.4164257124e-03
55,1.9423733521e+02,0.0000000000e+00,2.2883327112e+00,0.0000000000e+00,1.9423732758e+00,0.0000000000e+00,4.8484969884e-03,0.0000000000e+00,1.9423733521e+02,1.9423732758e+00,4.8484969884e-03
60,1.9366310120e+02,0.0000000000e+00,2.2870468821e+00,0.0000000000e+00,1.9366310835e+00,0.0000000000e+00,5.2987281233e-03,0.0000000000e+00,1.9366310120e+02,1.9366310835e+00,5.2987281233e-03
65,1.9310089111e+02,0.0000000000e+00,2.2857842779e+00,0.0000000000e+00,1.9310089350e+00,0.0000000000e+00,5.7425154373e-03,0.0000000000e+00,1.9310089111e+02,1.9310089350e+00,5.7425154373e-03
70,1.9256567383e+02,0.0000000000e+00,2.2845788737e+00,0.0000000000e+00,1.9256566763e+00,0.0000000000e+00,6.1565637589e-03,0.0000000000e+00,1.9256567383e+02,1.9256566763e+00,6.1565637589e-03
75,1.9200451660e+02,0.0000000000e+00,2.2833114449e+00,0.0000000000e+00,1.9200452566e+00,0.0000000000e+00,6.5953838639e-03,0.0000000000e+00,1.9200451660e+02,1.9200452566e+00,6.5953838639e-03
80,1.9145945740e+02,0.0000000000e+00,2.2820768238e+00,0.0000000000e+00,1.9145945311e+00,0.0000000000e+00,7.0216208696e-03,0.0000000000e+00,1.9145945740e+02,1.9145945311e+00,7.0216208696e-03
85,1.9089111328e+02,0.0000000000e+00,2.2807857108e+00,0.0000000000e+00,1.9089112282e+00,0.0000000000e+00,7.4731511995e-03,0.0000000000e+00,1.9089111328e+02,1.9089112282e+00,7.4731511995e-03
90,1.9034907532e+02,0.0000000000e+00,2.2795507714e+00,0.0000000000e+00,1.9034907818e+00,0.0000000000e+00,7.9127745703e-03,0.0000000000e+00,1.9034907532e+02,1.9034907818e+00,7.9127745703e-03
95,1.8978677368e+02,0.0000000000e+00,2.2782659430e+00,0.0000000000e+00,1.8978676796e+00,0.0000000000e+00,8.3819497377e-03,0.0000000000e+00,1.8978677368e+02,1.8978676796e+00,8.3819497377e-03
100,1.8923800659e+02,0.0000000000e+00,2.2770083646e+00,0.0000000000e+00,1.8923799992e+00,0.0000000000e+00,8.8214604184e-03,0.0000000000e+00,1.8923800659e+02,1.8923799992e+00,8.8214604184e-03
