step,loss_mean,loss_std,log10_loss_mean,log10_loss_std,mse_mean,mse_std,cosine_similarity_mean,cosine_similarity_std,loss_replica_1,mse_replica_1,cosine_similarity_replica_1
0,1.0040653992e+02,0.0000000000e+00,2.0017620012e+00,0.0000000000e+00,1.0040653944e+00,0.0000000000e+00,-3.0342309401e-05,0.0000000000e+00,1.0040653992e+02,1.0040653944e+00,-3.0342309401e-05
100,9.3527999878e+01,0.0000000000e+00,1.9709416469e+00,0.0000000000e+00,9.3528002501e-01,0.0000000000e+00,2.0039959252e-01,0.0000000000e+00,9.3527999878e+01,9.3528002501e-01,2.0039959252e-01
200,6.0293060303e+01,0.0000000000e+00,1.7802673280e+00,0.0000000000e+00,6.0293060541e-01,0.0000000000e+00,3.3850646019e-01,0.0000000000e+00,6.0293060303e+01,6.0293060541e-01,3.3850646019e-01
300,4.3618236542e+01,0.0000000000e+00,1.6396681033e+00,0.0000000000e+00,4.3618237972e-01,0.0000000000e+00,4.3557462096e-01,0.0000000000e+00,4.3618236542e+01,4.3618237972e-01,4.3557462096e-01
400,3.3764804840e+01,0.0000000000e+00,1.5284642438e+00,0.0000000000e+00,3.3764803410e-01,0.0000000000e+00,5.0969433784e-01,0.0000000000e+00,3.3764804840e+01,3.3764803410e-01,5.0969433784e-01
500,2.7300685883e+01,0.0000000000e+00,1.4361735581e+00,0.0000000000e+00,2.7300688624e-01,0.0000000000e+00,5.6676334143e-01,0.0000000000e+00,2.7300685883e+01,2.7300688624e-01,5.6676334143e-01
600,2.2887361526e+01,0.0000000000e+00,1.3595957297e+00,0.0000000000e+00,2.2887362540e-01,0.0000000000e+00,6.1232358217e-01,0.0000000000e+00,2.2887361526e+01,2.2887362540e-01,6.1232358217e-01
700,1.9486118317e+01,0.0000000000e+00,1.2897253352e+00,0.0000000000e+00,1.9486118853e-01,0.0000000000e+00,6.5119481087e-01,0.0000000000e+00,1.9486118317e+01,1.9486118853e-01,6.5119481087e-01
800,1.6915615082e+01,0.0000000000e+00,1.2282877941e+00,0.0000000000e+00,1.6915614903e-01,0.0000000000e+00,6.8386352062e-01,0.0000000000e+00,1.6915615082e+01,1.6915614903e-01,6.8386352062e-01
900,1.4876257896e+01,0.0000000000e+00,1.1724936987e+00,0.0000000000e+00,1.4876258373e-01,0.0000000000e+00,7.1308410168e-01,0.0000000000e+00,1.4876257896e+01,1.4876258373e-01,7.1308410168e-01
1000,1.3193497658e+01,0.0000000000e+00,1.1203599443e+00,0.0000000000e+00,1.3193497062e-01,0.0000000000e+00,7.3802340031e-01,0.0000000000e+00,1.3193497658e+01,1.3193497062e-01,7.3802340031e-01
1100,1.1764804840e+01,0.0000000000e+00,1.0705847273e+00,0.0000000000e+00,1.1764805019e-01,0.0000000000e+00,7.6094245911e-01,0.0000000000e+00,1.1764804840e+01,1.1764805019e-01,7.6094245911e-01
1200,1.0583090782e+01,0.0000000000e+00,1.0246125215e+00,0.0000000000e+00,1.0583090782e-01,0.0000000000e+00,7.8155177832e-01,0.0000000000e+00,1.0583090782e+01,1.0583090782e-01,7.8155177832e-01
1300,9.5327653885e+00,0.0000000000e+00,9.7921890470e-01,0.0000000000e+00,9.5327652991e-02,0.0000000000e+00,8.0052179098e-01,0.0000000000e+00,9.5327653885e+00,9.5327652991e-02,8.0052179098e-01
1400,8.6311969757e+00,0.0000000000e+00,9.3607102792e-01,0.0000000000e+00,8.6311966181e-02,0.0000000000e+00,8.1704157591e-01,0.0000000000e+00,8.6311969757e+00,8.6311966181e-02,8.1704157591e-01
1500,7.8022408485e+00,0.0000000000e+00,8.9221935248e-01,0.0000000000e+00,7.8022405505e-02,0.0000000000e+00,8.3287036419e-01,0.0000000000e+00,7.8022408485e+00,7.8022405505e-02,8.3287036419e-01
1600,7.0723710060e+00,0.0000000000e+00,8.4956503504e-01,0.0000000000e+00,7.0723712444e-02,0.0000000000e+00,8.4757733345e-01,0.0000000000e+00,7.0723710060e+00,7.0723712444e-02,8.4757733345e-01
1700,6.3900442123e+00,0.0000000000e+00,8.0550386303e-01,0.0000000000e+00,6.3900440931e-02,0.0000000000e+00,8.6091715097e-01,0.0000000000e+00,6.3900442123e+00,6.3900440931e-02,8.6091715097e-01
1800,5.7948412895e+00,0.0000000000e+00,7.6304154590e-01,0.0000000000e+00,5.7948410511e-02,0.0000000000e+00,8.7341660261e-01,0.0000000000e+00,5.7948412895e+00,5.7948410511e-02,8.7341660261e-01
1900,5.2469205856e+00,0.0000000000e+00,7.1990449102e-01,0.0000000000e+00,5.2469201386e-02,0.0000000000e+00,8.8500970602e-01,0.0000000000e+00,5.2469205856e+00,5.2469201386e-02,8.8500970602e-01
2000,4.7318177223e+00,0.0000000000e+00,6.7502800651e-01,0.0000000000e+00,4.7318179160e-02,0.0000000000e+00,8.9583742619e-01,0.0000000000e+00,4.7318177223e+00,4.7318179160e-02,8.9583742619e-01
2100,4.2746734619e+00,0.0000000000e+00,6.3090294500e-01,0.0000000000e+00,4.2746733874e-02,0.0000000000e+00,9.0590971708e-01,0.0000000000e+00,4.2746734619e+00,4.2746733874e-02,9.0590971708e-01
2200,3.8531200886e+00,0.0000000000e+00,5.8581254470e-01,0.0000000000e+00,3.8531202823e-02,0.0000000000e+00,9.1495370865e-01,0.0000000000e+00,3.8531200886e+00,3.8531202823e-02,9.1495370865e-01
2300,3.4523038864e+00,0.0000000000e+00,5.3810901717e-01,0.0000000000e+00,3.4523040056e-02,0.0000000000e+00,9.2348331213e-01,0.0000000000e+00,3.4523038864e+00,3.4523040056e-02,9.2348331213e-01
2400,3.0972592831e+00,0.0000000000e+00,4.9097756328e-01,0.0000000000e+00,3.0972590670e-02,0.0000000000e+00,9.3135762215e-01,0.0000000000e+00,3.0972592831e+00,3.0972590670e-02,9.3135762215e-01
2500,2.7550842762e+00,0.0000000000e+00,4.4013488817e-01,0.0000000000e+00,2.7550842613e-02,0.0000000000e+00,9.3857729435e-01,0.0000000000e+00,2.7550842762e+00,2.7550842613e-02,9.3857729435e-01
2600,2.4453530312e+00,0.0000000000e+00,3.8834156629e-01,0.0000000000e+00,2.4453528225e-02,0.0000000000e+00,9.4517374039e-01,0.0000000000e+00,2.4453530312e+00,2.4453528225e-02,9.4517374039e-01
2700,2.1736161709e+00,0.0000000000e+00,3.3718285641e-01,0.0000000000e+00,2.1736161783e-02,0.0000000000e+00,9.5116680861e-01,0.0000000000e+00,2.1736161709e+00,2.1736161783e-02,9.5116680861e-01
2800,1.9212563038e+00,0.0000000000e+00,2.8358530546e-01,0.0000000000e+00,1.9212562591e-02,0.0000000000e+00,9.5671057701e-01,0.0000000000e+00,1.9212563038e+00,1.9212562591e-02,9.5671057701e-01
2900,1.6926822662e+00,0.0000000000e+00,2.2857544425e-01,0.0000000000e+00,1.6926823184e-02,0.0000000000e+00,9.6158641577e-01,0.0000000000e+00,1.6926822662e+00,1.6926823184e-02,9.6158641577e-01
3000,1.4851846695e+00,0.0000000000e+00,1.7178045766e-01,0.0000000000e+00,1.4851847664e-02,0.0000000000e+00,9.6608990431e-01,0.0000000000e+00,1.4851846695e+00,1.4851847664e-02,9.6608990431e-01
