M,C_mean,Q_Y_mean,Q_Y_std,Loss_mean,Loss_std,Steps_mean,qy_replica_0,loss_replica_0,C_replica_0,qy_replica_1,loss_replica_1,C_replica_1,qy_replica_2,loss_replica_2,C_replica_2,qy_replica_3,loss_replica_3,C_replica_3,qy_replica_4,loss_replica_4,C_replica_4,qy_replica_5,loss_replica_5,C_replica_5,qy_replica_6,loss_replica_6,C_replica_6,qy_replica_7,loss_replica_7,C_replica_7,qy_replica_8,loss_replica_8,C_replica_8,qy_replica_9,loss_replica_9,C_replica_9
5,5000.0,0.007592062093317508,0.002992356932623522,0.00033988991506248565,0.0009736474617473928,2990.1,0.007039148360490799,7.042151992209256e-06,5000,0.00465402053669095,1.6569231320318067e-06,5000,0.007829176262021065,6.992981070652604e-05,5000,0.004474492743611336,3.924244811059907e-05,5000,0.005602248478680849,2.161475322282058e-06,5000,0.008119231089949608,6.669763479294488e-07,5000,0.010046790353953838,1.4015545275469776e-06,5000,0.01173105463385582,5.652984782500425e-06,5000,0.003593500703573227,1.1006381100742146e-05,5000,0.012830957770347595,0.0032601384446024895,5000
10,10000.0,0.01285076756030321,0.0018868200065714953,3.9291549569497874e-07,2.8747745394297245e-07,581.0,0.011119440197944641,4.844796421821229e-07,10000,0.01233089528977871,8.707305028110568e-07,10000,0.011146237142384052,7.724437978140486e-08,10000,0.010195539332926273,2.459762811213295e-07,10000,0.013045445084571838,2.556613480919623e-07,10000,0.012151239439845085,6.088293957873248e-07,10000,0.014857253059744835,9.71147002815087e-08,10000,0.013902274891734123,8.675687581671809e-07,10000,0.01693948730826378,3.200924538759864e-07,10000,0.012819863855838776,1.0145749484991029e-07,10000
15,15000.0,0.018171702045947313,0.002436069047061472,2.597887258204423e-07,2.4835386018833904e-07,331.0,0.019064422696828842,7.365558474248246e-08,15000,0.014498202130198479,5.545650196836505e-07,15000,0.01587238721549511,1.1475289340978634e-07,15000,0.01753205806016922,5.556476594392734e-07,15000,0.01979837566614151,7.67427579262403e-08,15000,0.015444151125848293,9.988530891291703e-09,15000,0.017290735617280006,7.532989911851473e-07,15000,0.02201555296778679,2.453068361774058e-07,15000,0.02187240868806839,1.1944095490434847e-07,15000,0.018328726291656494,9.448802984479698e-08,15000
20,20000.0,0.026221581920981406,0.0017244427891208046,2.732006628036743e-07,1.2938397201042954e-07,201.0,0.02697720006108284,1.938604157203372e-07,20000,0.02425398677587509,1.3337488269371534e-07,20000,0.02593371830880642,2.2568315216631163e-07,20000,0.024933040142059326,4.936130153510021e-07,20000,0.024128403514623642,3.094940552728076e-07,20000,0.027006175369024277,4.615467901203374e-07,20000,0.024903975427150726,1.1042033776220705e-07,20000,0.03007047437131405,4.0279599033965496e-07,20000,0.02638043835759163,1.9377080207050312e-07,20000,0.027628406882286072,2.0744718653986638e-07,20000
25,25000.0,0.017828165367245675,0.03002481955365081,187924300.80000007,287060897.467533,1040.7,-0.03972185403108597,627606592.0,25000,0.030013570562005043,4.773930584178743e-09,25000,0.02970556542277336,4.750328130853632e-09,25000,0.029828930273652077,5.149614956678761e-09,25000,0.03259309008717537,5.523021151532248e-09,25000,0.03220435604453087,4.945558629287916e-09,25000,0.03392782062292099,7.121732323867036e-07,25000,-0.0442303903400898,627833600.0,25000,0.036446526646614075,623802816.0,25000,0.037514038383960724,5.239429334835677e-09,25000
30,30000.0,0.0010130876675248147,0.03878513703346794,900837836.8,2330500.2051129197,3000.0,0.02905506268143654,899144064.0,30000,0.03368164598941803,898875456.0,30000,0.024114148691296577,899432064.0,30000,0.03436467424035072,898823616.0,30000,-0.0458710752427578,903655296.0,30000,-0.04758730158209801,903757824.0,30000,-0.04825387895107269,903798912.0,30000,0.03563888743519783,898780544.0,30000,-0.04332370683550835,903504768.0,30000,0.03831242024898529,898605824.0,30000
35,35000.0,-0.02483649756759405,0.04027920474875451,1227958784.0,2823804.687582482,3000.0,0.022447815164923668,1224626304.0,35000,-0.05566548556089401,1230119424.0,35000,0.04006513953208923,1223404416.0,35000,-0.058444369584321976,1230295808.0,35000,-0.05646129325032234,1230193792.0,35000,-0.023075349628925323,1227813120.0,35000,-0.041695497930049896,1229142272.0,35000,0.040180593729019165,1223426816.0,35000,-0.057289257645606995,1230253824.0,35000,-0.058427270501852036,1230312064.0,35000
40,40000.0,-0.017349905148148537,0.05674909295846937,1602980697.6,4538287.902199313,3000.0,0.04717588052153587,1597828608.0,40000,-0.05575541406869888,1606037120.0,40000,0.05400869995355606,1597227520.0,40000,-0.05890718847513199,1606277248.0,40000,0.05278730019927025,1597378304.0,40000,-0.06313934177160263,1606650880.0,40000,-0.06864605098962784,1607088896.0,40000,-0.07513430714607239,1607628288.0,40000,-0.05927238613367081,1606328064.0,40000,0.053383756428956985,1597362048.0,40000
45,45000.0,-0.01516225878149271,0.05416140201019657,2028384217.6,4882537.9492027955,3000.0,0.05234629288315773,2022269440.0,45000,-0.0584990456700325,2032289664.0,45000,-0.07891284674406052,2034127488.0,45000,-0.010925350710749626,2027952128.0,45000,0.031938813626766205,2024160896.0,45000,0.05547530576586723,2022014208.0,45000,-0.060517288744449615,2032471808.0,45000,-0.06457845866680145,2032835968.0,45000,0.05032602325081825,2022517632.0,45000,-0.06827603280544281,2033202944.0,45000
50,50000.0,-0.004921646788716316,0.06282630043327218,2502980377.6,6281222.932581763,3000.0,0.06625565141439438,2495838976.0,50000,-0.06669939309358597,2509119744.0,50000,-0.07024116814136505,2509492224.0,50000,0.073358915746212,2495134976.0,50000,0.041926655918359756,2498326528.0,50000,-0.09508640319108963,2512005632.0,50000,-0.026751570403575897,2505152768.0,50000,0.03610118106007576,2498891520.0,50000,-0.06612413376569748,2509138944.0,50000,0.05804379656910896,2496702464.0,50000
