step,loss_mean,loss_std,log10_loss_mean,log10_loss_std,mse_mean,mse_std,loss_replica_1,loss_replica_2,loss_replica_3,mse_replica_1,mse_replica_2,mse_replica_3
0,7.9492981333e+07,3.3152479690e+05,7.9003250023e+00,1.8134226331e-03,1.9873245160e+00,8.2881077088e-03,7.9640176000e+07,7.9033880000e+07,7.9804888000e+07,1.9910043478e+00,1.9758470058e+00,1.9951221943e+00
1,3.3661673333e+07,5.7832201810e+04,7.5271350598e+00,7.4641401309e-04,8.4154182673e-01,1.4458309753e-03,3.3721956000e+07,3.3679400000e+07,3.3583664000e+07,8.4304893017e-01,8.4198498726e-01,8.3959156275e-01
2,1.7999666667e+07,6.5749776625e+04,7.2552615608e+00,1.5881535225e-03,4.4999168317e-01,1.6437446884e-03,1.8060264000e+07,1.8030446000e+07,1.7908290000e+07,4.5150661469e-01,4.5076116920e-01,4.4770726562e-01
3,1.1453904667e+07,4.8946450088e+04,7.0589495914e+00,1.8584229719e-03,2.8634762764e-01,1.2236523572e-03,1.1497203000e+07,1.1479027000e+07,1.1385484000e+07,2.8743007779e-01,2.8697568178e-01,2.8463712335e-01
4,8.0088431667e+06,3.4518328813e+04,6.9035657475e+00,1.8745475175e-03,2.0022108157e-01,8.6295770354e-04,8.0375920000e+06,8.0286360000e+06,7.9603015000e+06,2.0093980432e-01,2.0071589947e-01,1.9900754094e-01
5,5.9266153333e+06,2.5016037804e+04,6.7728028639e+00,1.8358495070e-03,1.4816538493e-01,6.2539975988e-04,5.9461170000e+06,5.9424275000e+06,5.8913015000e+06,1.4865292609e-01,1.4856068790e-01,1.4728254080e-01
6,4.5554150000e+06,1.9041770046e+04,6.6585241459e+00,1.8180553408e-03,1.1388537536e-01,4.7604657987e-04,4.5694485000e+06,4.5683025000e+06,4.5284940000e+06,1.1423621327e-01,1.1420756578e-01,1.1321234703e-01
7,3.5987195000e+06,1.5190475194e+04,6.5561441204e+00,1.8359429372e-03,8.9967988431e-02,3.7976024474e-04,3.6095102500e+06,3.6094112500e+06,3.5772370000e+06,9.0237751603e-02,9.0235285461e-02,8.9430928230e-02
8,2.9028470833e+06,1.2582411801e+04,6.4628200705e+00,1.8853546040e-03,7.2571180761e-02,3.1455926731e-04,2.9116427500e+06,2.9118452500e+06,2.8850532500e+06,7.2791069746e-02,7.2796136141e-02,7.2126336396e-02
9,2.3804775833e+06,1.0718569701e+04,6.3766596842e+00,1.9586289961e-03,5.9511940926e-02,2.6796377621e-04,2.3879792500e+06,2.3881340000e+06,2.3653195000e+06,5.9699483216e-02,5.9703350067e-02,5.9132989496e-02
10,1.9785050417e+06,9.3147639230e+03,6.2963323374e+00,2.0480761864e-03,4.9462627620e-02,2.3286966110e-04,1.9851132500e+06,1.9850698750e+06,1.9653320000e+06,4.9627833068e-02,4.9626749009e-02,4.9133300781e-02
11,1.6629033750e+06,8.2073717804e+03,6.2208617127e+00,2.1472527437e-03,4.1572584460e-02,2.0518373161e-04,1.6688523750e+06,1.6685601250e+06,1.6512976250e+06,4.1721306741e-02,4.1714005172e-02,4.1282441467e-02
12,1.4109528333e+06,7.3007331833e+03,6.1495066679e+00,2.2513066029e-03,3.5273821404e-02,1.8251679386e-04,1.4163830000e+06,1.4158427500e+06,1.4006327500e+06,3.5409573466e-02,3.5396069288e-02,3.5015821457e-02
13,1.2069673333e+06,6.5334825374e+03,6.0816891370e+00,2.3553844483e-03,3.0174182728e-02,1.6333795127e-04,1.2119638750e+06,1.2112000000e+06,1.1977381250e+06,3.0299097300e-02,3.0279999599e-02,2.9943451285e-02
14,1.0398116458e+06,5.8707359194e+03,6.0169477370e+00,2.4568464242e-03,2.5995291149e-02,1.4676913272e-04,1.0444320000e+06,1.0434753750e+06,1.0315275625e+06,2.6110799983e-02,2.6086885482e-02,2.5788187981e-02
15,9.0139387500e+05,5.2877275707e+03,5.9549071101e+00,2.5527974136e-03,2.2534846639e-02,1.3219358458e-04,9.0567556250e+05,9.0456250000e+05,8.9394356250e+05,2.2641889751e-02,2.2614061832e-02,2.2348588333e-02
16,7.8571537500e+05,4.7699628490e+03,5.8952572266e+00,2.6419632143e-03,1.9642885153e-02,1.1924939662e-04,7.8968700000e+05,7.8845168750e+05,7.7900743750e+05,1.9742175937e-02,1.9711293280e-02,1.9475186244e-02
17,6.8825300000e+05,4.3062567420e+03,5.8377395888e+00,2.7229301275e-03,1.7206325506e-02,1.0765656857e-04,6.9193781250e+05,6.9060968750e+05,6.8221150000e+05,1.7298446968e-02,1.7265241593e-02,1.7055287957e-02
18,6.0554006250e+05,3.8895604337e+03,5.7821338973e+00,2.7953904783e-03,1.5138501301e-02,9.7239210854e-05,6.0895731250e+05,6.0756437500e+05,6.0009850000e+05,1.5223933384e-02,1.5189108439e-02,1.5002462082e-02
