step,loss_mean,loss_std,log10_loss_mean,log10_loss_std,mse_mean,mse_std,qy_mean,qy_std,loss_replica_1,loss_replica_2,loss_replica_3,mse_replica_1,mse_replica_2,mse_replica_3,qy_replica_1,qy_replica_2,qy_replica_3
0,7.9526752000e+07,3.3195691614e+05,7.9005094561e+00,1.8149583396e-03,1.9881688356e+00,8.2989807232e-03,2.7535327778e-04,6.5926305588e-04,7.9668584000e+07,7.9068272000e+07,7.9843400000e+07,1.9917147160e+00,1.9767067432e+00,1.9960850477e+00,5.9285077441e-05,1.1688347440e-03,-4.0205998812e-04
1,3.3679513333e+07,5.7472145168e+04,7.5273651747e+00,7.4137745247e-04,8.4198784828e-01,1.4368110379e-03,7.6046670477e-02,4.5237381434e-04,3.3739144000e+07,3.3697528000e+07,3.3601868000e+07,8.4347862005e-01,8.4243822098e-01,8.4004670382e-01,7.6681174338e-02,7.5658589602e-02,7.5800247490e-02
2,1.8011660667e+07,6.5705069157e+04,7.2555508626e+00,1.5859817189e-03,4.5029151440e-01,1.6426207049e-03,1.1644272258e-01,9.1658737113e-04,1.8072908000e+07,1.8041554000e+07,1.7920520000e+07,4.5182269812e-01,4.5103883743e-01,4.4801300764e-01,1.1759313941e-01,1.1535020918e-01,1.1638481915e-01
3,1.1462983667e+07,4.9059605001e+04,7.0592936891e+00,1.8611693685e-03,2.8657460213e-01,1.2264932707e-03,1.4023216069e-01,1.2113794124e-03,1.1507452000e+07,1.1486871000e+07,1.1394628000e+07,2.8768631816e-01,2.8717178106e-01,2.8486570716e-01,1.4175325632e-01,1.3878907263e-01,1.4015415311e-01
4,8.0161210000e+06,3.4796106602e+04,6.9039601648e+00,1.8878452790e-03,2.0040301979e-01,8.6990280063e-04,1.5645382802e-01,1.4110417082e-03,8.0462690000e+06,8.0347290000e+06,7.9673650000e+06,2.0115672052e-01,2.0086821914e-01,1.9918411970e-01,1.5826195478e-01,1.5481862426e-01,1.5628090501e-01
5,5.9326835000e+06,2.5407223149e+04,6.7732471896e+00,1.8626137776e-03,1.4831708372e-01,6.3518431123e-04,1.6849348942e-01,1.5593859344e-03,5.9536310000e+06,5.9474920000e+06,5.8969275000e+06,1.4884077013e-01,1.4868730307e-01,1.4742317796e-01,1.7052908242e-01,1.6674098372e-01,1.6821040213e-01
6,4.5606155000e+06,1.9489397455e+04,6.6590194855e+00,1.8586812880e-03,1.1401538551e-01,4.8724024501e-04,1.7787575225e-01,1.6750590931e-03,4.5760105000e+06,4.5727170000e+06,4.5331190000e+06,1.1440026015e-01,1.1431793123e-01,1.1332796514e-01,1.8009261787e-01,1.7604422569e-01,1.7749041319e-01
7,3.6032580000e+06,1.5652890869e+04,6.5566912534e+00,1.8895005823e-03,9.0081450840e-02,3.9132214027e-04,1.8542302648e-01,1.7672568782e-03,3.6152470000e+06,3.6133792500e+06,3.5811477500e+06,9.0381175280e-02,9.0334482491e-02,8.9528694749e-02,1.8778462708e-01,1.8353375793e-01,1.8495069444e-01
8,2.9068540000e+06,1.3031685023e+04,6.4634188459e+00,1.9500674988e-03,7.2671348850e-02,3.2579286979e-04,1.9163533549e-01,1.8415245364e-03,2.9166522500e+06,2.9154727500e+06,2.8884370000e+06,7.2916306555e-02,7.2886817157e-02,7.2210922837e-02,1.9411273301e-01,1.8970115483e-01,1.9109211862e-01
9,2.3840382500e+06,1.1136181265e+04,6.3773084705e+00,2.0320085801e-03,5.9600956738e-02,2.7840438420e-04,1.9684104125e-01,1.9018134748e-03,2.3923417500e+06,2.3914757500e+06,2.3682972500e+06,5.9808544815e-02,5.9786893427e-02,5.9207431972e-02,1.9941148162e-01,1.9487027824e-01,1.9624136388e-01
